state_name,age_bracket,state_code,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_male,Literacy_rate_christian_male,Literacy_rate_hindu_male,Literacy_rate_jain_male,Literacy_rate_muslim_male,Literacy_rate_sikh_male
State - DELHI  07,age_34_plus,07,15.7505,3.9253,14.8453,1.5678,38.5267,6.2968,84.2495,96.0747,85.1547,98.4322,61.4733,93.7032
Rajasthan,age_below10,08,76.0365,73.0374,75.8182,68.8891,78.9172,73.4826,23.9635,26.9626,24.1818,31.1109,21.0828,26.5174
Rajasthan,age_10_13,08,4.0619,6.9865,9.1052,0.8606,17.3,8.3982,95.9381,93.0135,90.8948,99.1394,82.7,91.6018
Rajasthan,age_14_17,08,4.1002,8.8906,9.823,0.6679,18.2449,10.598,95.8998,91.1094,90.177,99.3321,81.7551,89.402
Rajasthan,age_18_21,08,4.7826,9.8747,12.1399,1.029,20.3196,13.7113,95.2174,90.1253,87.8601,98.971,79.6804,86.2887
Rajasthan,age_22_25,08,8.4507,9.2218,14.093,0.7883,21.7271,16.7107,91.5493,90.7782,85.907,99.2117,78.2729,83.2893
Rajasthan,age_26_29,08,9.1778,9.8117,18.6132,0.7409,25.1682,22.4189,90.8222,90.1883,81.3868,99.2591,74.8318,77.5811
Rajasthan,age_30_33,08,12.6033,11.2322,24.2099,0.9465,29.6632,26.778,87.3967,88.7678,75.7901,99.0535,70.3368,73.222
Rajasthan,age_34_plus,08,31.9149,14.0624,41.9237,1.3522,42.701,41.5788,68.0851,85.9376,58.0763,98.6478,57.299,58.4212
Uttar Pradesh,age_below10,09,78.4178,77.2169,78.4404,72.8235,82.4666,74.7001,21.5822,22.7831,21.5596,27.1765,17.5334,25.2999
Uttar Pradesh,age_10_13,09,14.7277,18.4967,16.2814,3.7278,30.4734,10.7218,85.2723,81.5033,83.7186,96.2722,69.5266,89.2782
Uttar Pradesh,age_14_17,09,14.8882,17.1237,16.1926,2.7736,33.1815,10.8373,85.1118,82.8763,83.8074,97.2264,66.8185,89.1627
