state_name,age_bracket,state_code,Below_primary_share_ST_male,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_male,Child_labour_dropout_ST_male,Dropout_rate_ST_male,Illiteracy_rate_ST_male,Literacy_rate_ST_male,School_attendance_rate_ST_male
Nagaland,age_14_17,13,8.4414,1.6925,4.4442,73.4461,15.4735,15.4735,19.8889,80.1111,84.5265
Nagaland,age_18_21,13,6.4204,11.6892,20.1415,61.7684,17.5884,17.5884,22.2295,77.7705,82.4116
Nagaland,age_22_25,13,5.5669,11.6892,20.1415,,,,24.6665,75.3335,
Nagaland,age_26_29,13,5.9442,39.6481,49.7984,,,,26.2145,73.7855,
Nagaland,age_30_33,13,6.962,67.8911,72.8935,,,,26.8376,73.1624,
Nagaland,age_34_plus,13,10.8583,90.4636,87.0733,,,,40.1328,59.8672,
Nagaland,age_below10,13,92.8814,0.0,0.0,59.0421,39.4896,39.4896,77.7168,22.2832,60.5104
Manipur,age_10_13,14,47.2894,0.4868,0.8126,80.6549,16.6136,16.6136,25.9374,74.0626,83.3864
Manipur,age_14_17,14,11.609,1.7045,4.7289,78.2309,13.3818,13.3818,17.1101,82.8899,86.6182
Manipur,age_18_21,14,6.6721,13.4022,22.3219,68.0947,15.4446,15.4446,17.0315,82.9685,84.5554
Manipur,age_22_25,14,4.9795,13.4022,22.3219,,,,17.4972,82.5028,
Manipur,age_26_29,14,4.6355,40.8751,50.2374,,,,19.9714,80.0286,
Manipur,age_30_33,14,4.9924,66.762,71.3627,,,,22.4432,77.5568,
Manipur,age_34_plus,14,8.2332,90.3441,85.2473,,,,33.1559,66.8441,
Manipur,age_below10,14,92.3263,0.0,0.0,59.3972,39.3651,39.3651,82.8071,17.1929,60.6349
Mizoram,age_10_13,15,63.7164,0.2491,0.4088,89.8227,8.2049,8.2049,8.0844,91.9156,91.7951
Mizoram,age_14_17,15,17.6463,2.1249,5.9396,69.0386,10.7304,10.7304,4.9888,95.0112,89.2696
Mizoram,age_18_21,15,14.6896,24.1695,34.9185,42.5143,15.1604,15.1604,4.9099,95.0901,84.8396
Mizoram,age_22_25,15,14.5564,24.1695,34.9185,,,,4.614,95.386,
Mizoram,age_26_29,15,15.3002,56.8431,63.1769,,,,5.4017,94.5983,
Mizoram,age_30_33,15,17.5738,75.8489,77.7831,,,,5.9713,94.0287,
Mizoram,age_34_plus,15,37.6551,84.8495,78.7565,,,,9.2005,90.7995,
Mizoram,age_below10,15,98.3294,0.0,0.0,65.3081,34.4416,34.4416,76.6878,23.3122,65.5584
Tripura,age_10_13,16,53.1992,0.4716,0.7087,78.8762,19.7616,19.7616,18.9162,81.0838,80.2384
Tripura,age_14_17,16,16.4181,3.2442,10.7306,69.5391,21.489,21.489,16.2447,83.7553,78.511
Tripura,age_18_21,16,15.1063,36.5737,53.1233,46.6085,29.1513,29.1513,19.6288,80.3712,70.8487
Tripura,age_22_25,16,15.875,36.5737,53.1233,,,,21.9069,78.0931,
Tripura,age_26_29,16,19.1987,75.1421,81.7026,,,,26.8068,73.1932,
Tripura,age_30_33,16,21.9696,90.5893,91.6415,,,,31.6044,68.3956,
Tripura,age_34_plus,16,35.2819,92.6647,86.6223,,,,47.5332,52.4668,
Tripura,age_below10,16,97.4375,0.0,0.0,52.8517,46.7532,46.7532,77.2978,22.7022,53.2468
Meghalaya,age_10_13,17,69.57,0.4278,0.9225,65.8111,29.3785,29.3785,34.03,65.97,70.6215
Meghalaya,age_14_17,17,36.8874,2.4248,8.2115,58.061,21.2383,21.2383,26.6245,73.3755,78.7617
Meghalaya,age_18_21,17,27.4025,25.8388,40.9893,47.0062,19.222,19.222,26.4396,73.5604,80.778
Meghalaya,age_22_25,17,26.855,25.8388,40.9893,,,,28.3289,71.6711,
Meghalaya,age_26_29,17,29.1763,63.6119,71.424,,,,31.6327,68.3673,
Meghalaya,age_30_33,17,31.0926,81.7814,83.0222,,,,33.1834,66.8166,
Meghalaya,age_34_plus,17,36.582,88.3329,80.1625,,,,41.016,58.984,
Meghalaya,age_below10,17,94.7141,0.0,0.0,42.2903,56.4881,56.4881,87.3337,12.6663,43.5119
Assam,age_10_13,18,40.8579,0.4058,0.8485,78.298,19.311,19.311,18.0607,81.9393,80.689
Assam,age_14_17,18,10.4861,2.5051,8.3047,67.746,22.7003,22.7003,16.1815,83.8185,77.2997
Assam,age_18_21,18,8.9275,21.6429,38.903,49.6806,29.1028,29.1028,18.1709,81.8291,70.8972
Assam,age_22_25,18,9.0946,21.6429,38.903,,,,19.8948,80.1052,
Assam,age_26_29,18,12.1762,57.57,69.6511,,,,25.3294,74.6706,
Assam,age_30_33,18,16.2766,80.9761,84.6576,,,,30.4403,69.5597,
Assam,age_34_plus,18,28.6336,91.4478,84.7899,,,,37.7278,62.2722,
Assam,age_below10,18,95.654,0.0,0.0,57.2581,42.0616,42.0616,77.9017,22.0983,57.9384
West Bengal,age_10_13,19,62.2514,0.4883,1.0295,68.0295,28.457,28.457,25.3889,74.6111,71.543
West Bengal,age_14_17,19,27.9308,4.0534,17.2114,46.1741,34.6469,34.6469,26.9548,73.0452,65.3531
West Bengal,age_18_21,19,27.712,39.5964,60.7907,25.263,36.2738,36.2738,30.7921,69.2079,63.7262
West Bengal,age_22_25,19,30.0785,39.5964,60.7907,,,,35.3351,64.6649,
West Bengal,age_26_29,19,32.3287,75.1578,82.1997,,,,40.8101,59.1899,
West Bengal,age_30_33,19,36.1373,89.2985,89.1712,,,,47.8543,52.1457,
West Bengal,age_34_plus,19,45.7094,90.0646,78.6924,,,,57.5975,42.4025,
West Bengal,age_below10,19,97.4112,0.0,0.0,48.3351,51.2245,51.2245,79.5868,20.4132,48.7755
Jharkhand,age_10_13,20,50.3615,0.4294,0.9517,61.2047,34.5548,34.5548,33.9941,66.0059,65.4452
Jharkhand,age_14_17,20,14.7506,5.5591,15.0725,47.3864,34.625,34.625,29.9596,70.0404,65.375
Jharkhand,age_18_21,20,10.7975,41.0153,57.5462,28.255,37.4634,37.4634,30.815,69.185,62.5366
Jharkhand,age_22_25,20,10.4961,41.0153,57.5462,,,,34.3216,65.6784,
Jharkhand,age_26_29,20,11.8518,72.7607,80.0277,,,,40.8498,59.1502,
Jharkhand,age_30_33,20,14.022,87.1214,88.7034,,,,48.8361,51.1639,
Jharkhand,age_34_plus,20,18.4602,88.1349,79.8774,,,,59.0727,40.9273,
Jharkhand,age_below10,20,95.6029,0.0,0.0,38.6083,60.5853,60.5853,84.4005,15.5995,39.4147
State - ORISSA  21,age_10_13,21,42.3314,0.2985,0.7084,60.4171,36.2972,36.2972,32.2727,67.7273,63.7028
State - ORISSA  21,age_14_17,21,15.8459,3.7317,12.0711,38.0832,44.4931,44.4931,32.3199,67.6801,55.5069
State - ORISSA  21,age_18_21,21,17.3191,33.6921,54.4573,18.0785,46.0125,46.0125,34.7674,65.2326,53.9875
State - ORISSA  21,age_22_25,21,19.3927,33.6921,54.4573,,,,38.5908,61.4092,
State - ORISSA  21,age_26_29,21,24.793,73.6794,81.9774,,,,46.808,53.192,
State - ORISSA  21,age_30_33,21,29.7658,90.6403,91.0762,,,,53.9418,46.0582,
State - ORISSA  21,age_34_plus,21,41.7262,90.8372,80.7313,,,,61.8294,38.1706,
State - ORISSA  21,age_below10,21,96.7068,0.0,0.0,47.2502,52.2963,52.2963,81.989,18.011,47.7037
Chhattisgarh,age_10_13,22,56.1659,0.4346,0.8188,75.5661,18.6469,18.6469,17.0055,82.9945,81.3531
Chhattisgarh,age_14_17,22,15.8692,5.7021,13.4315,50.7639,23.7732,23.7732,18.4327,81.5673,76.2268
Chhattisgarh,age_18_21,22,14.3359,50.6865,66.55,27.8022,25.1182,25.1182,21.3711,78.6289,74.8818
Chhattisgarh,age_22_25,22,15.8552,50.6865,66.55,,,,24.8207,75.1793,
Chhattisgarh,age_26_29,22,19.1779,83.3043,87.7906,,,,30.1405,69.8595,
Chhattisgarh,age_30_33,22,24.4148,93.1784,93.3304,,,,36.5261,63.4739,
Chhattisgarh,age_34_plus,22,38.8641,90.274,82.0574,,,,51.0154,48.9846,
Chhattisgarh,age_below10,22,98.2401,0.0,0.0,53.4229,45.7751,45.7751,79.6031,20.3969,54.2249
Madhya Pradesh,age_10_13,23,64.0768,0.8941,1.4798,64.1285,28.3093,28.3093,28.9949,71.0051,71.6907
Madhya Pradesh,age_14_17,23,24.8257,12.2929,23.3842,41.1903,28.8509,28.8509,31.784,68.216,71.1491
Madhya Pradesh,age_18_21,23,21.3174,66.9308,79.266,21.8654,26.2493,26.2493,34.9404,65.0596,73.7507
Madhya Pradesh,age_22_25,23,21.7264,66.9308,79.266,,,,38.4399,61.5601,
Madhya Pradesh,age_26_29,23,23.8388,90.1176,93.2061,,,,43.0411,56.9589,
Madhya Pradesh,age_30_33,23,28.5795,95.0551,95.473,,,,49.7765,50.2235,
Madhya Pradesh,age_34_plus,23,40.2678,91.0489,84.996,,,,63.1006,36.8994,
Madhya Pradesh,age_below10,23,97.6826,0.0,0.0,42.8488,56.3294,56.3294,83.361,16.639,43.6706
Gujarat,age_10_13,24,43.5926,0.4024,0.6818,69.8184,25.8974,25.8974,22.2078,77.7922,74.1026
Gujarat,age_14_17,24,15.5525,5.0842,11.5402,47.3989,29.6468,29.6468,23.0915,76.9085,70.3532
Gujarat,age_18_21,24,15.3948,54.0892,68.0028,24.1715,29.0178,29.0178,25.4113,74.5887,70.9822
Gujarat,age_22_25,24,16.4638,54.0892,68.0028,,,,29.5326,70.4674,
Gujarat,age_26_29,24,20.5486,86.6466,90.2585,,,,38.127,61.873,
Gujarat,age_30_33,24,25.8289,93.7651,94.3459,,,,45.8026,54.1974,
Gujarat,age_34_plus,24,37.8034,91.02,85.4465,,,,59.4611,40.5389,
Gujarat,age_below10,24,98.1858,0.0,0.0,54.6712,44.9237,44.9237,78.4682,21.5318,55.0763
Daman & Diu,age_10_13,25,36.9532,0.2242,0.5999,86.8272,9.0652,9.0652,6.0907,93.9093,90.9348
Daman & Diu,age_14_17,25,12.709,2.2831,8.2655,49.8494,20.4819,20.4819,9.9398,90.0602,79.5181
Daman & Diu,age_18_21,25,15.625,30.8387,52.2429,12.5628,26.1307,26.1307,11.5578,88.4422,73.8693
Daman & Diu,age_22_25,25,16.8421,30.8387,52.2429,,,,14.1935,85.8065,
Daman & Diu,age_26_29,25,21.5213,79.1111,85.6618,,,,20.1481,79.8519,
Daman & Diu,age_30_33,25,24.3108,92.6056,92.0591,,,,29.7535,70.2465,
Daman & Diu,age_34_plus,25,43.4932,93.6378,81.328,,,,52.3654,47.6346,
Daman & Diu,age_below10,25,98.7879,0.0,0.0,78.6905,21.3095,21.3095,68.3099,31.6901,78.6905
Dadra & Nagar Haveli,age_10_13,26,41.8973,0.281,0.5155,75.9863,18.7123,18.7123,17.8356,82.1644,81.2877
Dadra & Nagar Haveli,age_14_17,26,14.9916,6.9887,17.2053,47.4552,24.0174,24.0174,24.4883,75.5117,75.9826
Dadra & Nagar Haveli,age_18_21,26,14.4083,65.8623,75.4068,18.4245,20.744,20.744,28.6214,71.3786,79.256
Dadra & Nagar Haveli,age_22_25,26,17.9865,65.8623,75.4068,,,,36.9408,63.0592,
Dadra & Nagar Haveli,age_26_29,26,23.7924,91.9942,92.5575,,,,44.2504,55.7496,
Dadra & Nagar Haveli,age_30_33,26,31.368,97.6102,95.8303,,,,52.4008,47.5992,
Dadra & Nagar Haveli,age_34_plus,26,41.7272,94.8023,86.1026,,,,68.7961,31.2039,
Dadra & Nagar Haveli,age_below10,26,98.1615,0.0,0.0,62.0852,37.3582,37.3582,79.7382,20.2618,62.6418
Maharashtra,age_10_13,27,45.8066,0.2771,0.6338,80.5757,14.9897,14.9897,11.7956,88.2044,85.0103
Maharashtra,age_14_17,27,15.6989,3.1019,12.4665,56.4597,20.1347,20.1347,15.5086,84.4914,79.8653
Maharashtra,age_18_21,27,15.8513,43.3949,63.5973,32.7855,22.7587,22.7587,18.2702,81.7298,77.2413
Maharashtra,age_22_25,27,18.1101,43.3949,63.5973,,,,22.9995,77.0005,
Maharashtra,age_26_29,27,23.0508,82.2325,88.0571,,,,30.9583,69.0417,
Maharashtra,age_30_33,27,31.03,95.0815,94.4385,,,,38.7476,61.2524,
Maharashtra,age_34_plus,27,46.6197,93.3396,84.1044,,,,52.834,47.166,
Maharashtra,age_below10,27,98.1815,0.0,0.0,59.9926,39.5153,39.5153,76.6535,23.3465,60.4847
Andhra Pradesh,age_10_13,28,39.4244,0.473,1.2149,70.0176,17.6252,17.6252,22.8063,77.1937,82.3748
Andhra Pradesh,age_14_17,28,14.7581,6.561,24.2255,44.3367,19.044,19.044,31.8777,68.1223,80.956
Andhra Pradesh,age_18_21,28,14.569,57.86,74.6827,25.2164,19.8982,19.8982,37.4682,62.5318,80.1018
Andhra Pradesh,age_22_25,28,15.5793,57.86,74.6827,,,,44.7078,55.2922,
Andhra Pradesh,age_26_29,28,18.5159,90.1278,92.2774,,,,54.7192,45.2808,
Andhra Pradesh,age_30_33,28,21.9489,96.2565,94.6398,,,,64.1634,35.8366,
Andhra Pradesh,age_34_plus,28,29.9204,93.832,85.5784,,,,79.2396,20.7604,
Andhra Pradesh,age_below10,28,96.6008,0.0,0.0,66.2531,31.984,31.984,73.6517,26.3483,68.016
Karnataka,age_10_13,29,41.5078,0.6528,1.5276,72.8198,16.8604,16.8604,17.2828,82.7172,83.1396
Karnataka,age_14_17,29,12.5772,3.0357,14.1501,47.0893,19.8359,19.8359,22.3296,77.6704,80.1641
Karnataka,age_18_21,29,14.7435,27.2546,52.7105,22.1279,21.4413,21.4413,28.2469,71.7531,78.5587
Karnataka,age_22_25,29,14.731,27.2546,52.7105,,,,30.4354,69.5646,
Karnataka,age_26_29,29,18.6374,69.9572,81.6414,,,,40.1705,59.8295,
Karnataka,age_30_33,29,23.648,91.4879,91.6854,,,,49.4707,50.5293,
Karnataka,age_34_plus,29,33.7426,93.4601,82.1151,,,,60.4767,39.5233,
Karnataka,age_below10,29,97.7427,0.0,0.0,56.1285,42.5713,42.5713,75.4422,24.5578,57.4287
Goa,age_10_13,30,35.0,0.0,1.4085,67.8571,14.2857,14.2857,28.5714,71.4286,85.7143
Goa,age_14_17,30,4.7619,5.2632,12.3077,52.0,12.0,12.0,16.0,84.0,88.0
Goa,age_18_21,30,14.2857,27.2727,50.0,23.5294,29.4118,29.4118,17.6471,82.3529,70.5882
Goa,age_22_25,30,4.3478,27.2727,50.0,,,,30.303,69.697,
Goa,age_26_29,30,0.0,66.6667,67.1875,,,,41.0256,58.9744,
Goa,age_30_33,30,0.0,81.25,88.0952,,,,37.5,62.5,
Goa,age_34_plus,30,17.0732,92.3077,84.058,,,,47.4359,52.5641,
Goa,age_below10,30,100.0,0.0,0.0,35.7143,64.2857,64.2857,87.0968,12.9032,35.7143
Lakshadweep,age_10_13,31,49.7014,0.1033,0.3224,97.4326,2.4699,2.4699,2.0474,97.9526,97.5301
Lakshadweep,age_14_17,31,8.5725,0.5577,6.3386,84.2786,14.8839,14.8839,1.8652,98.1348,85.1161
