state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Child_labour_attending_total_male,Child_labour_dropout_total_male,Dropout_rate_total_male,Graduate_share_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male,School_attendance_rate_total_male
Karnataka,age_22_25,29,8.6801,41.8339,41.9555,42.7521,,41.3071,39.4503,36.1642,40.1366,,,41.3569,38.7951,,,,10.5515,15.1917,84.8083,
Karnataka,age_26_29,29,10.5147,12.8595,15.749,15.6929,,12.256,19.5354,25.7534,20.1608,,,17.6172,18.8194,,,,17.0549,20.7297,79.2703,
Karnataka,age_30_33,29,13.0181,6.0309,7.9699,7.7024,,6.8941,10.0592,12.9905,9.4161,,,8.8561,10.0589,,,,17.1467,26.453,73.547,
Karnataka,age_34_plus,29,20.0834,1.7629,2.7791,2.1033,,2.2926,2.9395,3.7966,2.9691,,,2.9535,3.1207,,,,13.5868,36.5865,63.4135,
Karnataka,age_below10,29,97.7141,0.7309,0.6272,0.5887,,0.6338,0.6502,0.7774,0.8249,,,0.6498,0.6882,62.9587,36.1994,36.1994,0.0,73.3471,26.6529,63.8006
Goa,age_10_13,30,27.1435,0.0757,0.1451,0.0666,,0.4387,0.2112,0.1592,0.1789,,,0.1968,0.2105,94.304,4.554,4.554,0.0,3.4832,96.5168,95.446
Goa,age_10_13,30,27.1435,0.0757,0.1451,0.0666,,0.4387,0.2112,0.1592,0.1789,,,0.1968,0.2105,94.304,4.554,4.554,0.0,3.4832,96.5168,95.446
Goa,age_10_13,30,27.1435,0.0757,0.1451,0.0666,,0.4387,0.2112,0.1592,0.1789,,,0.1968,0.2105,94.304,4.554,4.554,0.0,3.4832,96.5168,95.446
Goa,age_10_13,30,27.1435,0.0757,0.1451,0.0666,,0.4387,0.2112,0.1592,0.1789,,,0.1968,0.2105,94.304,4.554,4.554,0.0,3.4832,96.5168,95.446
Goa,age_10_13,30,27.1435,0.0757,0.1451,0.0666,,0.4387,0.2112,0.1592,0.1789,,,0.1968,0.2105,94.304,4.554,4.554,0.0,3.4832,96.5168,95.446
