state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_female,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_female,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_female,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_female,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_female,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_female,Literacy_rate_buddhist_male,Literacy_rate_christian_female,Literacy_rate_christian_male,Literacy_rate_hindu_female,Literacy_rate_hindu_male,Literacy_rate_jain_female,Literacy_rate_jain_male,Literacy_rate_muslim_female,Literacy_rate_muslim_male,Literacy_rate_sikh_female,Literacy_rate_sikh_male,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female,CMPR_buddhist_female,CMPR_christian_female,CMPR_hindu_female,CMPR_jain_female,CMPR_muslim_female,CMPR_sikh_female,CMPR_buddhist_male,CMPR_christian_male,CMPR_hindu_male,CMPR_jain_male,CMPR_muslim_male,CMPR_sikh_male
Himachal Pradesh,age_26_29,2,13.0452,4.3919,6.0298,0.0,7.6885,3.0517,22.9417,11.3235,24.1026,13.9216,21.2949,7.4509,5.1724,0.0,54.6457,31.4346,11.9016,4.6823,77.0583,88.6765,75.8974,86.0784,78.7051,92.5491,94.8276,100.0,45.3543,68.5654,88.0984,95.3177,15.7663,13.5135,20.2413,3.6364,18.6012,19.1664,10.0109,14.7541,8.3876,15.3061,11.4295,7.951,5.2043,4.7393,3.31,0.0,5.7517,3.3201
Himachal Pradesh,age_30_33,2,18.3697,7.3913,8.3916,0.0,11.6505,4.8664,33.3333,12.6139,23.0769,15.641,30.3847,10.2634,0.0,3.125,65.4556,35.3372,18.0289,6.386,66.6667,87.3861,76.9231,84.359,69.6153,89.7366,100.0,96.875,34.5444,64.6628,81.9711,93.614,14.8106,17.3913,19.7685,6.25,15.2104,18.75,10.0109,14.7541,8.3876,15.3061,11.4295,7.951,5.2043,4.7393,3.31,0.0,5.7517,3.3201
Himachal Pradesh,age_34_plus,2,30.3319,5.1656,14.4143,3.2129,17.7248,7.2896,68.3625,34.69,28.5038,17.8849,61.8597,28.1072,8.4559,2.4561,83.3037,55.1596,48.3012,20.0475,31.6375,65.31,71.4962,82.1151,38.1403,71.8928,91.5441,97.5439,16.6963,44.8404,51.6988,79.9525,10.1025,9.1391,14.867,10.8434,12.7397,15.3131,10.0109,14.7541,8.3876,15.3061,11.4295,7.951,5.2043,4.7393,3.31,0.0,5.7517,3.3201
Punjab,age_below10,3,98.2309,96.8954,97.0964,96.0809,96.648,97.569,71.6248,72.4847,77.9161,76.5267,73.6149,73.1114,69.1858,69.1738,79.434,78.0309,72.2345,72.3116,28.3752,27.5153,22.0839,23.4733,26.3851,26.8886,30.8142,30.8262,20.566,21.9691,27.7655,27.6884,0.0,0.0,0.0,0.0,0.0,0.0,15.7182,14.579,16.6972,18.2927,16.8774,16.4047,9.2214,7.3994,9.1504,11.0431,9.8932,8.3585
Punjab,age_10_13,3,40.9475,49.3271,39.5335,25.4717,51.1902,43.4746,7.6563,7.4127,24.9064,19.0086,11.3847,9.4844,1.7819,2.3159,26.2781,22.9249,11.4016,9.1248,92.3438,92.5873,75.0936,80.9914,88.6153,90.5156,98.2181,97.6841,73.7219,77.0751,88.5984,90.8752,4.8505,4.1694,7.3995,13.3527,3.8347,5.1651,15.7182,14.579,16.6972,18.2927,16.8774,16.4047,9.2214,7.3994,9.1504,11.0431,9.8932,8.3585
Punjab,age_14_17,3,3.5669,8.5038,3.988,0.988,8.3746,4.8036,6.2687,7.2989,30.1701,22.4828,11.3408,11.0891,1.7337,1.9512,31.2836,28.8282,13.2552,11.1243,93.7313,92.7011,69.8299,77.5172,88.6592,88.9109,98.2663,98.0488,68.7164,71.1718,86.7448,88.8757,41.0828,32.6907,38.893,35.7798,32.1619,38.4042,15.7182,14.579,16.6972,18.2927,16.8774,16.4047,9.2214,7.3994,9.1504,11.0431,9.8932,8.3585
Punjab,age_18_21,3,3.8095,5.7465,2.8477,0.7937,7.1515,3.1596,6.8441,10.8108,34.5526,27.4324,14.6899,14.3986,1.5625,2.1713,39.5576,33.9574,17.1928,14.2264,93.1559,89.1892,65.4474,72.5676,85.3101,85.6014,98.4375,97.8287,60.4424,66.0426,82.8072,85.7736,22.8571,18.053,15.7474,1.8519,20.2986,17.4513,15.7182,14.579,16.6972,18.2927,16.8774,16.4047,9.2214,7.3994,9.1504,11.0431,9.8932,8.3585
Punjab,age_22_25,3,2.6934,4.5279,2.195,0.1151,6.1789,2.309,14.5218,11.9409,46.9018,31.5618,20.3816,15.1787,2.6331,1.8576,48.8254,35.6171,24.0966,17.2857,85.4782,88.0591,53.0982,68.4382,79.6184,84.8213,97.3669,98.1424,51.1746,64.3829,75.9034,82.7143,18.9917,15.7549,13.2088,1.1507,17.0607,15.554,15.7182,14.579,16.6972,18.2927,16.8774,16.4047,9.2214,7.3994,9.1504,11.0431,9.8932,8.3585
Punjab,age_26_29,3,3.1671,5.6647,2.912,0.2734,8.3052,3.1227,23.1752,13.5294,57.2895,38.8588,27.6451,17.9598,1.9437,2.0382,59.1649,40.4808,33.5136,22.6611,76.8248,86.4706,42.7105,61.1412,72.3549,82.0402,98.0563,97.9618,40.8351,59.5192,66.4864,77.3389,19.0816,14.2977,15.2157,3.3493,16.7171,17.135,15.7182,14.579,16.6972,18.2927,16.8774,16.4047,9.2214,7.3994,9.1504,11.0431,9.8932,8.3585
Punjab,age_30_33,3,5.9406,7.0469,3.9074,0.4332,9.3245,4.1532,33.1568,17.2653,64.8787,42.9727,33.4034,20.1107,2.7388,1.7391,67.9931,43.7168,40.3226,27.4493,66.8432,82.7347,35.1213,57.0273,66.5966,79.8893,97.2612,98.2609,32.0069,56.2832,59.6774,72.5507,19.802,15.0809,16.9988,3.7545,16.5198,18.4963,15.7182,14.579,16.6972,18.2927,16.8774,16.4047,9.2214,7.3994,9.1504,11.0431,9.8932,8.3585
