state_name,age_bracket,state_code,CMPR_SC_female,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_attending_SC_male,Child_labour_dropout_SC_female,Child_labour_dropout_SC_male,Dropout_rate_SC_female,Dropout_rate_SC_male,Non_worker_dropout_SC_female,School_attendance_rate_SC_female,School_attendance_rate_SC_male
Andhra Pradesh,age_26_29,28,92.6231,83.8205,88.4273,,,,,,,,,
Andhra Pradesh,age_30_33,28,92.0028,95.3146,93.6701,,,,,,,,,
Andhra Pradesh,age_34_plus,28,72.9557,93.3569,83.1682,,,,,,,,,
Andhra Pradesh,age_below10,28,0.0,0.0,0.0,70.7437,73.8267,28.3167,25.2798,28.3167,25.2798,0.0,71.6833,74.7202
Karnataka,age_10_13,29,2.0288,0.6251,1.3025,67.5428,78.0872,25.694,14.2986,25.694,14.2986,0.0,74.306,85.7014
Karnataka,age_14_17,29,24.6115,2.514,12.5705,41.4262,54.0829,39.9717,19.1503,39.9717,19.1503,0.0,60.0283,80.8497
Karnataka,age_18_21,29,76.5162,25.4576,50.4939,15.108,27.2376,57.0307,23.1865,57.0307,23.1865,0.0,42.9693,76.8135
Karnataka,age_22_25,29,76.5162,25.4576,50.4939,,,,,,,,,
Karnataka,age_26_29,29,90.5204,67.6216,79.6846,,,,,,,,,
Karnataka,age_30_33,29,90.9917,89.7854,90.3985,,,,,,,,,
Karnataka,age_34_plus,29,71.3844,93.6655,82.5216,,,,,,,,,
Karnataka,age_below10,29,0.0,0.0,0.0,56.7641,59.9449,42.5647,39.0923,42.5647,39.0923,0.0,57.4353,60.9077
Goa,age_10_13,30,0.9274,0.5255,0.7235,88.8781,92.1533,9.6712,6.9343,9.6712,6.9343,0.0,90.3288,93.0657
Goa,age_14_17,30,14.1397,1.5861,7.486,64.2458,74.0513,28.7151,16.7179,28.7151,16.7179,0.0,71.2849,83.2821
Goa,age_18_21,30,47.5294,17.3477,32.3095,24.4898,37.265,60.8534,35.2137,60.8534,35.2137,0.0,39.1466,64.7863
Goa,age_22_25,30,47.5294,17.3477,32.3095,,,,,,,,,
Goa,age_26_29,30,76.9293,47.2527,62.3861,,,,,,,,,
Goa,age_30_33,30,86.8817,79.0495,82.7639,,,,,,,,,
Goa,age_34_plus,30,67.512,92.0784,79.759,,,,,,,,,
Goa,age_below10,30,0.0,0.0,0.0,74.0236,72.5792,25.8856,27.1493,25.8856,27.1493,0.0,74.1144,72.8507
