state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Himachal Pradesh,age_34_plus,02,30.3319,5.1656,14.4143,3.2129,17.7248,7.2896,68.3625,28.5038,61.8597,8.4559,83.3037,48.3012,31.6375,71.4962,38.1403,91.5441,16.6963,51.6988,10.1025,9.1391,14.867,10.8434,12.7397,15.3131
Punjab,age_below10,03,98.2309,96.8954,97.0964,96.0809,96.648,97.569,71.6248,77.9161,73.6149,69.1858,79.434,72.2345,28.3752,22.0839,26.3851,30.8142,20.566,27.7655,0.0,0.0,0.0,0.0,0.0,0.0
Punjab,age_10_13,03,40.9475,49.3271,39.5335,25.4717,51.1902,43.4746,7.6563,24.9064,11.3847,1.7819,26.2781,11.4016,92.3438,75.0936,88.6153,98.2181,73.7219,88.5984,4.8505,4.1694,7.3995,13.3527,3.8347,5.1651
Punjab,age_14_17,03,3.5669,8.5038,3.988,0.988,8.3746,4.8036,6.2687,30.1701,11.3408,1.7337,31.2836,13.2552,93.7313,69.8299,88.6592,98.2663,68.7164,86.7448,41.0828,32.6907,38.893,35.7798,32.1619,38.4042
Punjab,age_18_21,03,3.8095,5.7465,2.8477,0.7937,7.1515,3.1596,6.8441,34.5526,14.6899,1.5625,39.5576,17.1928,93.1559,65.4474,85.3101,98.4375,60.4424,82.8072,22.8571,18.053,15.7474,1.8519,20.2986,17.4513
Punjab,age_22_25,03,2.6934,4.5279,2.195,0.1151,6.1789,2.309,14.5218,46.9018,20.3816,2.6331,48.8254,24.0966,85.4782,53.0982,79.6184,97.3669,51.1746,75.9034,18.9917,15.7549,13.2088,1.1507,17.0607,15.554
Punjab,age_26_29,03,3.1671,5.6647,2.912,0.2734,8.3052,3.1227,23.1752,57.2895,27.6451,1.9437,59.1649,33.5136,76.8248,42.7105,72.3549,98.0563,40.8351,66.4864,19.0816,14.2977,15.2157,3.3493,16.7171,17.135
Punjab,age_30_33,03,5.9406,7.0469,3.9074,0.4332,9.3245,4.1532,33.1568,64.8787,33.4034,2.7388,67.9931,40.3226,66.8432,35.1213,66.5966,97.2612,32.0069,59.6774,19.802,15.0809,16.9988,3.7545,16.5198,18.4963
Punjab,age_34_plus,03,9.6774,7.2537,5.646,2.3308,11.7971,6.5975,69.1245,76.6645,51.2836,9.3133,84.8162,62.6424,30.8755,23.3355,48.7164,90.6867,15.1838,37.3576,15.2445,15.6658,16.621,10.8207,12.8533,16.1488
Chandigarh,age_below10,04,100.0,99.3056,97.7162,100.0,97.4138,97.9035,64.0,76.6234,74.483,73.5632,77.8995,66.5963,36.0,23.3766,25.517,26.4368,22.1005,33.4037,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,age_10_13,04,32.0755,36.8821,38.2277,17.7215,49.6302,29.9176,3.6364,10.8475,10.352,2.4691,17.9366,2.4112,96.3636,89.1525,89.648,97.5309,82.0634,97.5888,3.7736,6.0837,7.2666,11.3924,4.2728,8.734
Chandigarh,age_14_17,04,3.9216,2.3529,3.8699,0.0,8.3243,1.5236,3.7736,14.1414,9.3504,1.9417,19.0726,2.2989,96.2264,85.8586,90.6496,98.0583,80.9274,97.7011,35.2941,43.1373,40.7291,36.6337,35.4595,43.0858
Chandigarh,age_18_21,04,1.1236,2.1739,2.1887,0.0,4.0767,0.8191,2.1978,14.2857,13.6878,0.0,25.5357,2.4322,97.8022,85.7143,86.3122,100.0,74.4643,97.5678,5.618,18.8406,12.3774,2.0,26.3789,7.5142
Chandigarh,age_22_25,04,0.7752,4.0115,2.2743,0.7634,6.0116,0.6519,3.7313,15.4964,21.8959,1.5038,38.9986,4.1174,96.2687,84.5036,78.1041,98.4962,61.0014,95.8826,4.6512,8.3095,11.0743,0.7634,20.0,6.1366
Chandigarh,age_26_29,04,1.9608,1.8041,2.6193,0.0,10.3077,1.3085,13.5593,11.0092,29.8005,2.0833,54.2576,5.5149,86.4407,88.9908,70.1995,97.9167,45.7424,94.4851,7.8431,7.9897,12.0247,5.3191,14.6154,8.4711
Chandigarh,age_30_33,04,0.0,1.6502,3.0532,0.0,8.2979,1.2868,20.6897,14.1643,34.2842,1.0417,57.4661,9.0772,79.3103,85.8357,65.7158,98.9583,42.5339,90.9228,17.3913,7.9208,12.4963,9.4737,15.9574,9.5475
Chandigarh,age_34_plus,04,3.4884,2.9867,3.8027,1.0288,12.3306,2.604,27.7311,17.8182,35.7322,6.7179,72.2034,20.206,72.2689,82.1818,64.2678,93.2821,27.7966,79.794,17.4419,10.177,12.3745,8.8477,11.3821,10.6869
State - UTTARANCHAL  05,age_below10,05,93.3099,96.3397,97.3701,95.2632,94.2556,96.5209,66.2708,70.8493,73.5775,69.0554,82.4515,74.094,33.7292,29.1507,26.4225,30.9446,17.5485,25.906,0.0,0.0,0.0,0.0,0.0,0.0
State - UTTARANCHAL  05,age_10_13,05,33.1361,35.7081,45.3421,19.5906,57.8325,42.7012,7.4818,5.9641,8.0455,1.1561,33.3293,13.143,92.5182,94.0359,91.9545,98.8439,66.6707,86.857,8.6785,11.3814,5.8873,19.883,4.4206,7.7498
State - UTTARANCHAL  05,age_14_17,05,4.5858,4.2039,6.2562,0.8621,20.2839,9.1073,4.9226,6.2867,10.9403,0.8547,41.5741,18.4905,95.0774,93.7133,89.0597,99.1453,58.4259,81.5095,33.284,43.1127,40.9831,38.7931,24.2461,37.564
State - UTTARANCHAL  05,age_18_21,05,3.6474,2.0513,3.9087,0.0,15.6526,5.9185,8.6111,6.25,16.1291,2.7778,48.4146,22.5902,91.3889,93.75,83.8709,97.2222,51.5854,77.4098,14.5897,15.5556,26.0823,1.7143,16.9111,20.0117
