state_name,age_bracket,state_code,CMPR_SC_female,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_dropout_SC_female,Dropout_rate_SC_female,Non_worker_dropout_SC_female,School_attendance_rate_SC_female
Mizoram,age_30_33,15,100.0,78.4314,,,,,
Mizoram,age_34_plus,15,85.7143,88.8889,,,,,
Mizoram,age_below10,15,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Tripura,age_10_13,16,1.0251,0.7009,85.6596,13.5488,13.5488,0.0,86.4512
Tripura,age_14_17,16,23.9041,12.541,65.1907,32.2917,32.2917,0.0,67.7083
Tripura,age_18_21,16,71.6811,46.5095,29.6955,65.9606,65.9606,0.0,34.0394
Tripura,age_22_25,16,71.6811,46.5095,,,,,
Tripura,age_26_29,16,88.3522,73.7243,,,,,
Tripura,age_30_33,16,91.0257,87.4255,,,,,
Tripura,age_34_plus,16,68.4725,81.8143,,,,,
Tripura,age_below10,16,0.0,0.0,61.9098,37.9305,37.9305,0.0,62.0695
Meghalaya,age_10_13,17,1.6552,1.0067,53.8462,45.1282,45.1282,0.0,54.8718
Meghalaya,age_14_17,17,21.8254,12.5108,49.3363,48.4513,48.4513,0.0,51.5487
Meghalaya,age_18_21,17,68.4332,47.1101,25.5208,71.875,71.875,0.0,28.125
Meghalaya,age_22_25,17,68.4332,47.1101,,,,,
Meghalaya,age_26_29,17,88.5965,71.4597,,,,,
Meghalaya,age_30_33,17,88.9952,82.5836,,,,,
Meghalaya,age_34_plus,17,70.7335,82.4818,,,,,
Meghalaya,age_below10,17,0.0,0.0,40.1062,59.6282,59.6282,0.0,40.3718
Assam,age_10_13,18,1.3385,0.8381,72.4615,26.5596,26.5596,0.0,73.4404
Assam,age_14_17,18,19.3907,10.1523,53.6105,43.5191,43.5191,0.0,56.4809
Assam,age_18_21,18,65.728,40.5112,28.2624,66.6599,66.6599,0.0,33.3401
Assam,age_22_25,18,65.728,40.5112,,,,,
Assam,age_26_29,18,86.1146,68.6049,,,,,
Assam,age_30_33,18,90.8384,83.6687,,,,,
Assam,age_34_plus,18,70.1268,81.4855,,,,,
Assam,age_below10,18,0.0,0.0,55.0655,44.6779,44.6779,0.0,55.3221
West Bengal,age_10_13,19,1.522,0.9983,69.9029,28.3071,28.3071,0.0,71.6929
West Bengal,age_14_17,19,34.3947,17.5277,42.6735,50.7907,50.7907,0.0,49.2093
West Bengal,age_18_21,19,84.9674,60.0139,15.882,75.3552,75.3552,0.0,24.6448
West Bengal,age_22_25,19,84.9674,60.0139,,,,,
West Bengal,age_26_29,19,93.3733,82.8602,,,,,
West Bengal,age_30_33,19,93.388,91.386,,,,,
West Bengal,age_34_plus,19,70.0243,82.4124,,,,,
West Bengal,age_below10,19,0.0,0.0,54.0554,45.7512,45.7512,0.0,54.2488
Jharkhand,age_10_13,20,2.6251,1.5349,41.0238,57.2474,57.2474,0.0,42.7526
Jharkhand,age_14_17,20,47.2107,26.5183,26.8017,66.7911,66.7911,0.0,33.2089
Jharkhand,age_18_21,20,91.6532,75.2054,9.0901,79.9339,79.9339,0.0,20.0661
Jharkhand,age_22_25,20,91.6532,75.2054,,,,,
Jharkhand,age_26_29,20,96.0125,91.3623,,,,,
Jharkhand,age_30_33,20,95.0532,94.7632,,,,,
Jharkhand,age_34_plus,20,77.9399,85.2175,,,,,
Jharkhand,age_below10,20,0.0,0.0,27.6371,72.0829,72.0829,0.0,27.9171
State - ORISSA  21,age_10_13,21,1.0409,0.6611,62.2988,36.6886,36.6886,0.0,63.3114
State - ORISSA  21,age_14_17,21,16.455,9.1519,32.4559,62.9212,62.9212,0.0,37.0788
State - ORISSA  21,age_18_21,21,71.2969,46.9418,12.5326,79.9155,79.9155,0.0,20.0845
State - ORISSA  21,age_22_25,21,71.2969,46.9418,,,,,
State - ORISSA  21,age_26_29,21,92.0831,80.5191,,,,,
State - ORISSA  21,age_30_33,21,93.8808,92.8575,,,,,
State - ORISSA  21,age_34_plus,21,75.6829,84.7415,,,,,
State - ORISSA  21,age_below10,21,0.0,0.0,53.1372,46.7194,46.7194,0.0,53.2806
Chhattisgarh,age_10_13,22,1.3301,0.8947,77.1335,21.2342,21.2342,0.0,78.7658
Chhattisgarh,age_14_17,22,25.0082,14.1862,43.0936,46.2013,46.2013,0.0,53.7987
Chhattisgarh,age_18_21,22,83.2278,65.4082,16.0802,61.0605,61.0605,0.0,38.9395
Chhattisgarh,age_22_25,22,83.2278,65.4082,,,,,
Chhattisgarh,age_26_29,22,92.3303,87.4258,,,,,
Chhattisgarh,age_30_33,22,93.4162,93.7998,,,,,
Chhattisgarh,age_34_plus,22,73.5831,82.3877,,,,,
Chhattisgarh,age_below10,22,0.0,0.0,58.6008,41.1808,41.1808,0.0,58.8192
Madhya Pradesh,age_10_13,23,4.2944,2.734,72.4422,25.4075,25.4075,0.0,74.5925
Madhya Pradesh,age_14_17,23,44.171,25.395,40.2396,49.0215,49.0215,0.0,50.9785
Madhya Pradesh,age_18_21,23,90.8121,72.8663,14.5838,65.344,65.344,0.0,34.656
Madhya Pradesh,age_22_25,23,90.8121,72.8663,,,,,
Madhya Pradesh,age_26_29,23,96.4319,90.2794,,,,,
Madhya Pradesh,age_30_33,23,96.2509,94.47,,,,,
Madhya Pradesh,age_34_plus,23,77.1939,83.8841,,,,,
Madhya Pradesh,age_below10,23,0.0,0.0,51.0322,48.7307,48.7307,0.0,51.2693
Gujarat,age_10_13,24,1.2228,0.7984,81.876,16.9693,16.9693,0.0,83.0307
Gujarat,age_14_17,24,14.8278,8.3914,45.1628,46.67,46.67,0.0,53.33
Gujarat,age_18_21,24,76.5899,54.9137,19.1233,66.6511,66.6511,0.0,33.3489
Gujarat,age_22_25,24,76.5899,54.9137,,,,,
Gujarat,age_26_29,24,94.0746,85.7459,,,,,
Gujarat,age_30_33,24,95.2014,93.3008,,,,,
Gujarat,age_34_plus,24,77.0416,84.5417,,,,,
Gujarat,age_below10,24,0.0,0.0,65.2479,34.6385,34.6385,0.0,65.3615
Daman & Diu,age_10_13,25,1.4493,0.6969,92.5764,7.4236,7.4236,0.0,92.5764
Daman & Diu,age_14_17,25,7.4349,4.4964,71.0407,27.1493,27.1493,0.0,72.8507
Daman & Diu,age_18_21,25,67.7686,41.1765,28.4211,68.4211,68.4211,0.0,31.5789
Daman & Diu,age_22_25,25,67.7686,41.1765,,,,,
Daman & Diu,age_26_29,25,90.4306,74.2981,,,,,
Daman & Diu,age_30_33,25,87.8205,89.5317,,,,,
Daman & Diu,age_34_plus,25,65.9864,79.2302,,,,,
Daman & Diu,age_below10,25,0.0,0.0,81.6964,18.3036,18.3036,0.0,81.6964
Dadra & Nagar Haveli,age_10_13,26,1.2048,0.8197,92.5373,6.7164,6.7164,0.0,93.2836
