state_name,age_bracket,state_code,Below_primary_share_ST_female,Below_primary_share_ST_male,CMPR_ST_female,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_attending_ST_male,Child_labour_dropout_ST_female,Child_labour_dropout_ST_male,Dropout_rate_ST_female,Dropout_rate_ST_male,Illiteracy_rate_ST_female,Illiteracy_rate_ST_male,Literacy_rate_ST_female,Literacy_rate_ST_male,Non_worker_dropout_ST_female,School_attendance_rate_ST_female,School_attendance_rate_ST_male
Uttar Pradesh,age_22_25,09,16.9492,13.4083,89.8694,63.695,77.1737,,,,,,,82.733,44.7419,17.267,55.2581,,,
Uttar Pradesh,age_26_29,09,15.1697,12.5235,97.3407,88.3086,92.6794,,,,,,,87.431,49.8471,12.569,50.1529,,,
Uttar Pradesh,age_30_33,09,12.963,15.6716,97.5851,95.0252,96.3168,,,,,,,89.6268,55.0587,10.3732,44.9413,,,
Uttar Pradesh,age_34_plus,09,18.5923,19.8349,85.4228,90.5378,88.1743,,,,,,,93.8055,66.6172,6.1945,33.3828,,,
Uttar Pradesh,age_below10,09,93.292,94.1548,0.0,0.0,0.0,29.7923,39.0818,69.3063,59.4719,69.3063,59.4719,89.2256,85.1696,10.7744,14.8304,0.0,30.6937,40.5281
Bihar,age_10_13,10,56.1197,54.6104,2.2385,0.689,1.4039,26.6741,44.9904,68.1401,47.814,68.1401,47.814,70.8627,50.9261,29.1373,49.0739,0.0,31.8599,52.186
Bihar,age_14_17,10,19.3726,17.2794,35.0004,6.4769,19.0452,18.0335,34.7518,64.3463,35.3088,64.3463,35.3088,72.3994,48.5245,27.6006,51.4755,0.0,35.6537,64.6912
Bihar,age_18_21,10,12.4598,11.8217,86.1271,48.3263,67.7566,8.5655,22.7784,66.8473,28.6558,66.8473,28.6558,78.6034,47.7854,21.3966,52.2146,0.0,33.1527,71.3442
Bihar,age_22_25,10,11.9216,10.4757,86.1271,48.3263,67.7566,,,,,,,83.989,52.2297,16.011,47.7703,,,
Bihar,age_26_29,10,13.0482,11.4409,94.5154,82.8607,88.7873,,,,,,,87.2326,57.5711,12.7674,42.4289,,,
Bihar,age_30_33,10,13.8617,11.9165,95.1209,93.3866,94.2702,,,,,,,90.0729,62.2602,9.9271,37.7398,,,
Bihar,age_34_plus,10,14.8789,15.3223,78.3263,91.9052,85.4741,,,,,,,93.5562,69.4874,6.4438,30.5126,,,
Bihar,age_below10,10,94.1964,94.0547,0.0,0.0,0.0,16.2817,24.0268,82.9616,74.8751,82.9616,74.8751,93.216,89.2645,6.784,10.7355,0.0,17.0384,25.1249
