state_name,age_bracket,state_code,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_male,Child_labour_dropout_SC_male,Dropout_rate_SC_male,School_attendance_rate_SC_male
Jharkhand,age_18_21,20,58.4444,75.2054,28.287,43.8136,43.8136,56.1864
Jharkhand,age_22_25,20,58.4444,75.2054,,,,
Jharkhand,age_26_29,20,86.6138,91.3623,,,,
Jharkhand,age_30_33,20,94.4575,94.7632,,,,
Jharkhand,age_34_plus,20,92.0004,85.2175,,,,
Jharkhand,age_below10,20,0.0,0.0,36.7643,62.7842,62.7842,37.2158
State - ORISSA  21,age_10_13,21,0.2944,0.6611,76.1768,22.2272,22.2272,77.7728
State - ORISSA  21,age_14_17,21,1.9283,9.1519,48.9497,39.5548,39.5548,60.4452
State - ORISSA  21,age_18_21,21,23.1268,46.9418,24.6636,47.8841,47.8841,52.1159
State - ORISSA  21,age_22_25,21,23.1268,46.9418,,,,
State - ORISSA  21,age_26_29,21,68.0263,80.5191,,,,
State - ORISSA  21,age_30_33,21,91.7814,92.8575,,,,
State - ORISSA  21,age_34_plus,21,93.3776,84.7415,,,,
State - ORISSA  21,age_below10,21,0.0,0.0,58.6373,41.1048,41.1048,58.8952
Chhattisgarh,age_10_13,22,0.485,0.8947,87.3798,11.1871,11.1871,88.8129
Chhattisgarh,age_14_17,22,4.9469,14.1862,63.9579,23.5203,23.5203,76.4797
Chhattisgarh,age_18_21,22,47.3576,65.4082,38.4772,30.1432,30.1432,69.8568
Chhattisgarh,age_22_25,22,47.3576,65.4082,,,,
Chhattisgarh,age_26_29,22,82.4494,87.4258,,,,
Chhattisgarh,age_30_33,22,94.2083,93.7998,,,,
Chhattisgarh,age_34_plus,22,91.7756,82.3877,,,,
Chhattisgarh,age_below10,22,0.0,0.0,62.0588,37.6976,37.6976,62.3024
Madhya Pradesh,age_10_13,23,1.417,2.734,84.8104,12.5216,12.5216,87.4784
Madhya Pradesh,age_14_17,23,11.7952,25.395,61.2943,20.676,20.676,79.324
Madhya Pradesh,age_18_21,23,56.4693,72.8663,34.1285,25.3988,25.3988,74.6012
Madhya Pradesh,age_22_25,23,56.4693,72.8663,,,,
Madhya Pradesh,age_26_29,23,84.3756,90.2794,,,,
Madhya Pradesh,age_30_33,23,92.7162,94.47,,,,
Madhya Pradesh,age_34_plus,23,90.2307,83.8841,,,,
Madhya Pradesh,age_below10,23,0.0,0.0,55.6546,44.0295,44.0295,55.9705
Gujarat,age_10_13,24,0.4245,0.7984,89.6273,8.7831,8.7831,91.2169
Gujarat,age_14_17,24,2.8439,8.3914,61.8203,21.2889,21.2889,78.7111
Gujarat,age_18_21,24,35.9846,54.9137,29.4864,27.8453,27.8453,72.1547
Gujarat,age_22_25,24,35.9846,54.9137,,,,
Gujarat,age_26_29,24,77.7499,85.7459,,,,
Gujarat,age_30_33,24,91.439,93.3008,,,,
Gujarat,age_34_plus,24,91.9718,84.5417,,,,
Gujarat,age_below10,24,0.0,0.0,67.2868,32.5099,32.5099,67.4901
Daman & Diu,age_10_13,25,0.0,0.6969,95.1807,3.6145,3.6145,96.3855
Daman & Diu,age_14_17,25,1.7422,4.4964,80.5,9.5,9.5,90.5
Daman & Diu,age_18_21,25,18.5965,41.1765,39.7059,15.4412,15.4412,84.5588
Daman & Diu,age_22_25,25,18.5965,41.1765,,,,
Daman & Diu,age_26_29,25,61.0236,74.2981,,,,
Daman & Diu,age_30_33,25,90.8213,89.5317,,,,
Daman & Diu,age_34_plus,25,94.3925,79.2302,,,,
Daman & Diu,age_below10,25,0.0,0.0,78.8104,20.0743,20.0743,79.9257
Dadra & Nagar Haveli,age_10_13,26,0.5,0.8197,96.1538,3.2051,3.2051,96.7949
Dadra & Nagar Haveli,age_14_17,26,3.4934,12.1065,78.8571,10.2857,10.2857,89.7143
Dadra & Nagar Haveli,age_18_21,26,28.5714,53.1746,36.7347,17.3469,17.3469,82.6531
Dadra & Nagar Haveli,age_22_25,26,28.5714,53.1746,,,,
Dadra & Nagar Haveli,age_26_29,26,76.4706,84.1438,,,,
Dadra & Nagar Haveli,age_30_33,26,97.4227,97.6261,,,,
Dadra & Nagar Haveli,age_34_plus,26,95.4628,86.7701,,,,
Dadra & Nagar Haveli,age_below10,26,0.0,0.0,60.7306,39.2694,39.2694,60.7306
Maharashtra,age_10_13,27,0.3275,0.6685,91.9802,6.0934,6.0934,93.9066
Maharashtra,age_14_17,27,1.7219,10.1307,72.6211,14.0062,14.0062,85.9938
Maharashtra,age_18_21,27,26.8664,50.9769,45.49,22.6225,22.6225,77.3775
Maharashtra,age_22_25,27,26.8664,50.9769,,,,
Maharashtra,age_26_29,27,70.6063,80.9404,,,,
Maharashtra,age_30_33,27,91.9618,92.0335,,,,
Maharashtra,age_34_plus,27,94.1853,83.3038,,,,
Maharashtra,age_below10,27,0.0,0.0,68.7583,30.9492,30.9492,69.0508
Andhra Pradesh,age_10_13,28,0.3978,1.0076,81.7099,10.4056,10.4056,89.5944
Andhra Pradesh,age_14_17,28,3.424,19.0717,52.622,17.6489,17.6489,82.3511
Andhra Pradesh,age_18_21,28,43.6427,64.317,29.0618,22.5235,22.5235,77.4765
Andhra Pradesh,age_22_25,28,43.6427,64.317,,,,
Andhra Pradesh,age_26_29,28,83.8205,88.4273,,,,
Andhra Pradesh,age_30_33,28,95.3146,93.6701,,,,
Andhra Pradesh,age_34_plus,28,93.3569,83.1682,,,,
Andhra Pradesh,age_below10,28,0.0,0.0,73.8267,25.2798,25.2798,74.7202
Karnataka,age_10_13,29,0.6251,1.3025,78.0872,14.2986,14.2986,85.7014
Karnataka,age_14_17,29,2.514,12.5705,54.0829,19.1503,19.1503,80.8497
Karnataka,age_18_21,29,25.4576,50.4939,27.2376,23.1865,23.1865,76.8135
Karnataka,age_22_25,29,25.4576,50.4939,,,,
Karnataka,age_26_29,29,67.6216,79.6846,,,,
Karnataka,age_30_33,29,89.7854,90.3985,,,,
Karnataka,age_34_plus,29,93.6655,82.5216,,,,
Karnataka,age_below10,29,0.0,0.0,59.9449,39.0923,39.0923,60.9077
Goa,age_10_13,30,0.5255,0.7235,92.1533,6.9343,6.9343,93.0657
Goa,age_14_17,30,1.5861,7.486,74.0513,16.7179,16.7179,83.2821
Goa,age_18_21,30,17.3477,32.3095,37.265,35.2137,35.2137,64.7863
Goa,age_22_25,30,17.3477,32.3095,,,,
Goa,age_26_29,30,47.2527,62.3861,,,,
Goa,age_30_33,30,79.0495,82.7639,,,,
Goa,age_34_plus,30,92.0784,79.759,,,,
Goa,age_below10,30,0.0,0.0,72.5792,27.1493,27.1493,72.8507
Kerala,age_10_13,32,0.2128,0.5172,96.9169,2.8248,2.8248,97.1752
Kerala,age_14_17,32,0.8479,5.873,73.8448,20.3761,20.3761,79.6239
Kerala,age_18_21,32,11.2126,32.7182,29.2647,45.7864,45.7864,54.2136
Kerala,age_22_25,32,11.2126,32.7182,,,,
Kerala,age_26_29,32,47.5359,63.9829,,,,
Kerala,age_30_33,32,80.2705,83.1098,,,,
