state_name,age_bracket,state_code,Below_primary_share_ST_female,CMPR_ST_female,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_dropout_ST_female,Dropout_rate_ST_female,Illiteracy_rate_ST_female,Literacy_rate_ST_female,Non_worker_dropout_ST_female,School_attendance_rate_ST_female
Chhattisgarh,age_14_17,22,18.1003,21.5255,13.4315,31.8408,48.6488,48.6488,34.2037,65.7963,0.0,51.3512
Chhattisgarh,age_18_21,22,17.2392,80.9122,66.55,11.9349,57.2802,57.2802,45.2777,54.7223,0.0,42.7198
Chhattisgarh,age_22_25,22,20.111,80.9122,66.55,,,,54.1388,45.8612,,
Chhattisgarh,age_26_29,22,23.5487,92.1432,87.7906,,,,62.1467,37.8533,,
Chhattisgarh,age_30_33,22,25.8837,93.4704,93.3304,,,,68.6557,31.3443,,
Chhattisgarh,age_34_plus,22,30.9064,74.059,82.0574,,,,83.8263,16.1737,,
Chhattisgarh,age_below10,22,98.2646,0.0,0.0,48.3762,50.9657,50.9657,81.8013,18.1987,0.0,49.0343
Madhya Pradesh,age_10_13,23,67.6162,2.1237,1.4798,47.9748,45.5305,45.5305,45.1568,54.8432,0.0,54.4695
Madhya Pradesh,age_14_17,23,28.8234,35.4866,23.3842,22.4701,54.6962,54.6962,52.969,47.031,0.0,45.3038
Madhya Pradesh,age_18_21,23,23.3737,90.7094,79.266,8.3492,56.7398,56.7398,63.749,36.251,0.0,43.2602
Madhya Pradesh,age_22_25,23,23.6464,90.7094,79.266,,,,70.8234,29.1766,,
Madhya Pradesh,age_26_29,23,26.386,96.2059,93.2061,,,,76.9119,23.0881,,
Madhya Pradesh,age_30_33,23,28.7769,95.8777,95.473,,,,81.397,18.603,,
Madhya Pradesh,age_34_plus,23,31.8693,78.7523,84.996,,,,90.3816,9.6184,,
Madhya Pradesh,age_below10,23,97.5924,0.0,0.0,35.4741,63.7801,63.7801,86.5042,13.4958,0.0,36.2199
Gujarat,age_10_13,24,44.3952,0.9859,0.6818,58.1876,37.8806,37.8806,34.1544,65.8456,0.0,62.1194
Gujarat,age_14_17,24,17.5798,18.5256,11.5402,36.3229,47.2387,47.2387,37.6489,62.3511,0.0,52.7613
Gujarat,age_18_21,24,16.717,81.2693,68.0028,15.0906,56.7185,56.7185,46.9349,53.0651,0.0,43.2815
Gujarat,age_22_25,24,17.8325,81.2693,68.0028,,,,56.3857,43.6143,,
Gujarat,age_26_29,24,22.7637,93.8125,90.2585,,,,66.9109,33.0891,,
Gujarat,age_30_33,24,27.7705,94.9109,94.3459,,,,74.8361,25.1639,,
Gujarat,age_34_plus,24,35.9145,79.7473,85.4465,,,,87.761,12.239,,
Gujarat,age_below10,24,98.1957,0.0,0.0,49.0114,50.6429,50.6429,81.1148,18.8852,0.0,49.3571
Daman & Diu,age_10_13,25,36.0714,1.0323,0.5999,81.3505,12.3794,12.3794,9.9678,90.0322,0.0,87.6206
Daman & Diu,age_14_17,25,13.7295,15.534,8.2655,36.4421,28.4974,28.4974,15.7168,84.2832,0.0,71.5026
Daman & Diu,age_18_21,25,13.1004,76.8546,52.2429,8.8136,43.3898,43.3898,22.3729,77.6271,0.0,56.6102
Daman & Diu,age_22_25,25,20.8889,76.8546,52.2429,,,,33.2344,66.7656,,
Daman & Diu,age_26_29,25,23.3766,92.1168,85.6618,,,,43.7956,56.2044,,
Daman & Diu,age_30_33,25,45.6221,91.4563,92.0591,,,,57.8641,42.1359,,
Daman & Diu,age_34_plus,25,44.3515,69.5742,81.328,,,,87.5909,12.4091,,
Daman & Diu,age_below10,25,99.115,0.0,0.0,74.937,24.3073,24.3073,69.9668,30.0332,0.0,75.6927
Dadra & Nagar Haveli,age_10_13,26,45.7719,0.7706,0.5155,51.9845,39.8543,39.8543,42.5152,57.4848,0.0,60.1457
Dadra & Nagar Haveli,age_14_17,26,19.7553,27.097,17.2053,23.9306,41.7534,41.7534,57.4759,42.5241,0.0,58.2466
Dadra & Nagar Haveli,age_18_21,26,18.7435,83.5013,75.4068,8.009,44.9102,44.9102,64.259,35.741,0.0,55.0898
Dadra & Nagar Haveli,age_22_25,26,19.0137,83.5013,75.4068,,,,71.2689,28.7311,,
Dadra & Nagar Haveli,age_26_29,26,21.7428,93.121,92.5575,,,,78.4895,21.5105,,
Dadra & Nagar Haveli,age_30_33,26,27.5862,94.1775,95.8303,,,,84.6498,15.3502,,
Dadra & Nagar Haveli,age_34_plus,26,37.0575,77.8935,86.1026,,,,95.046,4.954,,
Dadra & Nagar Haveli,age_below10,26,98.5159,0.0,0.0,50.5576,48.8098,48.8098,84.1078,15.8922,0.0,51.1902
Maharashtra,age_10_13,27,48.569,1.0302,0.6338,72.6912,22.1923,22.1923,18.3406,81.6594,0.0,77.8077
Maharashtra,age_14_17,27,19.53,22.9462,12.4665,44.655,32.7996,32.7996,26.3781,73.6219,0.0,67.2004
Maharashtra,age_18_21,27,19.9568,83.5876,63.5973,18.6243,41.8192,41.8192,39.679,60.321,0.0,58.1808
Maharashtra,age_22_25,27,23.4347,83.5876,63.5973,,,,50.8094,49.1906,,
Maharashtra,age_26_29,27,28.7904,93.682,88.0571,,,,60.5648,39.4352,,
Maharashtra,age_30_33,27,38.2291,93.8185,94.4385,,,,70.0902,29.9098,,
Maharashtra,age_34_plus,27,48.991,74.9219,84.1044,,,,85.0449,14.9551,,
Maharashtra,age_below10,27,98.1342,0.0,0.0,56.4073,43.1067,43.1067,78.5333,21.4667,0.0,56.8933
Andhra Pradesh,age_10_13,28,46.4511,2.0863,1.2149,50.246,33.1062,33.1062,43.0105,56.9895,0.0,66.8938
Andhra Pradesh,age_14_17,28,21.9985,43.1222,24.2255,23.5033,37.4024,37.4024,57.0882,42.9118,0.0,62.5976
Andhra Pradesh,age_18_21,28,21.9391,89.1162,74.6827,7.9464,40.5345,40.5345,69.5753,30.4247,0.0,59.4655
Andhra Pradesh,age_22_25,28,23.052,89.1162,74.6827,,,,76.5352,23.4648,,
Andhra Pradesh,age_26_29,28,26.779,94.2478,92.2774,,,,82.459,17.541,,
Andhra Pradesh,age_30_33,28,30.1955,92.9979,94.6398,,,,87.8367,12.1633,,
Andhra Pradesh,age_34_plus,28,30.5393,77.0448,85.5784,,,,94.2518,5.7482,,
Andhra Pradesh,age_below10,28,96.7561,0.0,0.0,58.2782,39.4753,39.4753,78.425,21.575,0.0,60.5247
Karnataka,age_10_13,29,43.3192,2.4526,1.5276,60.6955,30.368,30.368,28.9607,71.0393,0.0,69.632
Karnataka,age_14_17,29,14.8549,27.7213,14.1501,33.2155,44.4346,44.4346,37.2494,62.7506,0.0,55.5654
Karnataka,age_18_21,29,15.1866,79.6266,52.7105,10.9101,57.4808,57.4808,48.0828,51.9172,0.0,42.5192
Karnataka,age_22_25,29,17.2044,79.6266,52.7105,,,,57.9451,42.0549,,
Karnataka,age_26_29,29,22.4815,92.0294,81.6414,,,,69.7724,30.2276,,
Karnataka,age_30_33,29,28.5794,91.876,91.6854,,,,77.6979,22.3021,,
Karnataka,age_34_plus,29,36.3901,70.7081,82.1151,,,,88.1209,11.8791,,
Karnataka,age_below10,29,97.7927,0.0,0.0,52.4722,46.5953,46.5953,77.0632,22.9368,0.0,53.4047
Goa,age_10_13,30,40.9091,2.5641,1.4085,55.8824,29.4118,29.4118,35.2941,64.7059,0.0,70.5882
Goa,age_14_17,30,25.0,22.2222,12.3077,37.5,41.6667,41.6667,33.3333,66.6667,0.0,58.3333
Goa,age_18_21,30,0.0,75.8621,50.0,12.5,50.0,50.0,62.5,37.5,0.0,50.0
Goa,age_22_25,30,13.3333,75.8621,50.0,,,,48.2759,51.7241,,
Goa,age_26_29,30,27.2727,68.0,67.1875,,,,56.0,44.0,,
Goa,age_30_33,30,37.5,92.3077,88.0952,,,,69.2308,30.7692,,
Goa,age_34_plus,30,38.8889,73.3333,84.058,,,,70.0,30.0,,
Goa,age_below10,30,92.3077,0.0,0.0,50.0,50.0,50.0,78.6885,21.3115,0.0,50.0
Lakshadweep,age_10_13,31,39.4459,0.5598,0.3224,96.143,3.857,3.857,2.937,97.063,0.0,96.143
Lakshadweep,age_14_17,31,6.2294,12.3176,6.3386,70.978,28.982,28.982,3.2335,96.7665,0.0,71.018
Lakshadweep,age_18_21,31,7.9792,64.5448,40.3765,21.1943,78.217,78.217,3.0278,96.9722,0.0,21.783
Lakshadweep,age_22_25,31,13.7299,64.5448,40.3765,,,,4.9431,95.0569,,
Lakshadweep,age_26_29,31,20.5039,86.3782,70.3963,,,,7.7724,92.2276,,
Lakshadweep,age_30_33,31,23.5105,90.1319,89.5968,,,,8.9888,91.0112,,
Lakshadweep,age_34_plus,31,35.6761,71.5702,82.4274,,,,43.2338,56.7662,,
Lakshadweep,age_below10,31,98.4615,0.0,0.0,81.5321,18.4361,18.4361,76.0877,23.9123,0.0,81.5639
Kerala,age_10_13,32,38.0684,1.0513,0.6811,83.9953,15.0876,15.0876,10.8646,89.1354,0.0,84.9124
Kerala,age_14_17,32,13.4995,16.7024,9.3329,55.6462,36.2794,36.2794,12.5602,87.4398,0.0,63.7206
Kerala,age_18_21,32,15.85,63.1192,46.4878,17.9653,62.7052,62.7052,18.6012,81.3988,0.0,37.2948
Kerala,age_22_25,32,16.4847,63.1192,46.4878,,,,24.5162,75.4838,,
Kerala,age_26_29,32,19.0023,80.9574,73.3521,,,,35.6447,64.3553,,
Kerala,age_30_33,32,21.6004,84.3347,84.7692,,,,45.7943,54.2057,,
Kerala,age_34_plus,32,36.4667,69.4243,79.8804,,,,68.8819,31.1181,,
Kerala,age_below10,32,97.1924,0.0,0.0,67.9832,31.817,31.817,79.3223,20.6777,0.0,68.183
Tamil Nadu,age_10_13,33,27.8442,2.0911,1.4028,58.9053,32.39,32.39,33.2175,66.7825,0.0,67.61
Tamil Nadu,age_14_17,33,10.5357,31.6355,17.5708,32.3941,39.0399,39.0399,41.3785,58.6215,0.0,60.9601
Tamil Nadu,age_18_21,33,10.0999,83.4463,65.1573,9.8838,46.3442,46.3442,51.961,48.039,0.0,53.6558
Tamil Nadu,age_22_25,33,10.2529,83.4463,65.1573,,,,61.8688,38.1312,,
Tamil Nadu,age_26_29,33,13.0516,93.2378,87.7778,,,,72.4738,27.5262,,
Tamil Nadu,age_30_33,33,15.4614,93.307,93.5866,,,,79.1634,20.8366,,
Tamil Nadu,age_34_plus,33,17.6058,75.9524,84.4585,,,,87.4942,12.5058,,
Tamil Nadu,age_below10,33,93.5047,0.0,0.0,59.8214,38.3162,38.3162,79.2155,20.7845,0.0,61.6838
Andaman & Nicobar Islands,age_10_13,35,38.5338,0.327,0.2508,80.7631,18.9189,18.9189,15.4213,84.5787,0.0,81.0811
Andaman & Nicobar Islands,age_14_17,35,7.4672,3.681,2.0033,69.667,29.4329,29.4329,10.8011,89.1989,0.0,70.5671
Andaman & Nicobar Islands,age_18_21,35,6.3098,36.4985,24.2841,38.9155,57.0973,57.0973,16.5869,83.4131,0.0,42.9027
Andaman & Nicobar Islands,age_22_25,35,7.2007,36.4985,24.2841,,,,17.5816,82.4184,,
Andaman & Nicobar Islands,age_26_29,35,7.4468,67.1488,57.8947,,,,28.7879,71.2121,,
Andaman & Nicobar Islands,age_30_33,35,12.1813,81.7863,76.5781,,,,38.1786,61.8214,,
Andaman & Nicobar Islands,age_34_plus,35,20.7011,77.1303,80.6118,,,,68.4211,31.5789,,
Andaman & Nicobar Islands,age_below10,35,95.1983,0.0,0.0,52.1966,47.58,47.58,81.5698,18.4302,0.0,52.42
