state_name,age_bracket,state_code,Below_primary_share_total_female,Below_primary_share_total_male,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male,Child_labour_attending_total_female,Child_labour_attending_total_male,Child_labour_dropout_total_female,Child_labour_dropout_total_male,Dropout_rate_total_female,Dropout_rate_total_male,Graduate_share_total_female,Graduate_share_total_male,Illiteracy_rate_total_female,Illiteracy_rate_total_male,Literacy_rate_total_female,Literacy_rate_total_male,Non_worker_dropout_total_female,School_attendance_rate_total_female,School_attendance_rate_total_male
State - PONDICHERRY  34,age_26_29,34,6.2694,3.9209,1.5862,20.5012,2.42,21.3095,2.8155,27.9633,,,1.6658,17.5885,6.7381,29.7048,7.4876,34.4445,3.6148,27.8905,,,,,2.6389,23.694,,,,,,,,,16.9203,19.7056,18.9866,7.3563,81.0134,92.6437,,,
State - PONDICHERRY  34,age_30_33,34,7.9003,4.5901,0.535,9.5237,0.7588,11.4012,0.8738,16.6563,,,0.6931,10.2951,1.8084,14.9239,1.718,17.9248,0.833,13.4898,,,,,0.6505,11.2055,,,,,,,,,13.9548,19.442,24.4902,9.9157,75.5098,90.0843,,,
State - PONDICHERRY  34,age_34_plus,34,12.4708,8.4599,0.2794,3.4091,0.3219,4.8257,0.7767,5.9824,,,0.4263,4.626,0.6539,4.6775,0.5431,5.6371,0.3077,4.5655,,,,,0.3031,4.453,,,,,,,,,7.7322,15.3244,46.3299,18.6927,53.6701,81.3073,,,
State - PONDICHERRY  34,age_below10,34,96.8484,97.0257,1.0795,0.4515,1.2071,0.5346,0.7767,0.3848,,,1.2109,0.4432,0.9236,0.514,1.076,0.5537,1.1783,0.6281,,,,,1.2474,0.4701,,,85.1343,85.3322,14.7924,14.5508,14.7924,14.5508,0.0,0.0,74.954,74.5302,25.046,25.4698,0.0,85.2076,85.4492
Andaman & Nicobar Islands,age_10_13,35,39.2401,42.5084,7.1795,0.1158,6.7239,0.2051,6.8289,0.1958,,,6.6459,0.2683,3.6347,0.1771,0.5573,0.123,1.3952,0.1863,,,,,3.8251,0.1796,,,90.0978,91.0626,9.4398,7.6535,9.4398,7.6535,0.0,0.0,6.4672,5.0358,93.5328,94.9642,0.0,90.5602,92.3465
Andaman & Nicobar Islands,age_14_17,35,6.2151,7.6235,39.4872,2.6057,36.8156,2.051,32.7358,1.6353,,,32.1776,2.2958,21.4121,1.4524,11.1964,0.6954,25.1303,1.2507,,,,,34.1637,1.7801,,,74.9285,73.6007,23.4277,18.2636,23.4277,18.2636,0.0,0.0,5.3602,3.7337,94.6398,96.2663,0.0,76.5723,81.7364
Andaman & Nicobar Islands,age_18_21,35,5.9451,6.9386,35.8974,25.2461,42.1764,25.3052,44.0461,24.4712,,,41.4314,23.8998,37.4334,19.1672,49.041,12.7153,52.578,19.4053,,,,,46.3759,22.9518,,,36.9402,37.5699,58.8812,34.2252,58.8812,34.2252,0.0,0.0,8.1938,5.6475,91.8062,94.3525,0.0,41.1188,65.7748
Andaman & Nicobar Islands,age_22_25,35,6.8557,7.7419,5.641,37.2322,7.8121,37.3767,9.347,40.6091,,,10.5478,36.291,22.0671,36.9126,25.5121,34.9791,12.517,38.7573,,,,,9.0632,38.7575,,,,,,,,,7.9627,5.5686,10.8861,6.6807,89.1139,93.3193,,,
Andaman & Nicobar Islands,age_26_29,35,9.2871,7.8208,4.6154,18.4713,1.9015,17.4822,2.134,17.4501,,,2.734,17.263,9.3781,24.4003,7.0782,30.2076,2.574,23.3435,,,,,2.1318,19.6994,,,,,,,,,12.7344,10.5674,16.4901,8.8996,83.5099,91.1004,,,
Andaman & Nicobar Islands,age_30_33,35,12.4921,9.0412,1.5385,8.9172,0.6071,9.3564,0.939,8.206,,,1.0684,10.3757,2.0656,10.6233,1.31,12.7955,0.6094,9.1272,,,,,0.5482,8.6031,,,,,,,,,13.2195,13.4409,25.2364,11.5769,74.7636,88.4231,,,
Andaman & Nicobar Islands,age_34_plus,35,22.147,17.1051,0.0,4.0533,0.3093,5.3228,0.1707,5.0725,,,0.5607,6.2612,0.5902,4.1907,0.3619,4.3062,0.2245,3.4526,,,,,0.1645,4.3349,,,,,,,,,7.0415,8.5951,49.2125,23.5569,50.7875,76.4431,,,
Andaman & Nicobar Islands,age_below10,35,97.485,97.6642,4.6154,1.1581,1.6724,0.8497,2.6035,0.6757,,,2.1467,0.6023,1.5618,0.7681,1.035,0.7222,1.3391,0.9912,,,,,1.4923,0.8105,,,72.2624,73.4142,27.6301,26.2103,27.6301,26.2103,0.0,0.0,73.4293,73.3602,26.5707,26.6398,0.0,72.3699,73.7897
