state_name,age_bracket,state_code,Below_primary_share_total_female,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female,Child_labour_attending_total_female,Child_labour_dropout_total_female,Dropout_rate_total_female,Graduate_share_total_female,Illiteracy_rate_total_female,Literacy_rate_total_female,Non_worker_dropout_total_female,School_attendance_rate_total_female
Karnataka,age_below10,29,97.5596,2.5139,2.1048,2.011,,2.2932,2.0735,1.3146,1.574,,,1.8013,2.002,61.6338,37.8662,37.8662,0.0,73.8402,26.1598,0.0,62.1338
Goa,age_10_13,30,25.4974,1.979,1.4514,2.1076,,4.4131,1.9732,0.2063,0.3209,,,0.9446,1.9443,92.0917,6.6593,6.6593,0.0,5.4018,94.5982,0.0,93.3407
Goa,age_10_13,30,25.4974,1.979,1.4514,2.1076,,4.4131,1.9732,0.2063,0.3209,,,0.9446,1.9443,92.0917,6.6593,6.6593,0.0,5.4018,94.5982,0.0,93.3407
Goa,age_10_13,30,25.4974,1.979,1.4514,2.1076,,4.4131,1.9732,0.2063,0.3209,,,0.9446,1.9443,92.0917,6.6593,6.6593,0.0,5.4018,94.5982,0.0,93.3407
Goa,age_10_13,30,25.4974,1.979,1.4514,2.1076,,4.4131,1.9732,0.2063,0.3209,,,0.9446,1.9443,92.0917,6.6593,6.6593,0.0,5.4018,94.5982,0.0,93.3407
Goa,age_10_13,30,25.4974,1.979,1.4514,2.1076,,4.4131,1.9732,0.2063,0.3209,,,0.9446,1.9443,92.0917,6.6593,6.6593,0.0,5.4018,94.5982,0.0,93.3407
Goa,age_10_13,30,25.4974,1.979,1.4514,2.1076,,4.4131,1.9732,0.2063,0.3209,,,0.9446,1.9443,92.0917,6.6593,6.6593,0.0,5.4018,94.5982,0.0,93.3407
Goa,age_14_17,30,4.6832,17.2734,13.8123,15.9489,,22.2017,11.8687,3.1102,6.1322,,,11.425,12.2548,72.6539,21.3516,21.3516,0.0,5.667,94.333,0.0,78.6484
Goa,age_14_17,30,4.6832,17.2734,13.8123,15.9489,,22.2017,11.8687,3.1102,6.1322,,,11.425,12.2548,72.6539,21.3516,21.3516,0.0,5.667,94.333,0.0,78.6484
Goa,age_14_17,30,4.6832,17.2734,13.8123,15.9489,,22.2017,11.8687,3.1102,6.1322,,,11.425,12.2548,72.6539,21.3516,21.3516,0.0,5.667,94.333,0.0,78.6484
Goa,age_14_17,30,4.6832,17.2734,13.8123,15.9489,,22.2017,11.8687,3.1102,6.1322,,,11.425,12.2548,72.6539,21.3516,21.3516,0.0,5.667,94.333,0.0,78.6484
Goa,age_14_17,30,4.6832,17.2734,13.8123,15.9489,,22.2017,11.8687,3.1102,6.1322,,,11.425,12.2548,72.6539,21.3516,21.3516,0.0,5.667,94.333,0.0,78.6484
Goa,age_14_17,30,4.6832,17.2734,13.8123,15.9489,,22.2017,11.8687,3.1102,6.1322,,,11.425,12.2548,72.6539,21.3516,21.3516,0.0,5.667,94.333,0.0,78.6484
Goa,age_18_21,30,5.9386,48.2775,45.1863,52.4775,,45.4796,34.1864,30.321,37.4226,,,42.9004,38.3138,39.5638,47.0685,47.0685,0.0,8.5131,91.4869,0.0,52.9315
Goa,age_18_21,30,5.9386,48.2775,45.1863,52.4775,,45.4796,34.1864,30.321,37.4226,,,42.9004,38.3138,39.5638,47.0685,47.0685,0.0,8.5131,91.4869,0.0,52.9315
Goa,age_18_21,30,5.9386,48.2775,45.1863,52.4775,,45.4796,34.1864,30.321,37.4226,,,42.9004,38.3138,39.5638,47.0685,47.0685,0.0,8.5131,91.4869,0.0,52.9315
Goa,age_18_21,30,5.9386,48.2775,45.1863,52.4775,,45.4796,34.1864,30.321,37.4226,,,42.9004,38.3138,39.5638,47.0685,47.0685,0.0,8.5131,91.4869,0.0,52.9315
Goa,age_18_21,30,5.9386,48.2775,45.1863,52.4775,,45.4796,34.1864,30.321,37.4226,,,42.9004,38.3138,39.5638,47.0685,47.0685,0.0,8.5131,91.4869,0.0,52.9315
Goa,age_18_21,30,5.9386,48.2775,45.1863,52.4775,,45.4796,34.1864,30.321,37.4226,,,42.9004,38.3138,39.5638,47.0685,47.0685,0.0,8.5131,91.4869,0.0,52.9315
Goa,age_22_25,30,6.0308,20.2052,24.2512,20.2756,,16.1683,26.3036,37.0656,32.4532,,,27.2269,26.9391,,,,15.8021,10.6504,89.3496,,
Goa,age_22_25,30,6.0308,20.2052,24.2512,20.2756,,16.1683,26.3036,37.0656,32.4532,,,27.2269,26.9391,,,,15.8021,10.6504,89.3496,,
Goa,age_22_25,30,6.0308,20.2052,24.2512,20.2756,,16.1683,26.3036,37.0656,32.4532,,,27.2269,26.9391,,,,15.8021,10.6504,89.3496,,
Goa,age_22_25,30,6.0308,20.2052,24.2512,20.2756,,16.1683,26.3036,37.0656,32.4532,,,27.2269,26.9391,,,,15.8021,10.6504,89.3496,,
Goa,age_22_25,30,6.0308,20.2052,24.2512,20.2756,,16.1683,26.3036,37.0656,32.4532,,,27.2269,26.9391,,,,15.8021,10.6504,89.3496,,
Goa,age_22_25,30,6.0308,20.2052,24.2512,20.2756,,16.1683,26.3036,37.0656,32.4532,,,27.2269,26.9391,,,,15.8021,10.6504,89.3496,,
Goa,age_26_29,30,8.0218,5.3017,7.7715,4.9346,,4.2234,14.5553,17.5094,13.2463,,,9.1666,10.9397,,,,18.8217,15.1409,84.8591,,
Goa,age_26_29,30,8.0218,5.3017,7.7715,4.9346,,4.2234,14.5553,17.5094,13.2463,,,9.1666,10.9397,,,,18.8217,15.1409,84.8591,,
Goa,age_26_29,30,8.0218,5.3017,7.7715,4.9346,,4.2234,14.5553,17.5094,13.2463,,,9.1666,10.9397,,,,18.8217,15.1409,84.8591,,
Goa,age_26_29,30,8.0218,5.3017,7.7715,4.9346,,4.2234,14.5553,17.5094,13.2463,,,9.1666,10.9397,,,,18.8217,15.1409,84.8591,,
Goa,age_26_29,30,8.0218,5.3017,7.7715,4.9346,,4.2234,14.5553,17.5094,13.2463,,,9.1666,10.9397,,,,18.8217,15.1409,84.8591,,
Goa,age_26_29,30,8.0218,5.3017,7.7715,4.9346,,4.2234,14.5553,17.5094,13.2463,,,9.1666,10.9397,,,,18.8217,15.1409,84.8591,,
Goa,age_30_33,30,11.3216,2.0523,2.7356,1.3477,,1.9788,4.7262,4.7899,3.3267,,,2.8476,3.3271,,,,16.7038,19.2905,80.7095,,
Goa,age_30_33,30,11.3216,2.0523,2.7356,1.3477,,1.9788,4.7262,4.7899,3.3267,,,2.8476,3.3271,,,,16.7038,19.2905,80.7095,,
Goa,age_30_33,30,11.3216,2.0523,2.7356,1.3477,,1.9788,4.7262,4.7899,3.3267,,,2.8476,3.3271,,,,16.7038,19.2905,80.7095,,
Goa,age_30_33,30,11.3216,2.0523,2.7356,1.3477,,1.9788,4.7262,4.7899,3.3267,,,2.8476,3.3271,,,,16.7038,19.2905,80.7095,,
