state_name,age_bracket,state_code,Below_primary_share_SC_male,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_male,Child_labour_dropout_SC_male,Dropout_rate_SC_male,Illiteracy_rate_SC_male,Literacy_rate_SC_male,School_attendance_rate_SC_male
Assam,age_10_13,18,43.817,0.359,0.8381,77.2435,20.4623,20.4623,15.4293,84.5707,79.5377
Assam,age_14_17,18,17.1314,2.0172,10.1523,55.4746,30.187,30.187,14.7653,85.2347,69.813
Assam,age_18_21,18,16.6677,17.1708,40.5112,33.9551,35.9185,35.9185,16.0147,83.9853,64.0815
Assam,age_below10,18,96.3765,0.0,0.0,57.7071,41.8589,41.8589,76.2203,23.7797,58.1411
West Bengal,age_10_13,19,58.5396,0.5106,0.9983,77.7153,19.2911,19.2911,14.8265,85.1735,80.7089
West Bengal,age_14_17,19,23.7801,3.311,17.5277,50.2531,30.1276,30.1276,17.4736,82.5264,69.8724
West Bengal,age_18_21,19,24.1108,34.6476,60.0139,27.542,32.5031,32.5031,20.1488,79.8512,67.4969
West Bengal,age_below10,19,97.9543,0.0,0.0,57.2007,42.4902,42.4902,75.5011,24.4989,57.5098
Jharkhand,age_10_13,20,51.4969,0.5765,1.5349,59.565,37.5307,37.5307,35.5511,64.4489,62.4693
Jharkhand,age_14_17,20,14.8509,9.9234,26.5183,46.1583,39.8312,39.8312,31.6577,68.3423,60.1688
Jharkhand,age_18_21,20,10.916,58.4444,75.2054,28.287,43.8136,43.8136,32.0828,67.9172,56.1864
Jharkhand,age_below10,20,95.6025,0.0,0.0,36.7643,62.7842,62.7842,84.6907,15.3093,37.2158
State - ORISSA  21,age_10_13,21,39.263,0.2944,0.6611,76.1768,22.2272,22.2272,15.6166,84.3834,77.7728
State - ORISSA  21,age_14_17,21,12.7091,1.9283,9.1519,48.9497,39.5548,39.5548,15.8586,84.1414,60.4452
State - ORISSA  21,age_18_21,21,13.3597,23.1268,46.9418,24.6636,47.8841,47.8841,16.9276,83.0724,52.1159
State - ORISSA  21,age_below10,21,96.8975,0.0,0.0,58.6373,41.1048,41.1048,77.2472,22.7528,58.8952
Chhattisgarh,age_10_13,22,52.6326,0.485,0.8947,87.3798,11.1871,11.1871,6.1204,93.8796,88.8129
Chhattisgarh,age_14_17,22,10.8469,4.9469,14.1862,63.9579,23.5203,23.5203,6.9425,93.0575,76.4797
Chhattisgarh,age_18_21,22,9.8243,47.3576,65.4082,38.4772,30.1432,30.1432,8.5162,91.4838,69.8568
Chhattisgarh,age_below10,22,98.57,0.0,0.0,62.0588,37.6976,37.6976,75.5603,24.4397,62.3024
Madhya Pradesh,age_10_13,23,55.5837,1.417,2.734,84.8104,12.5216,12.5216,10.4012,89.5988,87.4784
Madhya Pradesh,age_14_17,23,14.8403,11.7952,25.395,61.2943,20.676,20.676,12.5068,87.4932,79.324
Madhya Pradesh,age_18_21,23,12.5977,56.4693,72.8663,34.1285,25.3988,25.3988,15.3997,84.6003,74.6012
Madhya Pradesh,age_below10,23,97.9947,0.0,0.0,55.6546,44.0295,44.0295,77.4053,22.5947,55.9705
Gujarat,age_10_13,24,37.7047,0.4245,0.7984,89.6273,8.7831,8.7831,5.3442,94.6558,91.2169
Gujarat,age_14_17,24,8.5238,2.8439,8.3914,61.8203,21.2889,21.2889,6.3764,93.6236,78.7111
Gujarat,age_18_21,24,8.7424,35.9846,54.9137,29.4864,27.8453,27.8453,7.7869,92.2131,72.1547
