state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Child_labour_attending_total_male,Child_labour_dropout_total_male,Dropout_rate_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male,School_attendance_rate_total_male
Lakshadweep,age_below10,31,99.016,,0.4566,,,0.3298,0.356,0.5624,0.6132,,,0.394,,81.4056,18.5652,18.5652,75.7458,24.2542,81.4348
Kerala,age_10_13,32,27.2602,0.0448,0.0566,0.0402,,0.0746,0.0365,0.0273,0.0332,,,0.0427,,97.8498,1.9247,1.9247,1.2244,98.7756,98.0753
Kerala,age_14_17,32,1.6811,0.468,0.7199,0.4085,,0.9895,0.2845,0.1006,0.2006,,,0.4204,,80.277,15.3301,15.3301,1.0843,98.9157,84.6699
Kerala,age_18_21,32,2.0095,14.1326,15.7407,10.6459,,17.4308,9.0705,3.268,7.2914,,,12.3798,,40.1925,38.7095,38.7095,1.3559,98.6441,61.2905
Kerala,age_below10,32,98.0869,0.6359,0.6214,0.5977,,0.6642,0.6248,0.6653,0.653,,,0.626,,79.5418,20.2481,20.2481,74.1072,25.8928,79.7519
Tamil Nadu,age_10_13,33,20.997,0.1271,0.1277,0.1173,,0.1537,0.1224,0.1104,0.1247,,,0.1253,,89.3867,7.706,7.706,4.4521,95.5479,92.294
Tamil Nadu,age_14_17,33,5.3108,1.3823,1.2675,1.0799,,1.7654,0.954,0.485,0.8371,,,1.0464,,63.7756,18.2699,18.2699,5.4626,94.5374,81.7301
Tamil Nadu,age_18_21,33,5.5306,25.8192,22.7333,22.5452,,27.3089,18.9846,11.4812,17.7243,,,21.2298,,32.3746,28.2001,28.2001,6.8961,93.1039,71.7999
Tamil Nadu,age_below10,33,93.7805,0.5884,0.5958,0.557,,0.5487,0.6351,0.7977,0.744,,,0.6269,,80.981,18.4857,18.4857,72.4036,27.5964,81.5143
State - PONDICHERRY  34,age_10_13,34,25.392,0.0697,0.0764,0.0621,,0.1194,0.0637,0.0486,0.0653,,,0.1042,,95.1904,3.7853,3.7853,3.2311,96.7689,96.2147
State - PONDICHERRY  34,age_14_17,34,2.8768,1.1187,1.0485,0.4965,,1.6429,0.6157,0.3173,0.5982,,,0.8197,,74.2265,14.6633,14.6633,2.8619,97.1381,85.3367
State - PONDICHERRY  34,age_18_21,34,3.1455,22.0116,19.5806,12.0516,,23.9583,13.5805,8.3618,14.1696,,,17.8747,,42.1737,25.277,25.277,3.5822,96.4178,74.723
State - PONDICHERRY  34,age_below10,34,97.0257,0.4515,0.5346,0.3848,,0.4432,0.514,0.5537,0.6281,,,0.4701,,85.3322,14.5508,14.5508,74.5302,25.4698,85.4492
Andaman & Nicobar Islands,age_10_13,35,42.5084,0.1158,0.2051,0.1958,,0.2683,0.1771,0.123,0.1863,,,0.1796,,91.0626,7.6535,7.6535,5.0358,94.9642,92.3465
Andaman & Nicobar Islands,age_14_17,35,7.6235,2.6057,2.051,1.6353,,2.2958,1.4524,0.6954,1.2507,,,1.7801,,73.6007,18.2636,18.2636,3.7337,96.2663,81.7364
Andaman & Nicobar Islands,age_18_21,35,6.9386,25.2461,25.3052,24.4712,,23.8998,19.1672,12.7153,19.4053,,,22.9518,,37.5699,34.2252,34.2252,5.6475,94.3525,65.7748
Andaman & Nicobar Islands,age_below10,35,97.6642,1.1581,0.8497,0.6757,,0.6023,0.7681,0.7222,0.9912,,,0.8105,,73.4142,26.2103,26.2103,73.3602,26.6398,73.7897
