state_name,age_bracket,state_code,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male
Nagaland,age_14_17,13,14.058,1.6938,13.2992,1.5323,10.6711,1.5528,,,11.4013,1.7818,10.6125,1.517,9.6175,1.3312,13.4995,1.511,,,,,14.4732,1.4822,11.8087,1.5225
Nagaland,age_18_21,13,41.8872,20.7435,42.3911,19.0661,45.2718,22.858,,,42.3634,21.7995,43.7756,20.8639,39.3152,19.4381,44.1323,21.2325,,,,,45.6612,21.3797,42.0389,20.1633
Nagaland,age_below10,13,0.9882,1.0339,0.9424,0.8408,0.7673,0.6797,,,0.7961,0.7247,0.806,0.769,1.0791,0.9218,1.0842,0.9066,,,,,0.9232,0.8429,0.914,0.8537
Manipur,age_10_13,14,0.994,0.1639,0.8201,0.2142,0.6736,0.2042,,,1.1335,0.2238,0.7258,0.2163,0.4137,0.1928,0.6403,0.1734,,,,,0.7141,0.2055,0.8702,0.195
Manipur,age_14_17,14,19.9449,2.7863,18.0972,2.7759,14.7536,2.2069,,,20.0476,2.7069,14.9066,2.1539,9.5189,1.5574,16.9343,2.2724,,,,,17.7407,2.5499,16.7835,2.0503
Manipur,age_18_21,14,44.2864,28.3753,42.0859,26.2552,42.1069,25.2021,,,41.4681,25.6067,38.7849,22.7586,36.3124,19.7307,41.8549,24.6988,,,,,42.2737,26.2456,39.2025,21.922
Manipur,age_below10,14,0.7546,0.5941,0.7195,0.5043,0.7351,0.6619,,,0.7444,0.7437,0.6506,0.5983,0.884,0.7681,0.8394,0.6824,,,,,0.8277,0.6228,0.7776,0.7143
Mizoram,age_10_13,15,0.513,0.0911,0.2119,0.1274,0.3391,0.1291,,,0.7427,0.3222,0.2892,0.1515,0.0977,0.1198,0.1951,0.1571,,,,,0.2005,0.1078,0.3022,0.1452
Mizoram,age_14_17,15,11.8588,2.0032,9.7822,1.3416,11.65,1.6407,,,16.089,3.0454,9.9543,1.3552,3.47,0.6898,7.8986,1.1947,,,,,11.7647,1.5268,10.2676,1.3541
Mizoram,age_18_21,15,49.3965,29.1145,49.1117,24.5151,50.751,28.7828,,,50.9045,35.5595,47.2068,24.6176,38.6153,18.7954,50.5488,25.4773,,,,,50.6529,27.3315,48.2389,24.5145
Mizoram,age_below10,15,0.3621,0.4097,0.4333,0.3452,0.54,0.3967,,,0.6569,0.6002,0.4881,0.4308,0.4996,0.4211,0.615,0.4773,,,,,0.6191,0.529,0.5576,0.453
