state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_female,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_female,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_female,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_female,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_female,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_female,Literacy_rate_buddhist_male,Literacy_rate_christian_female,Literacy_rate_christian_male,Literacy_rate_hindu_female,Literacy_rate_hindu_male,Literacy_rate_jain_female,Literacy_rate_jain_male,Literacy_rate_muslim_female,Literacy_rate_muslim_male,Literacy_rate_sikh_female,Literacy_rate_sikh_male,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Sikkim,age_14_17,11,21.4968,20.7054,22.0163,0.0,21.8543,10.0,14.7666,12.2929,14.8972,9.5593,15.3679,12.0701,14.2857,0.0,31.0502,38.1743,0.0,9.5238,85.2334,87.7071,85.1028,90.4407,84.6321,87.9299,85.7143,100.0,68.9498,61.8257,100.0,90.4762,25.207,24.6244,24.6308,66.6667,25.8278,50.0
Sikkim,age_18_21,11,15.4239,14.8784,16.2374,50.0,14.0,0.0,18.4846,13.3403,17.4734,10.7311,19.2535,14.052,0.0,0.0,46.2366,37.8049,0.0,1.4706,81.5154,86.6597,82.5266,89.2689,80.7465,85.948,100.0,100.0,53.7634,62.1951,100.0,98.5294,26.4556,25.7511,25.5671,0.0,22.0,0.0
Arunachal Pradesh,age_below10,12,97.5762,96.7341,96.9409,100.0,96.1929,100.0,87.0925,85.2077,87.6808,85.9311,83.4302,81.0604,85.7143,64.8649,85.7246,83.9875,69.7917,73.6842,12.9075,14.7923,12.3192,14.0689,16.5698,18.9396,14.2857,35.1351,14.2754,16.0125,30.2083,26.3158,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,age_10_13,12,60.5885,64.8059,52.5562,60.0,51.4957,24.3243,43.9654,31.7986,42.309,32.6456,32.8858,22.5528,44.4444,22.2222,44.6809,36.5736,15.9091,13.1579,56.0346,68.2014,57.691,67.3544,67.1142,77.4472,55.5556,77.7778,55.3191,63.4264,84.0909,86.8421,2.6773,2.904,5.4334,0.0,4.7009,13.5135
Arunachal Pradesh,age_14_17,12,20.6755,23.8411,17.5414,0.0,13.6213,10.3448,43.2689,29.4529,33.6774,22.1054,32.5524,19.1373,0.0,0.0,40.396,29.4311,6.4516,10.0,56.7311,70.5471,66.3226,77.8946,67.4476,80.8627,100.0,100.0,59.604,70.5689,93.5484,90.0,27.6946,25.1159,30.83,16.6667,31.8937,24.1379
Arunachal Pradesh,age_18_21,12,18.9281,15.9149,14.1662,0.0,19.1083,0.0,51.7196,32.7112,38.1773,22.5356,37.8289,22.4608,0.0,0.0,49.3548,33.4513,0.0,4.0,48.2804,67.2888,61.8227,77.4644,62.1711,77.5392,100.0,100.0,50.6452,66.5487,100.0,96.0,27.5441,25.3025,23.4668,0.0,19.1083,9.0909
Nagaland,age_below10,13,96.1538,93.1083,93.9923,92.4528,90.8867,84.2105,76.3636,79.0698,79.2132,77.6953,79.1418,78.0208,67.6829,73.7113,91.4001,90.0616,74.3243,81.0811,23.6364,20.9302,20.7868,22.3047,20.8582,21.9792,32.3171,26.2887,8.5999,9.9384,25.6757,18.9189,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,age_10_13,13,35.0,36.687,40.4485,17.1053,45.9016,18.1818,13.0435,21.5686,25.2527,22.7951,23.8799,20.226,9.5238,2.8169,63.8786,56.5679,37.1429,21.4286,86.9565,78.4314,74.7473,77.2049,76.1201,79.774,90.4762,97.1831,36.1214,43.4321,62.8571,78.5714,11.6667,8.0503,9.2281,17.1053,4.918,18.1818
Nagaland,age_14_17,13,6.1224,8.6125,11.5774,3.2787,16.8022,3.3333,16.9492,14.7059,22.7848,19.618,20.4824,18.6207,1.6129,3.4884,55.914,46.6495,26.8293,29.5455,83.0508,85.2941,77.2152,80.382,79.5176,81.3793,98.3871,96.5116,44.086,53.3505,73.1707,70.4545,40.8163,38.916,37.7149,37.7049,31.9783,43.3333
Nagaland,age_18_21,13,11.5385,6.6529,8.607,3.125,12.3153,16.6667,13.3333,8.1081,25.8268,21.914,23.6489,21.3265,5.8824,2.439,59.481,40.0786,53.8462,15.7895,86.6667,91.8919,74.1732,78.086,76.3511,78.6735,94.1176,97.561,40.519,59.9214,46.1538,84.2105,30.7692,28.1395,23.1597,9.375,26.1084,16.6667
Manipur,age_below10,14,95.6522,92.7026,94.5655,91.6667,93.4588,100.0,90.1288,88.1481,84.2494,82.806,80.3331,79.545,73.3333,69.2308,84.3179,82.6293,81.1881,77.3585,9.8712,11.8519,15.7506,17.194,19.6669,20.455,26.6667,30.7692,15.6821,17.3707,18.8119,22.6415,0.0,0.0,0.0,0.0,0.0,0.0
Manipur,age_10_13,14,50.0,46.7443,35.0635,15.3846,42.2056,33.3333,41.2844,20.6186,30.1323,25.982,13.7787,11.2784,1.8868,5.3571,31.9718,21.1069,10.6383,12.5,58.7156,79.3814,69.8677,74.018,86.2213,88.7216,98.1132,94.6429,68.0282,78.8931,89.3617,87.5,3.125,6.0807,11.1526,25.0,8.8359,19.0476
Manipur,age_14_17,14,20.8333,12.7131,4.5195,2.2222,9.083,7.1429,39.2405,18.4211,21.8433,17.0469,10.274,5.9791,4.2553,1.6129,32.0057,15.0666,12.5,8.8235,60.7595,81.5789,78.1567,82.9531,89.726,94.0209,95.7447,98.3871,67.9943,84.9334,87.5,91.1765,31.25,34.1096,50.7559,48.8889,44.3689,50.0
