state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_female,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_female,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_female,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_female,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_female,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_female,Literacy_rate_buddhist_male,Literacy_rate_christian_female,Literacy_rate_christian_male,Literacy_rate_hindu_female,Literacy_rate_hindu_male,Literacy_rate_jain_female,Literacy_rate_jain_male,Literacy_rate_muslim_female,Literacy_rate_muslim_male,Literacy_rate_sikh_female,Literacy_rate_sikh_male,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Haryana,age_18_21,06,3.6697,1.8797,4.3157,0.766,15.6205,4.5403,23.7762,27.1654,10.1351,8.8015,19.8457,9.8925,1.2605,1.4226,73.4948,31.7981,16.4516,12.8927,76.2238,72.8346,89.8649,91.1985,80.1543,90.1075,98.7395,98.5774,26.5052,68.2019,83.5484,87.1073,16.5138,14.4737,18.7416,3.9149,15.457,20.3705
State - DELHI  07,age_below10,07,97.6103,97.2057,97.5685,97.7565,96.1563,97.8028,74.4841,70.7901,72.5002,72.5665,73.1319,72.8131,69.296,69.9035,78.1141,77.163,69.0225,70.0569,25.5159,29.2099,27.4998,27.4335,26.8681,27.1869,30.704,30.0965,21.8859,22.837,30.9775,29.9431,0.0,0.0,0.0,0.0,0.0,0.0
State - DELHI  07,age_10_13,07,35.9244,30.3922,36.6441,23.8588,46.2984,29.4558,4.8,4.1627,4.1265,2.7003,7.0452,5.5993,0.9012,1.0174,17.9755,16.7987,3.4135,3.0348,95.2,95.8373,95.8735,97.2997,92.9548,94.4007,99.0988,98.9826,82.0245,83.2013,96.5865,96.9652,5.6723,7.6518,7.1137,11.6084,5.5466,9.038
State - DELHI  07,age_14_17,07,4.914,3.8576,3.8536,0.8361,9.0328,2.181,6.3291,5.8423,8.07,2.844,7.2198,6.9465,0.7218,0.9694,19.7647,20.7145,3.6822,3.3023,93.6709,94.1577,91.93,97.156,92.7802,93.0535,99.2782,99.0306,80.2353,79.2855,96.3178,96.6977,42.2604,42.0623,41.311,43.0934,34.4295,42.4165
State - DELHI  07,age_18_21,07,2.5586,3.3346,2.5898,0.8819,6.672,1.8884,7.8585,5.638,8.7443,4.0465,11.4574,9.2636,0.8742,1.6076,26.2759,24.5456,4.5898,3.6491,92.1415,94.362,91.2557,95.9535,88.5426,90.7364,99.1258,98.3924,73.7241,75.4544,95.4102,96.3509,18.7633,14.7183,19.7183,4.1028,24.2867,10.6446
Rajasthan,age_below10,08,95.2077,97.0094,96.3855,94.5106,94.6333,96.5833,74.7377,76.0365,74.9441,73.0374,80.1624,75.8182,68.6604,68.8891,83.3466,78.9172,74.6163,73.4826,25.2623,23.9635,25.0559,26.9626,19.8376,24.1818,31.3396,31.1109,16.6534,21.0828,25.3837,26.5174,0.0,0.0,0.0,0.0,0.0,0.0
Rajasthan,age_10_13,08,57.5,39.1144,55.103,23.25,58.9006,49.705,13.6069,4.0619,14.9671,6.9865,28.9656,9.1052,1.4801,0.8606,37.5712,17.3,16.3573,8.3982,86.3931,95.9381,85.0329,93.0135,71.0344,90.8948,98.5199,99.1394,62.4288,82.7,83.6427,91.6018,5.5,7.4908,4.7775,15.6407,3.6983,5.9501
Rajasthan,age_14_17,08,16.0305,7.9612,19.8861,2.1966,24.3643,14.4454,24.058,4.1002,18.9933,8.8906,35.6501,9.823,1.1567,0.6679,42.5043,18.2449,22.0204,10.598,75.942,95.8998,81.0067,91.1094,64.3499,90.177,98.8433,99.3321,57.4957,81.7551,77.9796,89.402,27.0992,39.4175,25.9725,40.014,20.5357,29.1108
Rajasthan,age_18_21,08,9.7087,7.3099,18.0016,3.1228,21.0877,11.7626,31.7881,4.7826,20.7722,9.8747,44.4672,12.1399,1.6347,1.029,48.8876,20.3196,28.1196,13.7113,68.2119,95.2174,79.2278,90.1253,55.5328,87.8601,98.3653,98.971,51.1124,79.6804,71.8804,86.2887,16.5049,10.039,17.9817,11.7338,17.5174,22.6648
Uttar Pradesh,age_below10,09,95.4705,93.1133,95.4049,92.8676,93.0317,94.5544,80.6868,78.4178,79.2844,77.2169,81.5308,78.4404,71.4056,72.8235,85.2192,82.4666,75.741,74.7001,19.3132,21.5822,20.7156,22.7831,18.4692,21.5596,28.5944,27.1765,14.7808,17.5334,24.259,25.2999,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,age_10_13,09,49.3021,39.5892,47.1854,21.2868,54.9015,37.8201,25.243,14.7277,24.618,18.4967,29.4601,16.2814,4.9445,3.7278,41.7713,30.4734,16.4071,10.7218,74.757,85.2723,75.382,81.5033,70.5399,83.7186,95.0555,96.2722,58.2287,69.5266,83.5929,89.2782,6.0685,10.6742,7.2618,19.2243,5.3929,9.9643
Uttar Pradesh,age_14_17,09,10.6724,7.1696,9.033,1.4288,17.9759,6.6538,32.0182,14.8882,23.5553,17.1237,33.5953,16.1926,3.6421,2.7736,46.3083,33.1815,18.6405,10.8373,67.9818,85.1118,76.4447,82.8763,66.4047,83.8074,96.3579,97.2264,53.6917,66.8185,81.3595,89.1627,35.6835,35.6453,37.2405,38.8492,25.1844,37.444
Uttar Pradesh,age_18_21,09,6.5739,4.3887,5.6028,1.0277,12.4213,4.9215,44.2192,18.6412,23.8482,18.3528,42.1438,18.4164,3.2803,2.9497,51.0798,35.5117,21.935,12.0902,55.7808,81.3588,76.1518,81.6472,57.8562,81.5836,96.7197,97.0503,48.9202,64.4883,78.065,87.9098,26.7595,15.0784,24.2486,6.7061,17.5965,20.3761
Bihar,age_below10,10,95.8904,92.8328,94.6024,93.7158,90.4277,91.6859,84.8673,81.1703,79.1719,77.0796,88.2013,84.2229,70.5077,71.8059,89.4587,86.7409,78.7014,78.2273,15.1327,18.8297,20.8281,22.9204,11.7987,15.7771,29.4923,28.1941,10.5413,13.2591,21.2986,21.7727,0.0,0.0,0.0,0.0,0.0,0.0
Bihar,age_10_13,10,42.9084,36.161,46.9408,21.626,54.4579,31.0757,31.3194,18.6916,26.6161,20.0667,48.5208,31.4185,7.0997,4.9858,53.7054,42.1506,21.7256,16.7173,68.6806,81.3084,73.3839,79.9333,51.4792,68.5815,92.9003,95.0142,46.2946,57.8494,78.2744,83.2827,8.6176,12.1805,8.2157,20.9756,5.614,14.741
Bihar,age_14_17,10,8.4615,9.1922,10.5564,1.209,22.8579,3.7821,32.6425,17.5258,25.9412,17.9126,46.0646,28.1341,3.9801,4.2484,52.2347,40.7868,12.2178,12.1453,67.3575,82.4742,74.0588,82.0874,53.9354,71.8659,96.0199,95.7516,47.7653,59.2132,87.7822,87.8547,39.7436,37.0474,33.3431,40.0691,20.6433,37.0651
Bihar,age_18_21,10,4.8485,5.6483,7.7746,0.3401,18.7807,2.5723,46.2541,18.0693,25.0241,17.5423,55.0274,27.7031,5.4662,6.9061,58.4824,40.276,18.799,10.9589,53.7459,81.9307,74.9759,82.4577,44.9726,72.2969,94.5338,93.0939,41.5176,59.724,81.201,89.0411,20.6061,13.8639,18.7535,6.8027,13.9478,12.2186
Sikkim,age_below10,11,97.4265,97.2571,97.5037,100.0,100.0,100.0,78.3797,78.3782,77.5353,78.3904,78.6148,78.728,64.2857,70.0,83.2138,79.4643,76.1905,75.0,21.6203,21.6218,22.4647,21.6096,21.3852,21.272,35.7143,30.0,16.7862,20.5357,23.8095,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Sikkim,age_10_13,11,61.5074,61.3806,64.0441,66.6667,62.5,22.2222,15.5223,15.353,14.9206,12.2816,16.7309,14.0728,25.0,0.0,30.9904,33.0882,10.0,5.8824,84.4777,84.647,85.0794,87.7184,83.2691,85.9272,75.0,100.0,69.0096,66.9118,90.0,94.1176,3.7037,3.4204,3.0473,0.0,3.2407,0.0
