state_name,age_bracket,state_code,Below_primary_share_ST_female,Below_primary_share_ST_male,CMPR_ST_female,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_attending_ST_male,Child_labour_dropout_ST_female,Child_labour_dropout_ST_male,Dropout_rate_ST_female,Dropout_rate_ST_male,Illiteracy_rate_ST_female,Illiteracy_rate_ST_male,Literacy_rate_ST_female,Literacy_rate_ST_male,Non_worker_dropout_ST_female,School_attendance_rate_ST_female,School_attendance_rate_ST_male
Dadra & Nagar Haveli,age_14_17,26,19.7553,14.9916,27.097,6.9887,17.2053,23.9306,47.4552,41.7534,24.0174,41.7534,24.0174,57.4759,24.4883,42.5241,75.5117,0.0,58.2466,75.9826
Dadra & Nagar Haveli,age_18_21,26,18.7435,14.4083,83.5013,65.8623,75.4068,8.009,18.4245,44.9102,20.744,44.9102,20.744,64.259,28.6214,35.741,71.3786,0.0,55.0898,79.256
Dadra & Nagar Haveli,age_below10,26,98.5159,98.1615,0.0,0.0,0.0,50.5576,62.0852,48.8098,37.3582,48.8098,37.3582,84.1078,79.7382,15.8922,20.2618,0.0,51.1902,62.6418
Maharashtra,age_10_13,27,48.569,45.8066,1.0302,0.2771,0.6338,72.6912,80.5757,22.1923,14.9897,22.1923,14.9897,18.3406,11.7956,81.6594,88.2044,0.0,77.8077,85.0103
Maharashtra,age_14_17,27,19.53,15.6989,22.9462,3.1019,12.4665,44.655,56.4597,32.7996,20.1347,32.7996,20.1347,26.3781,15.5086,73.6219,84.4914,0.0,67.2004,79.8653
Maharashtra,age_18_21,27,19.9568,15.8513,83.5876,43.3949,63.5973,18.6243,32.7855,41.8192,22.7587,41.8192,22.7587,39.679,18.2702,60.321,81.7298,0.0,58.1808,77.2413
Maharashtra,age_below10,27,98.1342,98.1815,0.0,0.0,0.0,56.4073,59.9926,43.1067,39.5153,43.1067,39.5153,78.5333,76.6535,21.4667,23.3465,0.0,56.8933,60.4847
Andhra Pradesh,age_10_13,28,46.4511,39.4244,2.0863,0.473,1.2149,50.246,70.0176,33.1062,17.6252,33.1062,17.6252,43.0105,22.8063,56.9895,77.1937,0.0,66.8938,82.3748
Andhra Pradesh,age_14_17,28,21.9985,14.7581,43.1222,6.561,24.2255,23.5033,44.3367,37.4024,19.044,37.4024,19.044,57.0882,31.8777,42.9118,68.1223,0.0,62.5976,80.956
Andhra Pradesh,age_18_21,28,21.9391,14.569,89.1162,57.86,74.6827,7.9464,25.2164,40.5345,19.8982,40.5345,19.8982,69.5753,37.4682,30.4247,62.5318,0.0,59.4655,80.1018
Andhra Pradesh,age_below10,28,96.7561,96.6008,0.0,0.0,0.0,58.2782,66.2531,39.4753,31.984,39.4753,31.984,78.425,73.6517,21.575,26.3483,0.0,60.5247,68.016
Karnataka,age_10_13,29,43.3192,41.5078,2.4526,0.6528,1.5276,60.6955,72.8198,30.368,16.8604,30.368,16.8604,28.9607,17.2828,71.0393,82.7172,0.0,69.632,83.1396
Karnataka,age_14_17,29,14.8549,12.5772,27.7213,3.0357,14.1501,33.2155,47.0893,44.4346,19.8359,44.4346,19.8359,37.2494,22.3296,62.7506,77.6704,0.0,55.5654,80.1641
Karnataka,age_18_21,29,15.1866,14.7435,79.6266,27.2546,52.7105,10.9101,22.1279,57.4808,21.4413,57.4808,21.4413,48.0828,28.2469,51.9172,71.7531,0.0,42.5192,78.5587
Karnataka,age_below10,29,97.7927,97.7427,0.0,0.0,0.0,52.4722,56.1285,46.5953,42.5713,46.5953,42.5713,77.0632,75.4422,22.9368,24.5578,0.0,53.4047,57.4287
Goa,age_10_13,30,40.9091,35.0,2.5641,0.0,1.4085,55.8824,67.8571,29.4118,14.2857,29.4118,14.2857,35.2941,28.5714,64.7059,71.4286,0.0,70.5882,85.7143
Goa,age_14_17,30,25.0,4.7619,22.2222,5.2632,12.3077,37.5,52.0,41.6667,12.0,41.6667,12.0,33.3333,16.0,66.6667,84.0,0.0,58.3333,88.0
Goa,age_18_21,30,0.0,14.2857,75.8621,27.2727,50.0,12.5,23.5294,50.0,29.4118,50.0,29.4118,62.5,17.6471,37.5,82.3529,0.0,50.0,70.5882
Goa,age_below10,30,92.3077,100.0,0.0,0.0,0.0,50.0,35.7143,50.0,64.2857,50.0,64.2857,78.6885,87.0968,21.3115,12.9032,0.0,50.0,35.7143
Lakshadweep,age_10_13,31,39.4459,49.7014,0.5598,0.1033,0.3224,96.143,97.4326,3.857,2.4699,3.857,2.4699,2.937,2.0474,97.063,97.9526,0.0,96.143,97.5301
Lakshadweep,age_14_17,31,6.2294,8.5725,12.3176,0.5577,6.3386,70.978,84.2786,28.982,14.8839,28.982,14.8839,3.2335,1.8652,96.7665,98.1348,0.0,71.018,85.1161
Lakshadweep,age_18_21,31,7.9792,9.3988,64.5448,11.9883,40.3765,21.1943,44.7368,78.217,50.0822,78.217,50.0822,3.0278,2.8783,96.9722,97.1217,0.0,21.783,49.9178
Lakshadweep,age_below10,31,98.4615,98.9975,0.0,0.0,0.0,81.5321,81.3822,18.4361,18.588,18.4361,18.588,76.0877,75.7594,23.9123,24.2406,0.0,81.5639,81.412
Kerala,age_10_13,32,38.0684,41.1693,1.0513,0.3349,0.6811,83.9953,83.3801,15.0876,15.4777,15.0876,15.4777,10.8646,10.0404,89.1354,89.9596,0.0,84.9124,84.5223
Kerala,age_14_17,32,13.4995,14.3338,16.7024,1.8128,9.3329,55.6462,54.4787,36.2794,33.3741,36.2794,33.3741,12.5602,10.0806,87.4398,89.9194,0.0,63.7206,66.6259
Kerala,age_18_21,32,15.85,16.8067,63.1192,26.3087,46.4878,17.9653,19.3771,62.7052,45.6863,62.7052,45.6863,18.6012,11.8297,81.3988,88.1703,0.0,37.2948,54.3137
Kerala,age_below10,32,97.1924,96.9989,0.0,0.0,0.0,67.9832,67.5594,31.817,32.1381,31.817,32.1381,79.3223,79.0324,20.6777,20.9676,0.0,68.183,67.8619
Tamil Nadu,age_10_13,33,27.8442,28.5745,2.0911,0.7753,1.4028,58.9053,67.2088,32.39,23.9565,32.39,23.9565,33.2175,23.5678,66.7825,76.4322,0.0,67.61,76.0435
Tamil Nadu,age_14_17,33,10.5357,9.7686,31.6355,4.2037,17.5708,32.3941,41.4195,39.0399,26.2386,39.0399,26.2386,41.3785,28.4986,58.6215,71.5014,0.0,60.9601,73.7614
Tamil Nadu,age_18_21,33,10.0999,9.4488,83.4463,43.5073,65.1573,9.8838,18.0923,46.3442,27.9187,46.3442,27.9187,51.961,32.9279,48.039,67.0721,0.0,53.6558,72.0813
Tamil Nadu,age_below10,33,93.5047,93.1965,0.0,0.0,0.0,59.8214,63.2084,38.3162,34.8635,38.3162,34.8635,79.2155,77.3157,20.7845,22.6843,0.0,61.6838,65.1365
Andaman & Nicobar Islands,age_10_13,35,38.5338,43.7768,0.327,0.1806,0.2508,80.7631,82.4484,18.9189,16.7404,18.9189,16.7404,15.4213,14.0855,84.5787,85.9145,0.0,81.0811,83.2596
Andaman & Nicobar Islands,age_14_17,35,7.4672,11.2918,3.681,0.3927,2.0033,69.667,63.8315,29.4329,28.2411,29.4329,28.2411,10.8011,8.5879,89.1989,91.4121,0.0,70.5671,71.7589
Andaman & Nicobar Islands,age_18_21,35,6.3098,8.5145,36.4985,12.006,24.2841,38.9155,36.3344,57.0973,44.6945,57.0973,44.6945,16.5869,11.254,83.4131,88.746,0.0,42.9027,55.3055
Andaman & Nicobar Islands,age_below10,35,95.1983,97.3958,0.0,0.0,0.0,52.1966,53.1688,47.58,46.6978,47.58,46.6978,81.5698,79.5018,18.4302,20.4982,0.0,52.42,53.3022
