state_name,age_bracket,state_code,Below_primary_share_total_female,Below_primary_share_total_male,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male,Child_labour_attending_total_female,Child_labour_attending_total_male,Child_labour_dropout_total_female,Child_labour_dropout_total_male,Dropout_rate_total_female,Dropout_rate_total_male,Illiteracy_rate_total_female,Illiteracy_rate_total_male,Literacy_rate_total_female,Literacy_rate_total_male,Non_worker_dropout_total_female,School_attendance_rate_total_female,School_attendance_rate_total_male
Sikkim,age_14_17,11,21.8472,26.8207,27.8552,5.2724,33.9695,6.7193,27.4136,6.3851,,,26.2458,6.0546,24.6369,4.9806,10.9138,2.4159,21.874,4.3814,,,,,32.2173,6.161,25.3021,5.1314,70.0163,69.067,16.5658,12.3431,16.5658,12.3431,15.2383,12.3662,84.7617,87.6338,0.0,83.4342,87.6569
Sikkim,age_18_21,11,15.9001,20.0711,35.376,29.3603,37.3588,31.3116,38.4976,29.2577,,,35.8863,26.7302,37.545,27.9479,42.5762,23.9388,46.3239,29.6047,,,,,41.3675,34.0682,37.9554,27.6799,42.6192,42.3382,32.7973,17.4128,32.7973,17.4128,19.1407,14.0424,80.8593,85.9576,0.0,67.2027,82.5872
Sikkim,age_below10,11,97.4865,97.1717,2.3876,1.5492,2.1226,1.4392,1.9822,1.3551,,,2.2425,1.1964,1.867,1.3311,1.5144,1.5747,2.0929,1.4724,,,,,2.3128,1.4921,2.1229,1.387,68.5347,69.1043,30.7319,30.0077,30.7319,30.0077,78.5224,78.6471,21.4776,21.3529,0.0,69.2681,69.9923
Arunachal Pradesh,age_10_13,12,58.5322,59.76,3.2047,1.1334,2.9855,0.4884,2.0744,0.3639,,,2.4911,0.4748,2.1381,0.4567,1.0221,0.5588,1.8046,0.5677,,,,,2.6537,0.5233,2.3269,0.5005,64.0556,72.867,31.5542,24.4173,31.5542,24.4173,36.969,27.8086,63.031,72.1914,0.0,68.4458,75.5827
Arunachal Pradesh,age_14_17,12,19.989,20.3885,25.9647,3.6588,29.1479,4.5185,22.6481,4.5498,,,22.521,4.4322,22.1849,3.9248,14.6809,3.0676,24.4748,4.3173,,,,,29.1667,4.8833,22.5633,4.0888,60.9862,69.4327,24.5236,18.0017,24.5236,18.0017,30.9506,20.1436,69.0494,79.8564,0.0,75.4764,81.9983
Arunachal Pradesh,age_18_21,12,14.4491,14.081,45.6508,30.165,46.0504,34.8288,51.0523,39.5361,,,48.8934,36.599,49.7769,33.7685,48.3586,28.3326,49.6123,35.8045,,,,,46.7807,36.6873,48.1642,33.6996,36.9123,48.4828,32.9643,18.4015,32.9643,18.4015,37.3975,22.4799,62.6025,77.5201,0.0,67.0357,81.5985
Arunachal Pradesh,age_below10,12,96.8331,96.7363,3.4336,2.1873,3.2421,1.3966,2.7484,1.2402,,,2.5587,1.2242,2.7063,1.3381,2.2107,1.6693,2.8549,1.5125,,,,,3.1468,1.5539,2.6139,1.389,42.4208,47.6797,56.8533,51.7641,56.8533,51.7641,85.7353,83.6625,14.2647,16.3375,0.0,43.1467,48.2359
Nagaland,age_10_13,13,36.9476,38.1462,1.2432,0.33,0.9424,0.2441,0.5248,0.1966,,,0.7245,0.2264,0.5655,0.2444,0.5449,0.2581,0.6876,0.2469,,,,,0.7588,0.2697,0.7067,0.2535,75.8155,77.7354,19.8277,18.1169,19.8277,18.1169,25.6624,23.1566,74.3376,76.8434,0.0,80.1723,81.8831
Nagaland,age_14_17,13,8.814,8.6689,14.058,1.6938,13.2992,1.5323,10.6711,1.5528,,,11.4013,1.7818,10.6125,1.517,9.6175,1.3312,13.4995,1.511,,,,,14.4732,1.4822,11.8087,1.5225,70.5397,72.6314,18.2221,15.9123,18.2221,15.9123,22.9692,19.962,77.0308,80.038,0.0,81.7779,84.0877
Nagaland,age_18_21,13,6.7859,6.798,41.8872,20.7435,42.3911,19.0661,45.2718,22.858,,,42.3634,21.7995,43.7756,20.8639,39.3152,19.4381,44.1323,21.2325,,,,,45.6612,21.3797,42.0389,20.1633,56.2239,59.9724,22.8982,18.0293,22.8982,18.0293,26.105,22.2228,73.895,77.7772,0.0,77.1018,81.9707
