state_name,age_bracket,state_code,Below_primary_share_ST_female,CMPR_ST_female,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_dropout_ST_female,Dropout_rate_ST_female,Illiteracy_rate_ST_female,Literacy_rate_ST_female,Non_worker_dropout_ST_female,School_attendance_rate_ST_female
Bihar,age_below10,10,94.1964,0.0,0.0,16.2817,82.9616,82.9616,93.216,6.784,0.0,17.0384
Sikkim,age_10_13,11,61.2644,1.4005,0.9219,85.2456,10.5272,10.5272,16.615,83.385,0.0,89.4728
Sikkim,age_14_17,11,21.4872,12.7043,7.7271,71.9567,14.1749,14.1749,16.5735,83.4265,0.0,85.8251
Sikkim,age_18_21,11,15.7365,52.3872,39.1717,48.258,26.8718,26.8718,18.977,81.023,0.0,73.1282
Sikkim,age_below10,11,97.2665,0.0,0.0,66.7157,32.0641,32.0641,77.9194,22.0806,0.0,67.9359
Arunachal Pradesh,age_10_13,12,61.7185,1.5028,0.9707,65.214,30.1302,30.1302,37.3591,62.6409,0.0,69.8698
Arunachal Pradesh,age_14_17,12,21.0274,15.5904,9.6957,64.8058,20.65,20.65,29.1231,70.8769,0.0,79.35
Arunachal Pradesh,age_18_21,12,14.0502,64.3611,48.8552,41.5536,26.7289,26.7289,35.2491,64.7509,0.0,73.2711
Arunachal Pradesh,age_below10,12,96.8705,0.0,0.0,41.6589,57.5423,57.5423,86.2023,13.7977,0.0,42.4577
Nagaland,age_10_13,13,36.7616,1.3152,0.8833,76.2686,19.167,19.167,25.4283,74.5717,0.0,80.833
Nagaland,age_14_17,13,8.6988,7.4317,4.4442,70.8266,17.4912,17.4912,23.0596,76.9404,0.0,82.5088
Nagaland,age_18_21,13,6.7138,29.027,20.1415,56.8624,21.4712,21.4712,26.0557,73.9443,0.0,78.5288
Nagaland,age_below10,13,93.1458,0.0,0.0,57.761,40.6835,40.6835,79.213,20.787,0.0,59.3165
Manipur,age_10_13,14,46.8507,1.1584,0.8126,77.3386,19.878,19.878,30.091,69.909,0.0,80.122
Manipur,age_14_17,14,12.652,7.7919,4.7289,72.3715,18.3131,18.3131,21.8284,78.1716,0.0,81.6869
Manipur,age_18_21,14,8.819,30.9581,22.3219,59.8463,23.1793,23.1793,23.7931,76.2069,0.0,76.8207
Manipur,age_below10,14,92.7198,0.0,0.0,57.0807,41.6754,41.6754,84.2182,15.7818,0.0,58.3246
Mizoram,age_10_13,15,58.3795,0.5734,0.4088,88.0375,10.1029,10.1029,9.0574,90.9426,0.0,89.8971
Mizoram,age_14_17,15,15.1257,9.7694,5.9396,66.9761,16.0659,16.0659,6.8159,93.1841,0.0,83.9341
Mizoram,age_18_21,15,14.4596,45.1772,34.9185,39.539,28.2533,28.2533,7.2324,92.7676,0.0,71.7467
Mizoram,age_below10,15,98.3503,0.0,0.0,65.1341,34.5656,34.5656,76.6264,23.3736,0.0,65.4344
Tripura,age_10_13,16,54.0761,0.9623,0.7087,70.7849,27.7002,27.7002,27.5244,72.4756,0.0,72.2998
Tripura,age_14_17,16,18.0149,18.4488,10.7306,56.3595,36.5279,36.5279,30.9168,69.0832,0.0,63.4721
Tripura,age_18_21,16,18.5394,67.525,53.1233,27.7262,55.1348,55.1348,40.9391,59.0609,0.0,44.8652
Tripura,age_below10,16,97.6658,0.0,0.0,48.4683,51.172,51.172,79.7737,20.2263,0.0,48.828
Meghalaya,age_10_13,17,66.1313,1.4259,0.9225,69.2557,27.1571,27.1571,30.5346,69.4654,0.0,72.8429
Meghalaya,age_14_17,17,31.7624,13.9872,8.2115,63.0404,23.0214,23.0214,22.108,77.892,0.0,76.9786
Meghalaya,age_18_21,17,25.8207,54.4981,40.9893,45.484,29.6615,29.6615,25.3751,74.6249,0.0,70.3385
Meghalaya,age_below10,17,95.2937,0.0,0.0,44.268,54.6586,54.6586,86.6032,13.3968,0.0,45.3414
Assam,age_10_13,18,40.1259,1.3103,0.8485,73.5382,24.5722,24.5722,23.369,76.631,0.0,75.4278
Assam,age_14_17,18,11.2471,14.1309,8.3047,60.9962,33.3141,33.3141,23.7435,76.2565,0.0,66.6859
Assam,age_18_21,18,10.0959,54.5551,38.903,38.4573,49.6099,49.6099,29.5881,70.4119,0.0,50.3901
Assam,age_below10,18,95.6156,0.0,0.0,54.9652,44.4412,44.4412,79.1493,20.8507,0.0,55.5588
West Bengal,age_10_13,19,67.8735,1.6256,1.0295,53.3904,43.3618,43.3618,41.3805,58.6195,0.0,56.6382
West Bengal,age_14_17,19,34.2312,31.8205,17.2114,30.7096,54.0229,54.0229,50.29,49.71,0.0,45.9771
West Bengal,age_18_21,19,34.4056,79.3152,60.7907,11.6137,62.9575,62.9575,60.5718,39.4282,0.0,37.0425
West Bengal,age_below10,19,97.6961,0.0,0.0,42.1479,57.49,57.49,82.9939,17.0061,0.0,42.51
Jharkhand,age_10_13,20,50.2374,1.5143,0.9517,45.1379,51.4799,51.4799,51.3126,48.6874,0.0,48.5201
Jharkhand,age_14_17,20,15.8954,25.3666,15.0725,32.1065,56.4472,56.4472,52.3776,47.6224,0.0,43.5528
Jharkhand,age_18_21,20,12.139,72.5916,57.5462,15.6506,65.4325,65.4325,60.0772,39.9228,0.0,34.5675
Jharkhand,age_below10,20,95.6292,0.0,0.0,30.7007,68.6576,68.6576,88.1573,11.8427,0.0,31.3424
State - ORISSA  21,age_10_13,21,44.6878,1.1448,0.7084,41.8242,55.3508,55.3508,52.7829,47.2171,0.0,44.6492
State - ORISSA  21,age_14_17,21,20.1665,20.3305,12.0711,22.6787,66.3469,66.3469,57.7939,42.2061,0.0,33.6531
State - ORISSA  21,age_18_21,21,21.6731,72.9991,54.4573,8.7964,73.6923,73.6923,65.6018,34.3982,0.0,26.3077
State - ORISSA  21,age_below10,21,96.8196,0.0,0.0,36.9095,62.7269,62.7269,86.8383,13.1617,0.0,37.2731
Chhattisgarh,age_10_13,22,57.4996,1.2215,0.8188,63.5113,31.6458,31.6458,27.6699,72.3301,0.0,68.3542
Chhattisgarh,age_14_17,22,18.1003,21.5255,13.4315,31.8408,48.6488,48.6488,34.2037,65.7963,0.0,51.3512
Chhattisgarh,age_18_21,22,17.2392,80.9122,66.55,11.9349,57.2802,57.2802,45.2777,54.7223,0.0,42.7198
Chhattisgarh,age_below10,22,98.2646,0.0,0.0,48.3762,50.9657,50.9657,81.8013,18.1987,0.0,49.0343
Madhya Pradesh,age_10_13,23,67.6162,2.1237,1.4798,47.9748,45.5305,45.5305,45.1568,54.8432,0.0,54.4695
Madhya Pradesh,age_14_17,23,28.8234,35.4866,23.3842,22.4701,54.6962,54.6962,52.969,47.031,0.0,45.3038
Madhya Pradesh,age_18_21,23,23.3737,90.7094,79.266,8.3492,56.7398,56.7398,63.749,36.251,0.0,43.2602
Madhya Pradesh,age_below10,23,97.5924,0.0,0.0,35.4741,63.7801,63.7801,86.5042,13.4958,0.0,36.2199
Gujarat,age_10_13,24,44.3952,0.9859,0.6818,58.1876,37.8806,37.8806,34.1544,65.8456,0.0,62.1194
Gujarat,age_14_17,24,17.5798,18.5256,11.5402,36.3229,47.2387,47.2387,37.6489,62.3511,0.0,52.7613
Gujarat,age_18_21,24,16.717,81.2693,68.0028,15.0906,56.7185,56.7185,46.9349,53.0651,0.0,43.2815
Gujarat,age_below10,24,98.1957,0.0,0.0,49.0114,50.6429,50.6429,81.1148,18.8852,0.0,49.3571
Daman & Diu,age_10_13,25,36.0714,1.0323,0.5999,81.3505,12.3794,12.3794,9.9678,90.0322,0.0,87.6206
Daman & Diu,age_14_17,25,13.7295,15.534,8.2655,36.4421,28.4974,28.4974,15.7168,84.2832,0.0,71.5026
Daman & Diu,age_18_21,25,13.1004,76.8546,52.2429,8.8136,43.3898,43.3898,22.3729,77.6271,0.0,56.6102
Daman & Diu,age_below10,25,99.115,0.0,0.0,74.937,24.3073,24.3073,69.9668,30.0332,0.0,75.6927
Dadra & Nagar Haveli,age_10_13,26,45.7719,0.7706,0.5155,51.9845,39.8543,39.8543,42.5152,57.4848,0.0,60.1457
Dadra & Nagar Haveli,age_14_17,26,19.7553,27.097,17.2053,23.9306,41.7534,41.7534,57.4759,42.5241,0.0,58.2466
Dadra & Nagar Haveli,age_18_21,26,18.7435,83.5013,75.4068,8.009,44.9102,44.9102,64.259,35.741,0.0,55.0898
Dadra & Nagar Haveli,age_below10,26,98.5159,0.0,0.0,50.5576,48.8098,48.8098,84.1078,15.8922,0.0,51.1902
Maharashtra,age_10_13,27,48.569,1.0302,0.6338,72.6912,22.1923,22.1923,18.3406,81.6594,0.0,77.8077
Maharashtra,age_14_17,27,19.53,22.9462,12.4665,44.655,32.7996,32.7996,26.3781,73.6219,0.0,67.2004
Maharashtra,age_18_21,27,19.9568,83.5876,63.5973,18.6243,41.8192,41.8192,39.679,60.321,0.0,58.1808
Maharashtra,age_below10,27,98.1342,0.0,0.0,56.4073,43.1067,43.1067,78.5333,21.4667,0.0,56.8933
Andhra Pradesh,age_10_13,28,46.4511,2.0863,1.2149,50.246,33.1062,33.1062,43.0105,56.9895,0.0,66.8938
Andhra Pradesh,age_14_17,28,21.9985,43.1222,24.2255,23.5033,37.4024,37.4024,57.0882,42.9118,0.0,62.5976
Andhra Pradesh,age_18_21,28,21.9391,89.1162,74.6827,7.9464,40.5345,40.5345,69.5753,30.4247,0.0,59.4655
Andhra Pradesh,age_below10,28,96.7561,0.0,0.0,58.2782,39.4753,39.4753,78.425,21.575,0.0,60.5247
Karnataka,age_10_13,29,43.3192,2.4526,1.5276,60.6955,30.368,30.368,28.9607,71.0393,0.0,69.632
Karnataka,age_14_17,29,14.8549,27.7213,14.1501,33.2155,44.4346,44.4346,37.2494,62.7506,0.0,55.5654
Karnataka,age_18_21,29,15.1866,79.6266,52.7105,10.9101,57.4808,57.4808,48.0828,51.9172,0.0,42.5192
