state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
State - UTTARANCHAL  05,age_18_21,05,3.6474,2.0513,3.9087,0.0,15.6526,5.9185,8.6111,6.25,16.1291,2.7778,48.4146,22.5902,91.3889,93.75,83.8709,97.2222,51.5854,77.4098,14.5897,15.5556,26.0823,1.7143,16.9111,20.0117
Haryana,age_below10,06,97.093,97.1726,97.9931,97.4173,93.3957,97.836,77.1277,71.9415,74.2896,70.4719,90.2087,72.42,22.8723,28.0585,25.7104,29.5281,9.7913,27.58,0.0,0.0,0.0,0.0,0.0,0.0
Haryana,age_10_13,06,53.5714,43.1689,47.0981,24.1634,67.4828,44.6463,17.1598,7.7058,10.4644,1.5027,57.4316,11.0212,82.8402,92.2942,89.5356,98.4973,42.5684,88.9788,6.7857,7.0209,5.0835,13.3366,1.6709,5.7134
Haryana,age_14_17,06,10.4072,4.4932,6.8409,0.8692,24.8214,6.545,19.3431,9.375,12.7114,1.6202,65.142,12.7791,80.6569,90.625,87.2886,98.3798,34.858,87.2209,36.1991,41.7973,35.6189,40.5764,16.6481,36.6837
Haryana,age_18_21,06,3.6697,1.8797,4.3157,0.766,15.6205,4.5403,23.7762,10.1351,19.8457,1.2605,73.4948,16.4516,76.2238,89.8649,80.1543,98.7395,26.5052,83.5484,16.5138,14.4737,18.7416,3.9149,15.457,20.3705
State - DELHI  07,age_below10,07,97.6103,97.2057,97.5685,97.7565,96.1563,97.8028,74.4841,72.5002,73.1319,69.296,78.1141,69.0225,25.5159,27.4998,26.8681,30.704,21.8859,30.9775,0.0,0.0,0.0,0.0,0.0,0.0
State - DELHI  07,age_10_13,07,35.9244,30.3922,36.6441,23.8588,46.2984,29.4558,4.8,4.1265,7.0452,0.9012,17.9755,3.4135,95.2,95.8735,92.9548,99.0988,82.0245,96.5865,5.6723,7.6518,7.1137,11.6084,5.5466,9.038
State - DELHI  07,age_14_17,07,4.914,3.8576,3.8536,0.8361,9.0328,2.181,6.3291,8.07,7.2198,0.7218,19.7647,3.6822,93.6709,91.93,92.7802,99.2782,80.2353,96.3178,42.2604,42.0623,41.311,43.0934,34.4295,42.4165
State - DELHI  07,age_18_21,07,2.5586,3.3346,2.5898,0.8819,6.672,1.8884,7.8585,8.7443,11.4574,0.8742,26.2759,4.5898,92.1415,91.2557,88.5426,99.1258,73.7241,95.4102,18.7633,14.7183,19.7183,4.1028,24.2867,10.6446
Rajasthan,age_below10,08,95.2077,97.0094,96.3855,94.5106,94.6333,96.5833,74.7377,74.9441,80.1624,68.6604,83.3466,74.6163,25.2623,25.0559,19.8376,31.3396,16.6534,25.3837,0.0,0.0,0.0,0.0,0.0,0.0
