source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Age-group | 1,Total | Persons | 2,Males | 3,Females | 4,Marital status | Persons | 5,Never married | Males | 6,Females | 7,Married | Persons | 8,Males | 9,Females | 10,Widowed | Persons | 11,Males | 12,Females | 13,Divorced/Separated | Persons | 14,Males | 15,Females | 16,Unspecified | Persons | 17,Males | 18,Females | 19
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,40-44,7079,4041,3038,182,116,66,6582,3881,2701,280,28,252,35,16,19,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,45-49,6326,3666,2660,114,76,38,5824,3538,2286,360,41,319,28,11,17,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,50-54,4217,2690,1527,78,52,26,3736,2570,1166,379,57,322,24,11,13,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,55-59,2807,1818,989,38,21,17,2392,1715,677,361,71,290,16,11,5,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,60-64,1716,999,717,34,24,10,1316,920,396,356,50,306,10,5,5,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,65-69,1161,643,518,26,14,12,816,579,237,314,48,266,5,2,3,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,70-74,685,366,319,17,12,5,434,319,115,230,35,195,4,0,4,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,75-79,317,171,146,5,5,0,173,134,39,138,31,107,1,1,0,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,80+,319,158,161,11,3,8,162,118,44,144,35,109,2,2,0,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,Age not stated,720,407,313,619,368,251,88,37,51,11,2,9,2,0,2,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,Less than 18,38259,19756,18503,37975,19681,18294,264,71,193,15,4,11,5,0,5,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,Less than 21,47065,24798,22267,45307,24527,20780,1719,264,1455,25,5,20,14,2,12,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,All ages,76210007,38527413,37682594,34602667,19460511,15142156,37439010,18431061,19007949,3830910,559946,3270964,337420,75895,261525,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,0-9,15665152,7973366,7691786,15665152,7973366,7691786,0,0,0,0,0,0,0,0,0,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,10-14,8732973,4507721,4225252,8629752,4483878,4145874,94966,21337,73629,5450,1303,4147,2805,1203,1602,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,15-19,7579964,3954124,3625840,6285370,3831143,2454227,1269276,120063,1149213,11125,1333,9792,14193,1585,12608,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,20-24,6936897,3478288,3458609,2782114,2223487,558627,4071984,1244121,2827863,42294,4881,37413,40505,5799,34706,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,25-29,6762271,3229258,3533013,763671,645348,118323,5859263,2564416,3294847,84131,10052,74079,55206,9442,45764,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,30-34,5625505,2857197,2768308,161687,121523,40164,5286803,2710871,2575932,123235,14782,108453,53780,10021,43759,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,35-39,5652711,2800929,2851782,60589,38745,21844,5362194,2731703,2630491,181500,20677,160823,48428,9804,38624,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,40-44,4353961,2344256,2009705,38868,22688,16180,4042177,2282862,1759315,234388,29221,205167,38528,9485,29043,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,45-49,3804932,1961920,1843012,24691,14496,10195,3461368,1902545,1558823,292632,37574,255058,26241,7305,18936,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,50-54,3064827,1607693,1457134,20173,11204,8969,2577625,1530401,1047224,445933,59398,386535,21096,6690,14406,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,55-59,2109286,980830,1128456,11858,6431,5427,1733205,921205,812000,353751,49427,304324,10472,3767,6705,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,60-64,2337506,1122341,1215165,18600,8750,9850,1613759,1013771,599988,692933,95193,597740,12214,4627,7587,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,65-69,1371770,621812,749958,11718,5599,6119,913390,547681,365709,441019,66161,374858,5643,2371,3272,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,70-74,1160623,580811,579812,13114,6504,6610,655367,487476,167891,487488,84661,402827,4654,2170,2484,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,75-79,413869,204959,208910,6615,3870,2745,232026,165539,66487,173744,34828,138916,1484,722,762,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,80+,504310,227665,276645,15413,8539,6874,229728,168703,61025,257304,49626,207678,1865,797,1068,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,Age not stated,133450,74243,59207,93282,54940,38342,35879,18367,17512,3983,829,3154,306,107,199,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,Less than 18,28710244,14774512,13935732,28254648,14716571,13538077,438314,54109,384205,9790,1961,7829,7492,1871,5621,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Total,Less than 21,34416577,17589920,16826657,31741441,17183789,14557652,2614458,397710,2216748,29934,4033,25901,30744,4388,26356,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,All ages,55401067,27937204,27463863,24631998,13877972,10754026,27516200,13540968,13975232,2967774,454229,2513545,285095,64035,221060,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,0-9,11785096,5992841,5792255,11785096,5992841,5792255,0,0,0,0,0,0,0,0,0,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,10-14,6369389,3303807,3065582,6297652,3288430,3009222,66153,13697,52456,3702,905,2797,1882,775,1107,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,15-19,5263858,2778306,2485552,4237037,2682510,1554527,1005862,93706,912156,8750,997,7753,12209,1093,11116,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,20-24,4796962,2396915,2400047,1651221,1399463,251758,3077411,988531,2088880,33443,4001,29442,34887,4920,29967,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,25-29,4779944,2272443,2507501,396039,345038,51001,4269831,1911085,2358746,66778,8199,58579,47296,8121,39175,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,30-34,4020132,2026502,1993630,82075,61537,20538,3795817,1944739,1851078,96497,11678,84819,45743,8548,37195,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,35-39,4035189,1992437,2042752,31842,20290,11552,3825325,1947598,1877727,137351,16298,121053,40671,8251,32420,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,40-44,3137235,1673937,1463298,22781,13446,9335,2905493,1629281,1276212,176601,23275,153326,32360,7935,24425,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,45-49,2760190,1400021,1360169,14320,8951,5369,2503948,1354592,1149356,219914,30246,189668,22008,6232,15776,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,50-54,2272256,1176748,1095508,12299,7379,4920,1902831,1115250,787581,339532,48401,291131,17594,5718,11876,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,55-59,1596098,727068,869030,7332,4366,2966,1310202,679304,630898,269798,40123,229675,8766,3275,5491,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,60-64,1813468,868599,944869,12028,6047,5981,1247757,780409,467348,543438,78177,465261,10245,3966,6279,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,65-69,1070345,482166,588179,7423,3826,3597,711192,422120,289072,347017,54187,292830,4713,2033,2680,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,70-74,918723,465731,452992,8215,4236,3979,518278,389568,128710,388390,70078,318312,3840,1849,1991,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,75-79,317166,158218,158948,3872,2421,1451,178280,127619,50661,133811,27573,106238,1203,605,598,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,80+,386032,177404,208628,9178,5174,4004,175412,132041,43371,199980,39544,160436,1462,645,817,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,Age not stated,78984,44061,34923,53588,32017,21571,22408,11428,10980,2772,547,2225,216,69,147,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,Less than 18,21145300,10910422,10234878,20798769,10871825,9926944,333864,36069,297795,6893,1369,5524,5774,1159,4615,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Rural,Less than 21,25159120,12899248,12259872,23067900,12577406,10490494,2041920,315544,1726376,23123,3067,20056,26177,3231,22946,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,All ages,20808940,10590209,10218731,9970669,5582539,4388130,9922810,4890093,5032717,863136,105717,757419,52325,11860,40465,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,0-9,3880056,1980525,1899531,3880056,1980525,1899531,0,0,0,0,0,0,0,0,0,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,10-14,2363584,1203914,1159670,2332100,1195448,1136652,28813,7640,21173,1748,398,1350,923,428,495,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,15-19,2316106,1175818,1140288,2048333,1148633,899700,263414,26357,237057,2375,336,2039,1984,492,1492,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,20-24,2139935,1081373,1058562,1130893,824024,306869,994573,255590,738983,8851,880,7971,5618,879,4739,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,25-29,1982327,956815,1025512,367632,300310,67322,1589432,653331,936101,17353,1853,15500,7910,1321,6589,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,30-34,1605373,830695,774678,79612,59986,19626,1490986,766132,724854,26738,3104,23634,8037,1473,6564,0,0,0
C-02_Andhra_Pradesh,C0402,28,00,0000,State - ANDHRA PRADESH  28,Urban,35-39,1617522,808492,809030,28747,18455,10292,1536869,784105,752764,44149,4379,39770,7757,1553,6204,0,0,0
