source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban,Religion,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40 and above | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,30-31,37,5,36,5,4,2,6,0,7,1,10,1,6,0,3,1,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,32-33,18,1,18,1,6,1,3,0,3,0,4,0,1,0,1,0,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,34 +,12,4,12,3,3,0,2,1,2,0,3,1,1,1,1,0,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,Not stated,43,47,39,43,0,0,0,0,0,0,0,0,0,0,0,0,39,43
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,All ages,345,343,321,320,48,55,57,59,90,82,54,55,19,25,26,15,27,29
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,Less than 10,5,12,4,12,0,0,0,0,0,1,3,5,1,5,0,1,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,10-11,1,3,1,3,0,0,0,0,0,1,1,1,0,0,0,1,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,12-13,1,3,1,3,0,1,0,0,1,2,0,0,0,0,0,0,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,14-15,2,12,2,11,0,0,0,0,1,4,1,5,0,0,0,2,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,16-17,7,43,5,36,0,6,0,8,2,10,1,8,1,3,1,1,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,18-19,35,77,34,73,4,15,7,20,10,23,9,6,2,5,2,4,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,20-21,64,57,58,52,10,14,13,10,14,11,10,10,6,4,5,3,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,22-23,47,35,45,34,11,8,12,8,15,9,4,6,2,1,1,2,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,24-25,64,32,57,28,12,3,7,7,13,5,12,7,2,5,11,1,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,26-27,32,15,31,15,4,6,8,2,12,5,3,2,1,0,3,0,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,28-29,18,11,17,11,2,0,2,2,7,5,3,3,2,1,1,0,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,30-31,24,7,23,7,3,0,5,1,7,3,4,2,2,1,2,0,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,32-33,7,2,7,2,1,2,2,0,4,0,0,0,0,0,0,0,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,34 +,10,5,9,4,1,0,1,1,4,3,3,0,0,0,0,0,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Other religions and persuasions,Not stated,28,29,27,29,0,0,0,0,0,0,0,0,0,0,0,0,27,29
C-05_All_India,C1805,01,000,Rural,State - JAMMU & KASHMIR,All religious communities,All ages,1948093,2028365,1844767,1815270,242109,232899,270206,260665,474094,473562,379454,378883,214701,213954,171251,163551,92952,91756
C-05_All_India,C1805,01,000,Rural,State - JAMMU & KASHMIR,All religious communities,Less than 10,24723,26690,23907,24341,7,19,50,70,1167,3550,8044,8440,6094,5460,8530,6789,15,13
C-05_All_India,C1805,01,000,Rural,State - JAMMU & KASHMIR,All religious communities,10-11,3794,13064,3510,11338,29,57,85,337,741,2520,1151,3025,682,2221,817,3171,5,7
C-05_All_India,C1805,01,000,Rural,State - JAMMU & KASHMIR,All religious communities,12-13,2912,18690,2641,15439,104,255,123,698,632,3335,836,3558,429,3229,515,4358,2,6
C-05_All_India,C1805,01,000,Rural,State - JAMMU & KASHMIR,All religious communities,14-15,12244,87378,10730,72726,625,2302,792,4784,2693,16640,2831,17200,1738,14613,2046,17161,5,26
C-05_All_India,C1805,01,000,Rural,State - JAMMU & KASHMIR,All religious communities,16-17,37688,203916,34425,182460,3353,16228,4183,22450,10089,52401,8221,43802,4397,26595,4168,20923,14,61
C-05_All_India,C1805,01,000,Rural,State - JAMMU & KASHMIR,All religious communities,18-19,147629,495218,136980,454106,15190,54343,18600,64849,40076,130153,31394,104878,16507,57796,15174,41953,39,134
C-05_All_India,C1805,01,000,Rural,State - JAMMU & KASHMIR,All religious communities,20-21,367470,473643,341150,417885,33248,50174,46064,61801,94004,116020,80207,96546,44434,52353,43060,40866,133,125
C-05_All_India,C1805,01,000,Rural,State - JAMMU & KASHMIR,All religious communities,22-23,324907,244610,313129,227176,41751,41322,48611,42340,89932,64897,71046,45962,36009,20696,25663,11890,117,69
C-05_All_India,C1805,01,000,Rural,State - JAMMU & KASHMIR,All religious communities,24-25,357893,173795,340977,155840,43719,28903,50260,29353,91338,42781,75772,28706,44693,16234,35088,9805,107,58
C-05_All_India,C1805,01,000,Rural,State - JAMMU & KASHMIR,All religious communities,26-27,187849,74280,183388,69929,35941,18241,33495,14952,51710,18653,34381,10590,17707,5120,10100,2347,54,26
C-05_All_India,C1805,01,000,Rural,State - JAMMU & KASHMIR,All religious communities,28-29,145299,48691,141789,45380,28623,11126,26898,9784,38523,11383,24668,7054,14341,4150,8701,1875,35,8
C-05_All_India,C1805,01,000,Rural,State - JAMMU & KASHMIR,All religious communities,30-31,125956,31094,120013,26293,18570,5137,22170,5461,29888,6142,21588,4654,15932,3265,11821,1622,44,12
C-05_All_India,C1805,01,000,Rural,State - JAMMU & KASHMIR,All religious communities,32-33,44122,10079,43100,9317,10442,2522,9456,1938,10697,2097,6857,1565,3938,899,1699,295,11,1
