source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40 and above | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,32-33,1765,246,1746,224,384,67,343,54,544,63,328,27,104,11,42,2,1,0
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,34 +,2002,259,1973,233,445,87,318,34,556,71,415,26,172,10,64,4,3,1
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,Not stated,1534,1607,1452,1318,0,0,0,0,0,0,0,0,0,0,0,0,1452,1318
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,All ages,22289934,26721237,21399281,22052019,2431178,2635316,2721988,2883217,5264561,5593442,4424804,4466683,2606922,2622782,2523524,2394374,1426304,1456205
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,Less than 10,458941,862302,442677,697119,107,310,583,2182,21781,140180,142481,185085,109483,143884,164791,217442,3451,8036
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,10-11,53905,446651,46239,307585,92,572,359,5078,4617,41740,12320,56609,7750,58108,20518,142554,583,2924
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,12-13,69009,1127892,56269,809770,202,5305,954,35283,7406,184347,13376,202196,9528,153959,24261,223234,542,5446
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,14-15,270898,3678862,223452,2798431,1982,72569,6339,212529,33208,722027,45167,707979,38278,487647,96989,579634,1489,16046
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,16-17,539499,4860481,483462,4053958,19914,453030,39051,570444,127020,1200175,109781,903561,68461,497992,116562,405120,2673,23636
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,18-19,2068899,6979703,1932447,6053845,138499,954362,211242,989827,513792,1712755,446799,1255309,262011,653613,352689,456849,7415,31130
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,20-21,5537385,4381867,5265482,3644185,442969,548312,639568,617292,1386211,971816,1249224,768311,704876,427334,819476,287638,23158,23482
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,22-23,3913277,1311412,3827545,1194036,553960,301110,590245,234388,1092819,312260,830932,196917,421643,96998,320538,43040,17408,9323
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,24-25,3879640,769534,3782224,671261,484998,164384,532904,123087,1024781,172948,827900,111673,514658,65926,378494,27500,18489,5743
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,26-27,1648212,254456,1627582,234660,334115,73983,281634,45406,445010,58761,295729,32664,173505,16365,88680,5110,8909,2371
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,28-29,1112946,138457,1098963,124698,230170,34885,198975,24476,287697,32118,191509,18986,124052,10065,61658,3123,4902,1045
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,30-31,788633,88595,772133,72506,121081,13297,133950,13342,191307,20834,147213,14226,115566,7695,58779,2313,4237,799
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,32-33,232576,24138,229482,21310,54080,5717,44195,4014,57715,6060,40826,3653,23190,1292,8097,354,1379,220
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,34 +,289308,63918,281193,43088,49009,7480,41989,5869,71197,17421,71547,9514,33921,1904,11992,463,1538,437
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Total,Not stated,1426806,1732969,1330131,1325567,0,0,0,0,0,0,0,0,0,0,0,0,1330131,1325567
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,All ages,15015849,18126406,14349770,14763723,1599058,1733796,1803416,1908663,3502378,3726013,2976810,3020301,1799963,1833280,1927344,1818990,740801,722680
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,Less than 10,295981,633526,283478,506377,56,186,339,1522,16092,102563,85899,125676,67605,102839,111730,168373,1757,5218
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,10-11,39860,351212,33462,239873,54,401,235,3783,2911,29673,6815,41196,5578,44784,17496,118128,373,1908
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,12-13,51286,833823,41350,599738,137,4152,702,27058,5120,134769,8259,143950,7051,112587,19773,173969,308,3253
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,14-15,214782,2747842,176978,2096285,1583,57569,4835,161657,24933,534394,32965,516241,30181,360508,81477,455876,1004,10040
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,16-17,422790,3554137,377999,2958641,16301,350219,30760,422157,98003,864004,82358,643295,53047,357710,95725,307161,1805,14095
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,18-19,1617050,4907037,1507526,4228080,112098,691826,165771,687185,398061,1168543,340367,865465,201126,459362,285367,339785,4736,15914
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,20-21,4181442,2892799,3966555,2346489,345580,347719,482855,391333,1027489,604780,923658,495127,523552,287583,649919,209065,13502,10882
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,22-23,2776381,703036,2712310,624081,407291,160719,419968,123552,764505,155846,579202,101461,293433,53935,238599,25281,9312,3287
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,24-25,2530100,375207,2460270,310858,316594,70481,343793,55117,646956,77082,527625,53715,339457,36449,277187,16301,8658,1713
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,26-27,905179,99964,892538,88678,187299,27821,154284,16562,233094,21455,156839,12744,100452,7247,57160,2180,3410,669
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,28-29,561750,56023,553765,48331,112278,12904,97273,9208,135328,12180,95515,7774,71881,4676,40065,1364,1425,225
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,30-31,406312,40941,396110,31434,52842,4580,63699,5481,89811,8996,76176,6815,72010,4133,40205,1191,1367,238
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,32-33,107430,9224,105932,7787,24319,2039,19227,1377,24394,2151,19423,1512,13404,531,4731,120,434,57
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,34 +,154549,36551,149409,22033,22626,3180,19675,2671,35681,9577,41709,5330,21186,936,7910,196,622,143
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Rural,Not stated,750957,885084,692088,655038,0,0,0,0,0,0,0,0,0,0,0,0,692088,655038
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,All ages,7274085,8594831,7049511,7288296,832120,901520,918572,974554,1762183,1867429,1447994,1446382,806959,789502,596180,575384,685503,733525
