source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40 and above | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,10-11,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,12-13,2,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,14-15,1,6,1,5,0,0,0,0,0,2,1,3,0,0,0,0,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,16-17,2,24,2,23,0,0,0,0,1,8,0,11,1,2,0,2,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,18-19,17,78,16,72,0,3,2,10,6,22,4,21,4,12,0,4,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,20-21,30,72,30,70,1,6,1,11,10,29,11,17,4,7,3,0,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,22-23,53,58,50,57,4,12,7,6,12,22,18,11,9,6,0,0,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,24-25,73,50,72,48,7,9,12,7,28,18,17,11,8,0,0,3,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,26-27,43,33,42,31,6,10,6,11,14,8,12,1,4,1,0,0,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,28-29,46,17,45,17,10,5,9,5,13,5,11,2,2,0,0,0,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,30-31,39,9,38,9,8,1,13,2,10,5,6,1,1,0,0,0,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,32-33,17,5,17,5,5,4,4,0,6,0,2,1,0,0,0,0,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,34 +,25,5,25,5,6,0,5,2,10,2,3,1,0,0,1,0,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,Not stated,9,31,8,29,0,0,0,0,0,0,0,0,0,0,0,0,8,29
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,All ages,1470174,1739330,1407554,1468782,176490,195311,204154,217601,366960,391805,279272,283669,150590,153840,147578,140576,82510,85980
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,Less than 10,26210,53493,25155,46442,11,25,47,239,3444,12948,8442,13016,5598,8830,7412,10890,201,494
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,10-11,2855,20791,2564,16535,12,64,49,544,518,3561,826,3326,377,2814,736,6064,46,162
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,12-13,4327,64060,3714,51653,35,774,162,4265,893,15326,947,11762,506,8035,1140,11183,31,308
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,14-15,22902,236050,19981,193947,494,9164,1246,22075,4818,56274,4092,44257,2940,28033,6294,33153,97,991
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,16-17,60212,339529,55700,294006,4648,45722,7027,50011,16668,86389,10829,57052,6405,28916,9868,24396,255,1520
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,18-19,215991,501802,204706,442699,24447,79781,30795,79231,57757,124939,41084,85069,22344,41322,27610,30418,669,1939
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,20-21,482273,289624,460860,234432,52846,35308,70684,41085,127097,63186,100417,49229,52406,25238,55524,19181,1886,1205
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,22-23,251038,71149,245201,61402,44311,14381,43158,11867,70222,15933,48410,10667,22148,5303,15948,2902,1004,349
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,24-25,195894,37225,190392,29427,26285,5693,29521,4946,53264,7604,40826,5650,23090,3516,16563,1843,843,175
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,26-27,53890,9363,52944,7900,11716,2211,9526,1408,14521,2016,9082,1257,5317,695,2538,230,244,83
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,28-29,31515,5693,30951,4765,6312,1175,5792,872,8058,1215,5335,790,3642,534,1713,153,99,26
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,30-31,24078,4571,23386,3404,2700,393,3864,585,5779,1051,5091,798,4060,418,1798,123,94,36
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,32-33,5491,923,5387,770,1262,188,1031,123,1300,220,1001,158,608,62,154,12,31,7
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,34 +,10127,4017,9679,2754,1411,432,1252,350,2621,1143,2890,638,1149,124,280,28,76,39
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Total,Not stated,83371,101040,76934,78646,0,0,0,0,0,0,0,0,0,0,0,0,76934,78646
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,All ages,1307487,1549689,1249741,1306144,154366,171159,180128,192251,323833,346203,248771,253437,136331,139953,137905,131617,68407,71524
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,Less than 10,22801,48182,21822,41800,10,17,44,207,3090,11613,7102,11528,4760,7921,6649,10071,167,443
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,10-11,2488,18503,2228,14717,10,50,43,474,436,3040,672,2866,335,2491,690,5656,42,140
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,12-13,3813,55156,3277,44663,32,676,146,3670,771,12914,813,9865,437,6996,1051,10293,27,249
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,14-15,20784,207761,18128,171066,466,8135,1117,19229,4244,48808,3614,38381,2691,24913,5914,30763,82,837
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,16-17,54794,303649,50642,262894,4243,40552,6317,44380,14883,76320,9689,50923,5899,26434,9389,22994,222,1291
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,18-19,197587,453652,187067,399810,22336,70988,27961,70933,52277,112050,37365,77314,20470,38118,26074,28794,584,1613
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,20-21,439307,262181,419343,210853,47822,30869,64029,36376,114856,56425,90932,44740,47963,23309,52129,18104,1612,1030
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,22-23,224727,62788,219300,53651,39279,12011,38409,10232,62252,13873,43365,9611,20198,4903,14952,2746,845,275
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,24-25,170935,32302,165839,25022,22382,4474,25468,4066,45550,6429,35768,5003,20726,3207,15272,1716,673,127
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,26-27,43709,7686,42857,6325,9229,1633,7515,1085,11497,1636,7519,1080,4620,626,2299,201,178,64
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,28-29,24807,4836,24325,3975,4638,921,4333,703,6238,1001,4360,702,3174,490,1522,139,60,19
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,30-31,19552,3999,18935,2924,1905,305,2996,493,4568,914,4281,695,3525,382,1596,107,64,28
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,32-33,4241,782,4152,640,911,152,751,99,1003,177,801,142,534,53,133,11,19,6
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,34 +,8461,3579,8056,2436,1103,376,999,304,2168,1003,2490,587,999,110,235,22,62,34
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Rural,Not stated,69481,84633,63770,65368,0,0,0,0,0,0,0,0,0,0,0,0,63770,65368
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,All ages,162687,189641,157813,162638,22124,24152,24026,25350,43127,45602,30501,30232,14259,13887,9673,8959,14103,14456
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,Less than 10,3409,5311,3333,4642,1,8,3,32,354,1335,1340,1488,838,909,763,819,34,51
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,10-11,367,2288,336,1818,2,14,6,70,82,521,154,460,42,323,46,408,4,22
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,12-13,514,8904,437,6990,3,98,16,595,122,2412,134,1897,69,1039,89,890,4,59
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,14-15,2118,28289,1853,22881,28,1029,129,2846,574,7466,478,5876,249,3120,380,2390,15,154
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,16-17,5418,35880,5058,31112,405,5170,710,5631,1785,10069,1140,6129,506,2482,479,1402,33,229
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,18-19,18404,48150,17639,42889,2111,8793,2834,8298,5480,12889,3719,7755,1874,3204,1536,1624,85,326
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,20-21,42966,27443,41517,23579,5024,4439,6655,4709,12241,6761,9485,4489,4443,1929,3395,1077,274,175
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,22-23,26311,8361,25901,7751,5032,2370,4749,1635,7970,2060,5045,1056,1950,400,996,156,159,74
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,24-25,24959,4923,24553,4405,3903,1219,4053,880,7714,1175,5058,647,2364,309,1291,127,170,48
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,26-27,10181,1677,10087,1575,2487,578,2011,323,3024,380,1563,177,697,69,239,29,66,19
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,28-29,6708,857,6626,790,1674,254,1459,169,1820,214,975,88,468,44,191,14,39,7
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,30-31,4526,572,4451,480,795,88,868,92,1211,137,810,103,535,36,202,16,30,8
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,32-33,1250,141,1235,130,351,36,280,24,297,43,200,16,74,9,21,1,12,1
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,34 +,1666,438,1623,318,308,56,253,46,453,140,400,51,150,14,45,6,14,5
C-04_(ST)_Andhra_Pradesh,C1604ST,28,000,State - ANDHRA PRADESH,Urban,Not stated,13890,16407,13164,13278,0,0,0,0,0,0,0,0,0,0,0,0,13164,13278
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,All ages,182485,219783,173867,191563,19744,23705,24178,28340,50987,57919,38232,39200,18005,16982,11323,10182,11398,15235
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,Less than 10,1839,2979,1785,2710,0,5,14,21,294,912,755,945,376,492,346,332,0,3
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,10-11,416,858,402,791,3,16,5,32,112,344,185,246,58,97,39,53,0,3
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,12-13,383,1570,375,1422,6,40,15,137,151,671,139,333,40,141,24,98,0,2
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,14-15,1254,7992,1187,7164,64,451,123,963,446,2747,360,1822,111,724,82,457,1,0
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,16-17,4539,23096,4314,20903,462,2661,601,3505,1535,7753,981,4338,406,1643,324,987,5,16
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,18-19,20712,65558,19770,59610,2226,8099,3244,10516,6806,20106,4323,12791,1876,5102,1291,2944,4,52
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Total,20-21,45641,50068,43493,42465,4165,4937,6597,6773,13771,13250,10656,10052,4907,4507,3343,2907,54,39
