state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Graduate_share_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male
Uttarakhand,age_34_plus,05,5.1664,1.1756,2.0067,1.3114,1.8151,1.854,1.7138,1.525,1.0484,2.5137,1.9784,1.4746,1.7803,19.0126,20.6372,79.3628
Uttarakhand,age_below10,05,94.8272,0.6512,0.6709,0.6516,0.8721,0.709,0.7903,0.8254,0.6798,0.7747,0.8725,0.6618,0.774,0.0,72.328,27.672
Haryana,age_10_13,06,37.2104,0.6116,1.1361,0.9068,0.4662,1.0793,0.6208,0.5253,0.7799,1.1921,0.485,0.9195,0.7284,0.0,5.5138,94.4862
Haryana,age_14_17,06,4.059,5.6985,8.7549,7.3246,3.9192,8.9558,5.2492,4.6802,6.7429,9.7892,4.1672,7.6167,6.0914,0.0,5.5882,94.4118
Haryana,age_18_21,06,3.0971,46.5601,46.2855,46.7762,32.6056,46.9325,38.9958,37.9665,44.168,39.7951,33.7865,46.7768,39.7574,0.0,7.0819,92.9181
Haryana,age_22_25,06,2.8439,33.0104,27.7466,31.4054,38.6766,28.8326,34.9169,36.5882,32.1435,25.697,36.9119,29.9383,33.1738,17.0101,8.1311,91.8689
Haryana,age_26_29,06,2.8921,7.1259,6.1431,7.1368,15.6967,6.0277,12.2651,11.6593,7.9173,7.9003,15.7687,6.6318,11.1702,22.0876,10.3193,89.6807
Haryana,age_30_33,06,3.1998,2.2935,2.1603,2.1628,3.4319,2.7251,3.1389,2.6115,2.1882,2.7936,3.7958,2.0128,3.0004,19.4363,13.1748,86.8252
Haryana,age_34_plus,06,4.6373,0.7289,0.8925,0.7599,0.8651,1.2234,0.8125,0.6088,0.6421,1.1662,0.8541,0.6721,0.8561,15.6844,28.0653,71.9347
Haryana,age_below10,06,96.1477,0.8282,0.8953,0.8984,1.0156,0.9122,0.9643,0.9491,0.9382,0.9987,1.0235,0.9229,0.9689,0.0,73.209,26.791
