state_name,age_bracket,state_code,Below_primary_share_ST_female,CMPR_ST_female,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_dropout_ST_female,Dropout_rate_ST_female,Graduate_share_ST_female,Illiteracy_rate_ST_female,Literacy_rate_ST_female,Non_worker_dropout_ST_female,School_attendance_rate_ST_female
Meghalaya,age_14_17,17,18.1317,9.3737,5.7673,7.0796,11.5354,21.1956,0.0,9.0119,90.9881,9.6602,78.8044
Meghalaya,age_18_21,17,17.1021,37.0317,25.2285,7.5401,27.2662,43.554,0.0,12.9325,87.0675,16.2878,56.446
Meghalaya,age_22_25,17,20.648,63.8399,54.3007,,,,6.4628,16.9171,83.0829,,
Meghalaya,age_26_29,17,24.5186,75.804,71.6211,,,,10.6264,22.3982,77.6018,,
Meghalaya,age_30_33,17,26.7418,81.6849,81.0889,,,,10.4006,26.5405,73.4595,,
Meghalaya,age_34_plus,17,34.9029,69.2821,77.9178,,,,6.9204,45.3259,54.6741,,
Meghalaya,age_below10,17,93.2037,0.0,0.0,1.9345,1.2347,36.2712,0.0,80.5824,19.4176,35.0365,63.7288
Assam,age_10_13,18,29.0552,1.9997,1.435,4.8469,2.5839,12.4637,0.0,9.9016,90.0984,9.8798,87.5363
Assam,age_14_17,18,5.3725,8.7724,5.5675,7.7953,10.0993,23.6702,0.0,10.2763,89.7237,13.5709,76.3298
Assam,age_18_21,18,6.1189,41.4045,27.2573,7.205,25.6017,52.0684,0.0,15.4352,84.5648,26.4668,47.9316
Assam,age_22_25,18,7.4667,69.8185,55.9963,,,,4.1396,21.305,78.695,,
Assam,age_26_29,18,9.2737,81.5465,73.2272,,,,5.6818,29.2583,70.7417,,
Assam,age_30_33,18,11.3862,87.1529,84.2945,,,,4.6903,36.946,63.054,,
Assam,age_34_plus,18,21.6377,76.1258,83.8772,,,,2.9371,61.3428,38.6572,,
Assam,age_below10,18,92.6863,0.0,0.0,2.0818,1.0103,34.051,0.0,74.3308,25.6692,33.0407,65.949
West Bengal,age_10_13,19,42.715,2.1598,1.7066,1.8605,3.2354,18.4608,0.0,13.211,86.789,15.2254,81.5392
West Bengal,age_14_17,19,17.5953,12.9601,7.7105,3.3162,17.7037,41.052,0.0,18.77,81.23,23.3483,58.948
West Bengal,age_18_21,19,23.5698,57.5139,37.4738,3.4044,37.9846,72.861,0.0,30.3753,69.6247,34.8764,27.139
West Bengal,age_22_25,19,27.8609,78.5366,64.5937,,,,3.2581,40.7997,59.2003,,
West Bengal,age_26_29,19,31.3957,85.1905,79.1055,,,,5.2508,51.6267,48.3733,,
West Bengal,age_30_33,19,33.834,87.243,86.5227,,,,4.3754,59.9437,40.0563,,
West Bengal,age_34_plus,19,37.7302,67.8722,78.4008,,,,3.4281,80.6668,19.3332,,
West Bengal,age_below10,19,95.1717,0.0,0.0,0.7033,0.6629,39.5674,0.0,74.8954,25.1046,38.9045,60.4326
Jharkhand,age_10_13,20,46.7437,2.0852,1.6464,5.9893,4.6941,17.9631,0.0,16.027,83.973,13.269,82.0369
Jharkhand,age_14_17,20,10.2559,9.586,6.1587,7.8116,20.4291,36.1855,0.0,21.5879,78.4121,15.7564,63.8145
Jharkhand,age_18_21,20,9.8146,50.564,34.6776,5.878,44.587,67.3018,0.0,37.429,62.571,22.7148,32.6982
Jharkhand,age_22_25,20,11.1021,76.9528,66.3069,,,,6.2394,48.7494,51.2506,,
Jharkhand,age_26_29,20,12.3797,85.0744,79.8173,,,,10.0341,58.0936,41.9064,,
Jharkhand,age_30_33,20,12.9128,88.3324,87.0152,,,,9.3071,65.0058,34.9942,,
Jharkhand,age_34_plus,20,13.8062,71.2231,79.3241,,,,8.31,80.8167,19.1833,,
Jharkhand,age_below10,20,95.652,0.0,0.0,1.8565,1.378,43.9468,0.0,78.05,21.95,42.5688,56.0532
Odisha,age_10_13,21,36.3995,1.7861,1.3717,2.2996,7.0933,25.8581,0.0,19.7825,80.2175,18.7649,74.1419
Odisha,age_14_17,21,11.8823,8.2556,5.4,2.6424,34.9597,58.6077,0.0,28.9541,71.0459,23.6481,41.3923
Odisha,age_18_21,21,14.8322,48.1607,32.7825,1.7649,59.7523,86.9784,0.0,43.0424,56.9576,27.2261,13.0216
Odisha,age_22_25,21,16.729,77.6831,64.4462,,,,2.5926,50.7276,49.2724,,
Odisha,age_26_29,21,21.3823,85.755,79.6101,,,,3.7293,59.9892,40.0108,,
Odisha,age_30_33,21,26.9328,88.5479,87.735,,,,3.5484,68.1098,31.8902,,
Odisha,age_34_plus,21,35.1387,71.3067,80.1478,,,,2.1076,85.7161,14.2839,,
Odisha,age_below10,21,95.7246,0.0,0.0,1.0459,1.1597,38.3207,0.0,76.8274,23.1726,37.161,61.6793
Chhattisgarh,age_10_13,22,44.6221,1.4925,1.2293,5.3096,4.7009,14.7331,0.0,12.4184,87.5816,10.0322,85.2669
Chhattisgarh,age_14_17,22,7.6582,5.4374,3.7268,7.2012,25.0014,36.9788,0.0,16.9365,83.0635,11.9774,63.0212
Chhattisgarh,age_18_21,22,8.1242,43.3019,29.4797,4.712,55.6495,72.1961,0.0,25.9628,74.0372,16.5466,27.8039
Chhattisgarh,age_22_25,22,9.461,79.6908,69.1392,,,,3.1235,35.2145,64.7855,,
Chhattisgarh,age_26_29,22,12.0672,89.0305,85.1702,,,,6.3214,47.7245,52.2755,,
Chhattisgarh,age_30_33,22,17.0986,91.2871,91.2982,,,,5.7918,59.0488,40.9512,,
Chhattisgarh,age_34_plus,22,27.6397,73.4368,81.1852,,,,4.2015,82.8354,17.1646,,
Chhattisgarh,age_below10,22,97.519,0.0,0.0,1.435,0.7897,34.7318,0.0,76.5921,23.4079,33.9421,65.2682
Madhya Pradesh,age_10_13,23,44.7446,2.549,2.1395,3.9265,6.0012,18.6606,0.0,16.6826,83.3174,12.6594,81.3394
Madhya Pradesh,age_14_17,23,12.7754,10.5103,7.3435,5.0159,30.5281,46.3177,0.0,25.6115,74.3885,15.7896,53.6823
Madhya Pradesh,age_18_21,23,12.5767,59.6918,44.6482,3.7702,60.2478,78.2306,0.0,43.2532,56.7468,17.9828,21.7694
Madhya Pradesh,age_22_25,23,14.4608,89.1387,81.3538,,,,3.3527,56.5154,43.4846,,
Madhya Pradesh,age_26_29,23,18.0069,94.7155,91.7455,,,,6.0612,68.5082,31.4918,,
Madhya Pradesh,age_30_33,23,21.3305,95.1372,94.658,,,,5.5766,75.6317,24.3683,,
Madhya Pradesh,age_34_plus,23,26.9904,79.3714,85.0183,,,,4.1403,89.6784,10.3216,,
Madhya Pradesh,age_below10,23,95.9703,0.0,0.0,1.3864,1.1485,39.2346,0.0,77.1592,22.8408,38.0862,60.7654
Gujarat,age_10_13,24,27.541,3.0974,2.467,2.5148,5.7694,19.8488,0.0,12.1247,87.8753,14.0793,80.1512
Gujarat,age_14_17,24,9.7564,11.8965,8.2067,3.9263,25.9613,46.1371,0.0,16.8139,83.1861,20.1758,53.8629
Gujarat,age_18_21,24,11.6035,54.2675,40.4143,4.5098,48.2021,72.9421,0.0,27.0884,72.9116,24.74,27.0579
Gujarat,age_22_25,24,15.088,83.8177,74.25,,,,4.9552,35.926,64.074,,
Gujarat,age_26_29,24,18.4106,91.7173,87.6089,,,,7.0477,43.2701,56.7299,,
Gujarat,age_30_33,24,21.7114,93.2286,92.2747,,,,5.8482,50.8265,49.1735,,
Gujarat,age_34_plus,24,31.0589,78.7691,84.3993,,,,4.4789,74.7836,25.2164,,
Gujarat,age_below10,24,93.4668,0.0,0.0,1.0906,1.1359,35.8688,0.0,75.4618,24.5382,34.7329,64.1312
Daman & Diu,age_10_13,25,25.4296,1.6216,0.9973,1.0101,1.3468,5.8923,0.0,2.0202,97.9798,4.5455,94.1077
Daman & Diu,age_14_17,25,3.8062,5.6893,3.2096,1.8242,14.9254,29.6849,0.0,4.1459,95.8541,14.7595,70.3151
Daman & Diu,age_18_21,25,8.4459,40.0862,24.3553,5.2308,30.4615,68.6154,0.0,8.9231,91.0769,38.1538,31.3846
