state_name,age_bracket,state_code,Below_primary_share_SC_male,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_male,Child_labour_dropout_SC_male,Dropout_rate_SC_male,Graduate_share_SC_male,Illiteracy_rate_SC_male,Literacy_rate_SC_male,School_attendance_rate_SC_male
West Bengal,age_22_25,19,18.7843,46.1,65.8399,,,,6.6972,13.1671,86.8329,
West Bengal,age_26_29,19,22.2218,70.8245,81.0296,,,,8.6613,18.5498,81.4502,
West Bengal,age_30_33,19,25.0352,86.6732,89.8608,,,,8.1601,23.3048,76.6952,
West Bengal,age_34_plus,19,33.2234,93.3656,83.5361,,,,6.1037,37.0376,62.9624,
West Bengal,age_below10,19,94.0086,0.0,0.0,0.7253,0.5217,33.3666,0.0,72.0313,27.9687,66.6334
Jharkhand,age_10_13,20,45.1192,1.3302,1.8023,3.4645,2.9291,14.6972,0.0,11.8079,88.1921,85.3028
Jharkhand,age_14_17,20,8.5022,3.2458,7.6241,5.7062,18.3935,31.908,0.0,13.8599,86.1401,68.092
Jharkhand,age_18_21,20,7.4112,22.4065,45.0923,6.2909,41.8859,55.2445,0.0,18.3398,81.6602,44.7555
Jharkhand,age_22_25,20,8.9627,67.5656,79.1273,,,,6.6714,24.4392,75.5608,
Jharkhand,age_26_29,20,10.4732,84.6777,89.7434,,,,9.8035,31.8331,68.1669,
Jharkhand,age_30_33,20,11.0914,93.3808,94.0773,,,,8.5375,37.4888,62.5112,
Jharkhand,age_34_plus,20,14.0655,91.8002,85.1314,,,,7.8405,54.7902,45.2098,
Jharkhand,age_below10,20,95.2,0.0,0.0,1.1479,0.8495,42.2112,0.0,76.5022,23.4978,57.7888
Odisha,age_10_13,21,27.24,0.8597,1.2708,1.6575,2.508,11.9142,0.0,5.929,94.071,88.0858
Odisha,age_14_17,21,6.349,1.9496,4.3838,2.6223,22.3517,43.7193,0.0,6.6514,93.3486,56.2807
Odisha,age_18_21,21,7.7392,8.9953,26.0439,2.6271,50.8682,74.4084,0.0,8.2215,91.7785,25.5916
Odisha,age_22_25,21,8.7643,36.7574,57.1772,,,,3.9618,9.891,90.109,
Odisha,age_26_29,21,11.3256,66.2705,77.0556,,,,6.2261,13.4346,86.5654,
Odisha,age_30_33,21,15.0521,87.2713,89.4877,,,,8.3108,17.7233,82.2767,
Odisha,age_34_plus,21,30.2793,92.3298,84.5799,,,,4.7453,34.8872,65.1128,
Odisha,age_below10,21,95.087,0.0,0.0,0.7589,0.4784,30.5353,0.0,74.0212,25.9788,69.4647
Chhattisgarh,age_10_13,22,44.1776,0.9487,1.2291,3.1659,1.8165,7.6514,0.0,4.8973,95.1027,92.3486
Chhattisgarh,age_14_17,22,7.106,1.9092,3.5858,6.0949,15.4224,25.9443,0.0,5.1417,94.8583,74.0557
Chhattisgarh,age_18_21,22,6.801,12.9662,29.0106,6.1736,42.7389,55.3199,0.0,6.3161,93.6839,44.6801
Chhattisgarh,age_22_25,22,6.7088,54.5499,67.5297,,,,5.4102,7.4985,92.5015,
Chhattisgarh,age_26_29,22,7.586,79.8873,84.2386,,,,11.7538,11.0924,88.9076,
Chhattisgarh,age_30_33,22,9.9677,91.6409,91.4527,,,,13.5215,14.7169,85.2831,
Chhattisgarh,age_34_plus,22,24.8537,91.5135,82.7394,,,,9.2338,35.1049,64.8951,
Chhattisgarh,age_below10,22,97.4969,0.0,0.0,0.8314,0.3501,32.8529,0.0,74.4703,25.5297,67.1471
Madhya Pradesh,age_10_13,23,39.6737,1.5287,2.0638,2.2478,2.2225,8.3195,0.0,6.2552,93.7448,91.6805
Madhya Pradesh,age_14_17,23,7.478,3.5448,6.6695,4.4454,19.3035,28.9038,0.0,7.1525,92.8475,71.0962
Madhya Pradesh,age_18_21,23,6.881,20.2576,37.1847,5.2044,48.7806,58.9184,0.0,9.5065,90.4935,41.0816
Madhya Pradesh,age_22_25,23,6.5693,60.8604,73.0031,,,,6.1507,12.0104,87.9896,
Madhya Pradesh,age_26_29,23,7.9772,80.0472,86.656,,,,10.0696,17.8695,82.1305,
Madhya Pradesh,age_30_33,23,9.9177,90.035,92.5309,,,,9.5235,23.2563,76.7437,
Madhya Pradesh,age_34_plus,23,17.9819,89.5403,84.139,,,,7.7576,43.1663,56.8337,
Madhya Pradesh,age_below10,23,95.8226,0.0,0.0,0.8365,0.4923,33.6422,0.0,73.7839,26.2161,66.3578
Gujarat,age_10_13,24,24.4344,1.728,2.3034,1.5082,2.5671,7.8029,0.0,3.3157,96.6843,92.1971
Gujarat,age_14_17,24,4.4573,3.3975,5.6553,3.1415,18.2553,27.9603,0.0,3.2518,96.7482,72.0397
Gujarat,age_18_21,24,4.7764,13.1495,24.2326,4.7893,44.5426,55.8546,0.0,4.443,95.557,44.1454
Gujarat,age_22_25,24,5.6851,44.1531,58.2129,,,,8.6565,5.507,94.493,
Gujarat,age_26_29,24,6.8846,70.3699,79.0832,,,,12.4279,6.6777,93.3223,
Gujarat,age_30_33,24,8.5108,84.9128,88.768,,,,11.0247,8.9895,91.0105,
Gujarat,age_34_plus,24,19.7215,89.9829,83.9369,,,,9.8784,22.2563,77.7437,
Gujarat,age_below10,24,94.1102,0.0,0.0,0.7466,0.6503,26.9353,0.0,70.7756,29.2244,73.0647
Daman & Diu,age_10_13,25,17.8423,0.9772,0.8591,1.6327,0.8163,2.8571,0.0,1.6327,98.3673,97.1429
Daman & Diu,age_14_17,25,1.1194,1.4085,2.7322,2.1818,6.9091,11.2727,0.0,2.5455,97.4545,88.7273
Daman & Diu,age_18_21,25,0.7874,4.9123,13.9405,6.1538,24.6154,30.7692,0.0,2.3077,97.6923,69.2308
Daman & Diu,age_22_25,25,0.885,20.9486,42.2222,,,,15.9292,2.5862,97.4138,
Daman & Diu,age_26_29,25,1.9868,49.1803,65.0424,,,,20.8609,0.6579,99.3421,
Daman & Diu,age_30_33,25,2.8881,83.8596,87.3921,,,,14.0794,2.807,97.193,
Daman & Diu,age_34_plus,25,8.0416,91.3201,80.1551,,,,8.6093,4.4304,95.5696,
Daman & Diu,age_below10,25,94.6565,0.0,0.0,1.2552,0.0,25.1046,0.0,71.2719,28.7281,74.8954
Dadra & Nagar Haveli,age_10_13,26,22.2689,1.2903,1.6529,0.8163,2.0408,8.1633,0.0,2.8571,97.1429,91.8367
Dadra & Nagar Haveli,age_14_17,26,2.2026,0.0,3.5294,4.7619,9.5238,14.2857,0.0,1.7316,98.2684,85.7143
Dadra & Nagar Haveli,age_18_21,26,5.4422,15.7729,33.7058,12.9032,43.871,49.6774,0.0,5.1613,94.8387,50.3226
Dadra & Nagar Haveli,age_22_25,26,3.3079,43.5435,62.963,,,,11.4504,4.8426,95.1574,
Dadra & Nagar Haveli,age_26_29,26,2.8011,74.5704,82.7184,,,,15.1261,4.2895,95.7105,
Dadra & Nagar Haveli,age_30_33,26,2.0619,90.1961,91.5619,,,,16.1512,4.902,95.098,
Dadra & Nagar Haveli,age_34_plus,26,9.8712,95.3333,87.871,,,,10.1931,11.2381,88.7619,
Dadra & Nagar Haveli,age_below10,26,92.9936,0.0,0.0,0.3717,0.7435,25.2788,0.0,72.1631,27.8369,74.7212
Maharashtra,age_10_13,27,33.234,2.5622,3.1122,2.083,1.8756,6.0953,0.0,3.7332,96.2668,93.9047
Maharashtra,age_14_17,27,4.3428,3.7773,6.897,3.4771,12.8808,19.5576,0.0,3.5574,96.4426,80.4424
Maharashtra,age_18_21,27,4.6113,10.5204,28.7865,5.1543,34.2171,43.3178,0.0,4.1489,95.8511,56.6822
Maharashtra,age_22_25,27,4.9014,39.182,57.5101,,,,10.1718,4.8393,95.1607,
Maharashtra,age_26_29,27,6.4746,67.2999,76.1813,,,,15.7948,6.4478,93.5522,
Maharashtra,age_30_33,27,8.5405,87.1955,88.1332,,,,15.0422,8.5711,91.4289,
Maharashtra,age_34_plus,27,21.9219,92.2963,82.3643,,,,11.6533,23.5166,76.4834,
Maharashtra,age_below10,27,95.7323,0.0,0.0,1.2989,0.7658,28.8528,0.0,72.9717,27.0283,71.1472
Andhra Pradesh,age_10_13,28,21.3498,0.9752,1.5027,1.5853,2.993,7.3537,0.0,4.427,95.573,92.6463
Andhra Pradesh,age_14_17,28,2.4601,1.9388,5.2425,3.0775,19.365,25.2178,0.0,5.6438,94.3562,74.7822
Andhra Pradesh,age_18_21,28,2.8227,10.4909,30.7459,4.3564,41.5548,48.9561,0.0,8.482,91.518,51.0439
Andhra Pradesh,age_22_25,28,3.5366,47.8096,63.8566,,,,16.8609,13.0211,86.9789,
Andhra Pradesh,age_26_29,28,5.1923,76.1037,82.0764,,,,19.4527,22.1346,77.8654,
Andhra Pradesh,age_30_33,28,6.4916,91.1862,90.072,,,,15.2798,28.8922,71.1078,
Andhra Pradesh,age_34_plus,28,12.0386,92.0172,80.9584,,,,11.6958,54.2374,45.7626,
Andhra Pradesh,age_below10,28,92.0808,0.0,0.0,0.8675,0.7103,25.0786,0.0,72.1312,27.8688,74.9214
Karnataka,age_10_13,29,28.7738,1.1738,1.8972,1.9909,3.3928,9.1511,0.0,5.0455,94.9545,90.8489
Karnataka,age_14_17,29,3.751,2.3625,6.1331,3.651,23.0745,31.016,0.0,6.5142,93.4858,68.984
Karnataka,age_18_21,29,4.9347,9.3847,28.896,5.0277,50.1635,58.9401,0.0,9.3423,90.6577,41.0599
Karnataka,age_22_25,29,6.169,38.38,58.2423,,,,10.3426,11.9265,88.0735,
Karnataka,age_26_29,29,8.3149,66.0372,76.1736,,,,13.2619,18.2969,81.7031,
Karnataka,age_30_33,29,10.1585,86.3185,87.5633,,,,12.8606,24.7454,75.2546,
Karnataka,age_34_plus,29,17.6036,92.8311,81.2731,,,,11.3125,48.0028,51.9972,
Karnataka,age_below10,29,95.3619,0.0,0.0,1.0563,0.7559,33.6504,0.0,73.0216,26.9784,66.3496
Goa,age_10_13,30,36.0939,1.5444,1.7493,4.1112,1.451,5.0786,0.0,2.1765,97.8235,94.9214
Goa,age_14_17,30,3.0303,2.6814,5.6126,5.8126,7.9478,16.6074,0.0,2.1352,97.8648,83.3926
Goa,age_18_21,30,3.4261,9.7182,20.6388,10.7216,21.4433,35.4639,0.0,3.7113,96.2887,64.5361
Goa,age_22_25,30,2.9529,28.0569,41.6309,,,,9.8164,4.0582,95.9418,
Goa,age_26_29,30,3.6087,51.7007,61.412,,,,12.7506,5.6732,94.3268,
Goa,age_30_33,30,4.4007,72.5835,77.7826,,,,10.206,6.1511,93.8489,
Goa,age_34_plus,30,16.6369,90.9684,79.0541,,,,8.1529,17.3684,82.6316,
Goa,age_below10,30,94.6494,0.0,0.0,2.8376,1.272,28.6693,0.0,72.1337,27.8663,71.3307
Kerala,age_10_13,32,22.1045,0.5518,0.933,0.7337,0.542,2.7653,0.0,1.2631,98.7369,97.2347
Kerala,age_14_17,32,4.6324,1.2051,3.094,1.6329,5.5865,11.4717,0.0,0.8317,99.1683,88.5283
Kerala,age_18_21,32,4.2815,3.7833,15.5396,2.4446,28.4851,43.8031,0.0,0.8477,99.1523,56.1969
Kerala,age_22_25,32,1.882,15.8221,38.411,,,,9.8001,1.1309,98.8691,
Kerala,age_26_29,32,2.422,41.5451,60.4802,,,,9.1915,1.6235,98.3765,
Kerala,age_30_33,32,3.7003,73.2968,79.6996,,,,5.6463,2.1821,97.8179,
Kerala,age_34_plus,32,18.3868,91.8036,77.8409,,,,3.6539,13.2246,86.7754,
Kerala,age_below10,32,95.8659,0.0,0.0,0.4923,0.2229,22.4454,0.0,70.856,29.144,77.5546
Tamil Nadu,age_10_13,33,11.6077,0.6885,1.2892,1.5497,1.3693,5.1247,0.0,2.2222,97.7778,94.8753
Tamil Nadu,age_14_17,33,0.9388,1.775,4.7686,2.5711,13.7605,23.2778,0.0,1.9658,98.0342,76.7222
Tamil Nadu,age_18_21,33,1.3701,7.3791,22.1718,2.9934,38.9782,54.2825,0.0,2.8477,97.1523,45.7175
