state_name,age_bracket,state_code,Below_primary_share_total_female,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female,Graduate_share_total_female,Illiteracy_rate_total_female,Literacy_rate_total_female
NCT of Delhi,age_34_plus,07,3.3059,0.3085,0.1425,0.3352,0.3539,0.1674,0.7399,0.2053,0.093,0.2091,0.7592,0.1083,0.2819,31.1766,32.305,67.695
NCT of Delhi,age_below10,07,95.9089,1.9857,2.1978,1.2739,2.1026,2.8585,2.0153,1.5832,1.9076,2.1037,2.0166,2.089,2.0949,0.0,72.9277,27.0723
Rajasthan,age_10_13,08,37.8789,7.8827,7.8159,9.3795,7.9901,8.8874,8.5549,2.3426,4.3458,6.7843,6.723,6.2718,7.3504,0.0,14.5437,85.4563
Rajasthan,age_14_17,08,8.3648,32.6,33.1885,33.9939,32.6615,34.5517,32.5066,20.1407,29.0662,30.1099,28.11,32.3537,31.4955,0.0,17.4383,82.5617
Rajasthan,age_18_21,08,7.3129,47.7575,44.2469,45.2825,44.7258,44.7989,45.1129,53.4067,50.5277,44.658,42.7111,47.3729,45.8996,0.0,26.5574,73.4426
Rajasthan,age_22_25,08,7.7881,3.6416,3.9129,3.2775,5.9466,3.6619,5.0987,12.6816,6.8884,8.0574,11.3599,4.7794,6.069,13.9992,36.6986,63.3014
Rajasthan,age_26_29,08,9.5492,0.4207,0.4789,0.3601,0.8746,0.4242,0.9564,1.8108,0.8221,1.2045,3.0888,0.5494,0.9251,18.2016,48.4847,51.5153
Rajasthan,age_30_33,08,11.4096,0.1264,0.122,0.1071,0.239,0.1419,0.2336,0.3303,0.1486,0.2387,0.6786,0.118,0.2029,15.6425,57.8985,42.1015
Rajasthan,age_34_plus,08,13.7454,0.0611,0.0513,0.0533,0.1015,0.0935,0.0889,0.0934,0.0477,0.1184,0.2111,0.0435,0.0923,12.1994,75.5744,24.4256
Rajasthan,age_below10,08,93.8373,4.3416,4.3895,4.691,3.8144,4.2721,4.3695,1.7926,2.3508,3.3515,3.5192,3.1825,3.7788,0.0,76.3207,23.6793
Uttar Pradesh,age_10_13,09,38.5705,4.4416,3.3205,4.7572,3.688,4.5602,3.9562,1.9152,2.5689,3.4914,3.0392,3.0986,3.6887,0.0,13.9108,86.0892
Uttar Pradesh,age_14_17,09,5.3469,26.772,23.5683,26.4136,22.558,27.841,23.8014,16.2205,21.5971,23.5413,19.7977,23.617,24.1054,0.0,15.475,84.525
Uttar Pradesh,age_18_21,09,3.1334,54.2933,50.1359,53.4391,54.2409,52.3676,52.4889,56.5039,56.4196,53.0228,49.8534,54.9486,52.9621,0.0,22.0109,77.9891
Uttar Pradesh,age_22_25,09,3.1177,4.6992,5.7764,5.3493,7.5527,5.2324,7.887,10.6083,7.1573,7.8472,12.4374,6.2856,7.4065,17.924,31.878,68.122
Uttar Pradesh,age_26_29,09,3.3441,0.6966,0.8505,0.7553,1.2188,0.8059,1.7477,1.6097,0.964,1.3012,3.4786,0.8654,1.2791,21.7113,44.3532,55.6468
Uttar Pradesh,age_30_33,09,3.9813,0.2266,0.2581,0.2729,0.3746,0.2748,0.5238,0.3514,0.217,0.3312,0.9908,0.2251,0.3389,17.5822,53.1566,46.8434
Uttar Pradesh,age_34_plus,09,5.117,0.1296,0.1093,0.1435,0.1659,0.156,0.2001,0.0916,0.0645,0.1368,0.3084,0.0847,0.1415,12.8825,69.6079,30.3921
Uttar Pradesh,age_below10,09,92.996,3.1774,2.2672,3.1752,2.7348,3.1105,2.8081,1.883,2.1497,2.5962,2.2564,2.2539,2.7306,0.0,75.2538,24.7462
Bihar,age_10_13,10,46.9828,3.0182,2.1846,2.9354,3.7363,2.8513,2.9366,1.3201,1.7405,2.2992,2.47,1.9607,2.4421,0.0,19.1283,80.8717
Bihar,age_14_17,10,9.5151,28.4777,26.6296,26.5743,28.8502,29.0049,27.0845,19.9015,24.0703,26.1657,23.4547,25.3176,26.6766,0.0,22.2654,77.7346
Bihar,age_18_21,10,8.2174,56.4663,57.1583,56.8512,54.2293,56.692,55.9825,60.7498,59.1388,57.5129,54.6542,58.8754,57.374,0.0,34.785,65.215
Bihar,age_22_25,10,10.1422,4.9322,4.6439,5.9351,5.2282,4.6045,6.1385,8.7285,5.9181,5.8254,9.6021,5.2852,5.6186,8.6929,45.3047,54.6953
Bihar,age_26_29,10,11.5388,0.6587,0.6022,0.8229,0.8377,0.6164,1.0367,1.251,0.7585,0.8429,2.2155,0.663,0.8264,9.2822,52.3995,47.6005
Bihar,age_30_33,10,12.2532,0.2502,0.1732,0.2946,0.2975,0.2246,0.3641,0.2623,0.1819,0.237,0.7257,0.1736,0.2473,7.5859,56.6406,43.3594
Bihar,age_34_plus,10,13.0368,0.1361,0.0702,0.1415,0.1627,0.1347,0.1595,0.0634,0.0581,0.1087,0.2314,0.0672,0.1163,6.5282,71.6961,28.3039
