state_name,age_bracket,state_code,Below_primary_share_ST_male,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_male,Child_labour_dropout_ST_male,Dropout_rate_ST_male,Graduate_share_ST_male,Illiteracy_rate_ST_male,Literacy_rate_ST_male,School_attendance_rate_ST_male
Jharkhand,age_below10,20,95.1988,0.0,0.0,1.8469,1.2189,42.17,0.0,77.065,22.935,57.83
Odisha,age_10_13,21,35.9697,0.9579,1.3717,2.5119,5.8833,21.9981,0.0,15.0866,84.9134,78.0019
Odisha,age_14_17,21,10.5374,2.5167,5.4,3.6229,34.5874,53.0907,0.0,17.0779,82.9221,46.9093
Odisha,age_18_21,21,11.5996,15.7472,32.7825,3.14,64.8285,79.7289,0.0,20.9651,79.0349,20.2711
Odisha,age_22_25,21,13.0418,50.2304,64.4462,,,,2.2204,24.6463,75.3537,
Odisha,age_26_29,21,16.2012,73.4683,79.6101,,,,3.2545,31.3822,68.6178,
Odisha,age_30_33,21,19.829,86.8775,87.735,,,,4.2399,37.627,62.373,
Odisha,age_34_plus,21,31.8684,89.3594,80.1478,,,,3.2572,54.9336,45.0664,
Odisha,age_below10,21,95.4293,0.0,0.0,0.9949,1.0413,37.3053,0.0,76.8093,23.1907,62.6947
Chhattisgarh,age_10_13,22,46.1136,0.9693,1.2293,5.0422,4.0219,12.6071,0.0,10.0048,89.9952,87.3929
Chhattisgarh,age_14_17,22,7.9667,2.034,3.7268,7.7618,25.0687,33.95,0.0,11.2254,88.7746,66.05
Chhattisgarh,age_18_21,22,7.527,14.8823,29.4797,6.5934,56.329,64.2505,0.0,13.5661,86.4339,35.7495
Chhattisgarh,age_22_25,22,8.1896,58.4684,69.1392,,,,2.871,16.7675,83.2325,
Chhattisgarh,age_26_29,22,10.2093,81.3108,85.1702,,,,6.523,24.2827,75.7173,
Chhattisgarh,age_30_33,22,12.7686,91.3099,91.2982,,,,8.3208,30.5641,69.4359,
Chhattisgarh,age_34_plus,22,26.2729,89.304,81.1852,,,,6.2112,50.1787,49.8213,
Chhattisgarh,age_below10,22,97.2706,0.0,0.0,1.359,0.7162,33.4864,0.0,75.8187,24.1813,66.5136
Madhya Pradesh,age_10_13,23,45.9549,1.7377,2.1395,3.9359,6.0363,18.148,0.0,15.4682,84.5318,81.852
Madhya Pradesh,age_14_17,23,12.8552,4.4319,7.3435,5.863,31.9738,43.3158,0.0,18.9803,81.0197,56.6842
