state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_buddhist_male,CMPR_christian_female,CMPR_christian_male,CMPR_hindu_female,CMPR_hindu_male,CMPR_jain_female,CMPR_jain_male,CMPR_muslim_female,CMPR_muslim_male,CMPR_sikh_female,CMPR_sikh_male,Illiteracy_rate_buddhist_female,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_female,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_female,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_female,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_female,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_female,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_female,Literacy_rate_buddhist_male,Literacy_rate_christian_female,Literacy_rate_christian_male,Literacy_rate_hindu_female,Literacy_rate_hindu_male,Literacy_rate_jain_female,Literacy_rate_jain_male,Literacy_rate_muslim_female,Literacy_rate_muslim_male,Literacy_rate_sikh_female,Literacy_rate_sikh_male,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Himachal Pradesh,age_26_29,02,4.9919,3.8298,2.4343,0.0,5.3979,1.648,9.5867,17.9201,8.0161,23.3815,3.367,23.1379,6.7164,31.528,2.107,13.1906,5.2984,25.7938,10.1042,5.6512,15.7706,8.1365,8.3767,4.2197,4.8193,5.9524,35.4596,18.3478,4.598,2.879,89.8958,94.3488,84.2294,91.8635,91.6233,95.7803,95.1807,94.0476,64.5404,81.6522,95.402,97.121,10.5636,13.617,13.1201,1.2658,17.1566,12.4689
Himachal Pradesh,age_30_33,02,7.2194,3.5,3.6468,0.0,6.3028,1.5272,3.7398,9.9518,2.0118,10.1445,0.5882,6.9207,1.8657,6.1896,0.5993,4.1289,0.8607,8.6166,15.5958,8.43,19.1919,10.5754,12.6889,5.2358,3.4483,3.9474,44.1714,22.4023,6.2267,4.47,84.4042,91.57,80.8081,89.4246,87.3111,94.7642,96.5517,96.0526,55.8286,77.5977,93.7733,95.53,13.045,13.5,15.574,3.5714,18.6268,15.7371
Himachal Pradesh,age_34_plus,02,20.928,6.2225,8.8729,0.9494,10.9745,5.1259,1.8469,6.1434,0.8047,3.6127,0.2064,1.8403,0.3731,2.3211,0.2305,1.6478,0.3201,2.4199,53.5319,26.351,33.3659,17.0346,45.1982,18.3489,7.3314,4.557,71.5918,42.5967,34.2932,13.0302,46.4681,73.649,66.6341,82.9654,54.8018,81.6511,92.6686,95.443,28.4082,57.4033,65.7068,86.9698,12.9163,11.7862,16.9484,5.0633,15.5575,16.8451
Himachal Pradesh,age_below10,02,96.3998,96.2329,94.9265,95.2381,96.0959,95.9602,0.6582,0.5837,0.9285,0.5202,1.0929,1.0181,1.4925,0.9671,1.2447,0.9553,0.8694,1.1004,68.6515,66.8841,70.8292,72.243,71.2643,70.8139,69.7842,71.5976,76.9744,74.24,70.2972,69.3053,31.3485,33.1159,29.1708,27.757,28.7357,29.1861,30.2158,28.4024,23.0256,25.76,29.7028,30.6947,0.0,0.0,0.0,0.0,0.0,0.0
Punjab,age_10_13,03,26.4545,38.6505,31.7643,22.3284,40.0747,32.4661,0.7246,0.2739,0.4645,0.1443,0.8689,0.2662,0.233,0.0912,1.3412,0.3387,0.4031,0.1488,4.6794,4.6154,10.904,9.6274,8.6771,7.5119,2.6227,2.2996,18.2663,15.1216,6.4289,5.8014,95.3206,95.3846,89.096,90.3726,91.3229,92.4881,97.3773,97.7004,81.7337,84.8784,93.5711,94.1986,9.5455,6.9544,9.4377,10.3388,6.312,8.2768
Punjab,age_14_17,03,1.1997,4.9704,3.0224,0.7955,5.7394,2.8617,7.6965,1.4442,7.1892,1.1712,9.2111,1.9499,3.326,0.4714,13.6202,2.9725,6.8654,1.2348,3.8715,4.2705,14.6869,12.8494,8.3081,7.7352,2.179,2.2354,19.8071,17.9172,7.2863,6.9586,96.1285,95.7295,85.3131,87.1506,91.6919,92.2648,97.821,97.7646,80.1929,82.0828,92.7137,93.0414,44.7301,35.92,39.8106,40.0955,36.4355,39.2202
Punjab,age_18_21,03,1.5748,3.3395,1.7414,0.2899,3.6917,1.7143,43.4892,20.9288,49.2434,27.832,43.6706,23.2509,39.5523,10.0905,49.1167,31.8511,46.9337,25.9091,5.0822,4.824,18.7252,16.7726,10.0705,9.2749,2.5424,2.5671,23.5216,21.4544,8.7743,8.6895,94.9178,95.176,81.2748,83.2274,89.9295,90.7251,97.4576,97.4329,76.4784,78.5456,91.2257,91.3105,18.2677,19.0926,13.9884,2.029,20.4914,13.2763
Punjab,age_22_25,03,1.308,2.68,1.4271,0.3571,3.4,1.3293,22.332,35.9064,19.7617,39.2138,22.8138,37.4675,34.3973,47.1067,16.1999,36.6539,22.3979,39.6761,6.5974,5.5371,25.8504,18.9724,12.7802,9.7554,2.439,1.9286,29.0699,23.3386,12.5851,10.7594,93.4026,94.4629,74.1496,81.0276,87.2198,90.2446,97.561,98.0714,70.9301,76.6614,87.4149,89.2406,16.5468,17.2073,12.9597,2.0238,19.1568,13.1811
Punjab,age_26_29,03,2.0437,2.8014,1.4607,0.2186,3.9474,1.3446,5.4567,18.501,4.6782,12.9637,4.8974,18.9264,5.3739,25.6026,3.0361,11.2555,4.649,14.6103,9.2131,7.8788,34.7284,22.4905,17.272,11.5085,3.277,2.1109,38.6529,27.1366,19.048,14.1504,90.7869,92.1212,65.2716,77.5095,82.728,88.4915,96.723,97.8891,61.3471,72.8634,80.952,85.8496,18.8865,16.7151,13.3082,1.9126,18.608,14.9253
Punjab,age_30_33,03,2.2439,3.4929,1.8084,0.2281,4.7346,1.8662,1.1748,7.8436,1.1064,4.6259,0.831,5.5353,0.7062,4.7145,0.7579,4.3471,0.9644,4.7938,16.3948,9.3005,46.3348,29.2922,22.5988,13.804,3.7322,3.0601,49.7379,31.4192,27.2607,19.0569,83.6052,90.6995,53.6652,70.7078,77.4012,86.196,96.2678,96.9399,50.2621,68.5808,72.7393,80.9431,17.3659,15.7105,13.3269,2.8506,17.6139,16.0859
