state_name,age_bracket,state_code,Below_primary_share_total_female,Below_primary_share_total_male,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male,Graduate_share_total_female,Graduate_share_total_male,Illiteracy_rate_total_female,Illiteracy_rate_total_male,Literacy_rate_total_female,Literacy_rate_total_male
Himachal Pradesh,age_26_29,02,2.4994,2.4831,2.9215,18.5424,1.6891,12.912,2.5908,17.055,4.8134,25.2307,1.549,12.057,4.9971,24.4859,4.8909,29.1463,2.0613,20.1649,3.7993,18.7666,10.679,29.1156,1.4341,15.2412,3.6388,23.3542,20.5995,18.0977,8.9247,4.5956,91.0753,95.4044
Himachal Pradesh,age_30_33,02,3.6921,3.1228,0.8819,6.4676,0.5278,5.0071,0.6202,5.655,1.1652,7.5496,0.5869,5.9416,1.148,7.466,0.7301,7.2295,0.338,5.1741,0.6536,6.7642,2.3685,8.5751,0.3156,4.6089,0.7059,7.1214,14.9233,16.8073,13.2426,5.6641,86.7574,94.3359
Himachal Pradesh,age_34_plus,02,8.9473,7.2138,0.4286,2.5579,0.2927,2.503,0.3115,2.0141,0.3745,1.7595,0.4099,3.5143,0.4373,1.8811,0.1921,1.3746,0.118,1.3641,0.2789,3.0464,0.7244,1.7734,0.144,1.648,0.2859,1.9819,7.5467,11.478,45.541,18.8096,54.459,81.1904
Himachal Pradesh,age_below10,02,94.9749,95.0348,1.4632,0.9346,1.3553,0.9368,1.3967,0.8899,1.3178,1.3627,2.1043,0.9071,1.3432,1.0287,0.9135,1.1585,1.0148,1.0264,1.5571,1.0362,1.2091,1.105,1.1421,0.9519,1.4428,1.0524,0.0,0.0,71.4013,70.8735,28.5987,29.1265
Punjab,age_10_13,03,32.4132,36.1052,0.7604,0.1856,1.0603,0.3454,0.5888,0.1637,0.8221,0.2573,1.1491,0.3031,0.7293,0.1974,0.2945,0.1586,0.5119,0.2133,0.7177,0.3249,0.7323,0.2108,0.6611,0.2437,0.7186,0.2188,0.0,0.0,7.6762,6.7255,92.3238,93.2745
Punjab,age_14_17,03,2.9994,3.4222,10.4726,1.828,13.7038,3.0506,6.2231,1.4239,7.8291,1.5417,13.4952,2.7862,8.234,1.5737,4.3021,0.9735,9.0775,1.814,9.4774,2.6973,8.126,1.5802,10.9487,2.255,9.3602,1.7528,0.0,0.0,8.0462,7.5468,91.9538,92.4532
Punjab,age_18_21,03,1.7766,2.4394,56.93,34.6711,53.9229,34.0182,48.8926,30.2879,53.3977,25.4839,57.307,35.5013,45.4807,26.8437,49.0387,21.8958,56.6072,29.7549,53.282,28.6265,42.0118,23.7529,57.7065,33.03,52.4626,27.2696,0.0,0.0,9.6977,9.2842,90.3023,90.7158
Punjab,age_22_25,03,1.415,2.154,21.2372,41.4045,17.7426,36.7983,28.782,42.5219,25.5047,43.3552,18.876,39.1948,28.4971,41.8618,31.5848,43.5009,22.5389,41.4629,24.6219,35.0326,30.1492,41.6173,20.6458,40.1034,24.9629,40.7622,18.3896,10.9423,13.1525,10.7145,86.8475,89.2855
Punjab,age_26_29,03,1.4438,1.9167,4.026,11.0939,3.1703,10.8592,6.6639,14.1459,4.8573,17.1601,3.3257,10.0998,8.8992,17.5193,6.1586,20.193,3.5526,14.2654,4.5979,13.0722,10.5532,20.3551,3.3419,11.9214,5.1094,16.6726,21.9697,14.4636,18.8567,13.3819,81.1433,86.6181
Punjab,age_30_33,03,1.8889,2.0918,1.2141,4.2891,0.7657,4.3184,1.9447,5.0046,1.0243,4.7297,1.0886,4.8558,1.8749,5.3213,0.9776,5.3308,0.627,4.3945,0.9498,5.3583,2.0817,5.7112,0.7183,4.2099,1.066,5.3045,17.9883,13.093,25.992,17.184,74.008,82.816
