state_name,age_bracket,state_code,Below_primary_share_ST_female,Below_primary_share_ST_male,CMPR_ST_female,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_attending_ST_male,Child_labour_dropout_ST_female,Child_labour_dropout_ST_male,Dropout_rate_ST_female,Dropout_rate_ST_male,Graduate_share_ST_female,Graduate_share_ST_male,Illiteracy_rate_ST_female,Illiteracy_rate_ST_male,Literacy_rate_ST_female,Literacy_rate_ST_male,Non_worker_dropout_ST_female,School_attendance_rate_ST_female,School_attendance_rate_ST_male
Uttar Pradesh,age_10_13,09,44.4547,44.885,2.8012,1.4462,2.0998,3.0629,3.2419,3.3216,3.5534,24.5046,20.5139,0.0,0.0,20.8132,15.4691,79.1868,84.5309,21.183,75.4954,79.4861
Uttar Pradesh,age_14_17,09,7.425,8.1754,11.5814,3.6129,7.381,4.1941,5.2977,11.8736,17.4163,38.0977,35.5051,0.0,0.0,23.511,15.1742,76.489,84.8258,26.2241,61.9023,64.4949
Uttar Pradesh,age_18_21,09,4.0465,4.6584,57.0666,23.6441,39.5274,3.4951,6.5152,26.4816,38.0229,64.0084,56.0151,0.0,0.0,36.5749,17.6007,63.4251,82.3993,37.5268,35.9916,43.9849
Uttar Pradesh,age_22_25,09,4.7997,4.9725,90.7252,70.5316,80.3662,,,,,,,9.2803,8.4549,51.7994,22.9841,48.2006,77.0159,,,
Uttar Pradesh,age_26_29,09,5.5244,5.6134,96.1688,88.135,92.4388,,,,,,,10.8729,10.2561,64.7923,31.2793,35.2077,68.7207,,,
Uttar Pradesh,age_30_33,09,6.2556,6.3631,96.6388,94.1051,95.4045,,,,,,,8.0914,9.0451,73.1984,37.4416,26.8016,62.5584,,,
Uttar Pradesh,age_34_plus,09,8.2617,8.4732,83.9145,90.4426,87.2814,,,,,,,4.7851,6.1791,86.2576,52.3376,13.7424,47.6624,,,
Uttar Pradesh,age_below10,09,93.6951,92.7558,0.0,0.0,0.0,1.4695,1.6092,1.5072,1.5047,48.1932,46.5775,0.0,0.0,78.1071,76.8678,21.8929,23.1322,46.686,51.8068,53.4225
Bihar,age_10_13,10,53.514,50.4496,2.5858,1.4615,2.0024,3.7756,4.1944,3.9487,3.752,24.5437,19.8698,0.0,0.0,22.8268,17.0291,77.1732,82.9709,20.595,75.4563,80.1302
Bihar,age_14_17,10,13.9385,11.1441,10.7815,3.5164,6.7912,5.0006,6.718,14.8644,19.5346,41.9586,35.9987,0.0,0.0,30.3245,20.3972,69.6755,79.6028,27.0942,58.0414,64.0013
Bihar,age_18_21,10,12.422,8.8227,63.2358,18.6266,39.7064,4.4905,7.8925,34.8667,43.391,72.819,58.4534,0.0,0.0,48.1333,26.3803,51.8667,73.6197,37.9524,27.181,41.5466
Bihar,age_22_25,10,15.434,9.9883,91.3837,65.8579,78.6201,,,,,,,4.5309,5.7841,60.7152,32.2148,39.2848,67.7852,,,
Bihar,age_26_29,10,18.4642,10.7452,95.2731,85.8167,90.8317,,,,,,,4.3141,6.5488,68.2304,40.1098,31.7696,59.8902,,,
Bihar,age_30_33,10,19.8154,11.3955,95.2823,93.3975,94.3631,,,,,,,3.755,5.4984,72.5881,44.6499,27.4119,55.3501,,,
Bihar,age_34_plus,10,20.0735,12.7369,80.9387,91.6364,86.4163,,,,,,,3.3864,5.5506,85.3607,57.3112,14.6393,42.6888,,,
Bihar,age_below10,10,94.2457,93.3697,0.0,0.0,0.0,1.7075,1.7693,1.8288,1.8532,49.2553,47.1123,0.0,0.0,78.8559,77.4647,21.1441,22.5353,47.4265,50.7447,52.8877
Sikkim,age_10_13,11,41.5436,48.7425,1.4842,0.8052,1.1421,9.1682,9.5639,1.5404,1.7757,5.1949,5.3479,0.0,0.0,4.3344,4.621,95.6656,95.379,3.6545,94.8051,94.6521
Sikkim,age_14_17,11,11.4803,19.5476,9.1777,2.3305,5.7388,13.3693,13.016,9.5857,14.4798,15.8,19.5135,0.0,0.0,3.6145,3.6226,96.3855,96.3774,6.2143,84.2,80.4865
Sikkim,age_18_21,11,11.9053,19.1044,32.9769,12.9152,23.0038,11.8615,11.1303,24.2641,33.1104,38.1385,40.7248,0.0,0.0,4.9134,4.1415,95.0866,95.8585,13.8745,61.8615,59.2752
Sikkim,age_22_25,11,14.1933,19.7348,58.889,37.3719,48.1548,,,,,,,9.9731,7.7014,8.2382,5.3727,91.7618,94.6273,,,
Sikkim,age_26_29,11,16.2759,19.3219,72.5431,57.7755,65.2034,,,,,,,16.6573,14.7093,13.5306,8.1601,86.4694,91.8399,,,
Sikkim,age_30_33,11,18.5035,20.7732,81.751,74.2899,77.986,,,,,,,11.6758,10.8631,19.6518,9.6766,80.3482,90.3234,,,
Sikkim,age_34_plus,11,25.3023,28.4425,75.5675,81.9587,78.9311,,,,,,,7.826,8.4747,55.9014,28.6884,44.0986,71.3116,,,
Sikkim,age_below10,11,93.617,93.0118,0.0,0.0,0.0,2.7928,3.3093,0.53,0.5599,17.4906,17.5665,0.0,0.0,68.7596,69.5994,31.2404,30.4006,16.9606,82.5094,82.4335
Arunachal Pradesh,age_10_13,12,41.7211,42.8905,2.35,1.0897,1.7214,4.0506,4.2199,2.1232,1.7196,14.6815,12.8742,0.0,0.0,19.3796,16.921,80.6204,83.079,12.5583,85.3185,87.1258
Arunachal Pradesh,age_14_17,12,8.6721,8.9542,7.7569,2.6097,5.2013,6.067,6.3358,6.5996,5.5843,15.1562,12.7961,0.0,0.0,13.8971,10.4171,86.1029,89.5829,8.5566,84.8438,87.2039
Arunachal Pradesh,age_18_21,12,5.2228,5.1573,31.8,11.6029,22.1569,8.163,8.343,19.0879,14.0,31.3437,22.029,0.0,0.0,18.3292,11.3865,81.6708,88.6135,12.2558,68.6563,77.971
Arunachal Pradesh,age_22_25,12,5.4296,4.8491,63.631,40.9757,53.1866,,,,,,,9.8337,9.9279,25.0404,14.6557,74.9596,85.3443,,,
Arunachal Pradesh,age_26_29,12,6.5811,4.8518,80.0999,67.4569,74.2717,,,,,,,14.8177,19.9748,35.7564,18.7334,64.2436,81.2666,,,
Arunachal Pradesh,age_30_33,12,8.3684,5.6387,87.3908,83.3806,85.4708,,,,,,,9.8333,18.8356,45.2704,23.6444,54.7296,76.3556,,,
Arunachal Pradesh,age_34_plus,12,13.3053,10.6518,76.6706,89.1388,82.8904,,,,,,,5.5629,13.9107,75.8693,50.1571,24.1307,49.8429,,,
Arunachal Pradesh,age_below10,12,93.076,92.6363,0.0,0.0,0.0,1.9279,2.0459,1.244,1.0612,39.2572,37.16,0.0,0.0,79.1642,78.2433,20.8358,21.7567,38.0131,60.7428,62.84
Nagaland,age_10_13,13,36.8178,38.4463,1.4069,0.6346,1.007,14.9318,14.6798,4.6092,4.4521,13.4077,13.0799,0.0,0.0,13.0874,12.4408,86.9126,87.5592,8.7986,86.5923,86.9201
Nagaland,age_14_17,13,7.643,8.0034,6.129,1.5509,3.7967,17.4982,17.3412,14.3592,15.0054,22.9679,23.1713,0.0,0.0,9.8309,9.1811,90.1691,90.8189,8.6087,77.0321,76.8287
