state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_christian_female,CMPR_hindu_female,CMPR_jain_female,CMPR_muslim_female,CMPR_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Jammu & Kashmir,age_26_29,01,3.5388,2.7273,1.4099,1.0526,1.7005,0.5104,10.1446,6.3553,5.7545,4.9934,7.6866,8.5446,22.3476,27.6844,21.1485,5.0,48.5082,5.2649,77.6524,72.3156,78.8515,95.0,51.4918,94.7351,19.0766,22.8283,25.7566,4.2105,26.6312,16.5476
Jammu & Kashmir,age_30_33,01,3.6788,3.2532,1.855,1.0101,2.0805,0.605,4.3764,1.9757,1.1367,0.7884,2.8774,2.5131,32.9472,34.4764,27.2403,4.8077,58.6267,6.5048,67.0528,65.5236,72.7597,95.1923,41.3733,93.4952,19.9296,21.9236,27.3126,3.0303,26.9827,22.2082
Jammu & Kashmir,age_34_plus,01,7.7229,4.2553,3.2866,0.6356,2.6843,2.119,2.4752,0.677,0.2795,0.3942,0.9865,0.761,72.1754,55.6504,53.2909,11.2782,80.6703,25.0949,27.8246,44.3496,46.7091,88.7218,19.3297,74.9051,16.8485,21.9858,23.3956,6.5678,26.0346,27.1962
Jammu & Kashmir,age_below10,01,94.6911,96.5167,95.6641,90.4762,93.3409,94.877,1.8402,1.1191,1.0322,0.3942,1.3288,1.0632,75.5017,76.2496,74.1316,73.0769,79.6899,70.87,24.4983,23.7504,25.8684,26.9231,20.3101,29.13,0.0,0.0,0.0,0.0,0.0,0.0
Himachal Pradesh,age_10_13,02,32.4419,26.5033,20.0635,15.7895,32.6678,24.1061,0.4235,1.2999,1.5399,0.3731,1.7111,0.7439,2.3368,4.0598,2.9221,3.3898,15.0196,1.96,97.6632,95.9402,97.0779,96.6102,84.9804,98.04,7.741,11.3586,11.195,10.5263,6.711,11.188
Himachal Pradesh,age_14_17,02,3.1866,2.4194,1.1713,0.0,5.25,0.9947,7.3776,10.8945,14.3507,2.7985,18.3475,8.6375,2.1536,7.4627,2.2372,0.0,16.2888,1.539,97.8464,92.5373,97.7628,100.0,83.7112,98.461,42.7727,46.7742,45.3418,44.4444,36.25,44.405
Himachal Pradesh,age_18_21,02,3.8516,3.2432,1.2684,0.0,4.7535,0.9548,33.3673,40.0805,44.9486,40.4851,50.9532,43.0017,3.3103,9.3137,3.0809,0.0,22.5894,1.5664,96.6897,90.6863,96.9191,100.0,77.4106,98.4336,16.0485,20.0,11.7159,5.5556,17.2095,8.3386
Himachal Pradesh,age_22_25,02,4.7518,2.3941,1.574,2.3529,4.7372,0.8184,21.9031,18.3535,16.3688,31.903,11.0611,24.1696,5.7692,11.8506,4.8808,2.2989,27.533,3.3427,94.2308,88.1494,95.1192,97.7011,72.467,96.6573,11.5443,17.1271,10.4417,2.3529,18.4503,9.8469
Himachal Pradesh,age_26_29,02,4.9919,3.8298,2.4343,0.0,5.3979,1.648,9.5867,8.0161,3.367,6.7164,2.107,5.2984,10.1042,15.7706,8.3767,4.8193,35.4596,4.598,89.8958,84.2294,91.6233,95.1807,64.5404,95.402,10.5636,13.617,13.1201,1.2658,17.1566,12.4689
Himachal Pradesh,age_30_33,02,7.2194,3.5,3.6468,0.0,6.3028,1.5272,3.7398,2.0118,0.5882,1.8657,0.5993,0.8607,15.5958,19.1919,12.6889,3.4483,44.1714,6.2267,84.4042,80.8081,87.3111,96.5517,55.8286,93.7733,13.045,13.5,15.574,3.5714,18.6268,15.7371
Himachal Pradesh,age_34_plus,02,20.928,6.2225,8.8729,0.9494,10.9745,5.1259,1.8469,0.8047,0.2064,0.3731,0.2305,0.3201,53.5319,33.3659,45.1982,7.3314,71.5918,34.2932,46.4681,66.6341,54.8018,92.6686,28.4082,65.7068,12.9163,11.7862,16.9484,5.0633,15.5575,16.8451
Himachal Pradesh,age_below10,02,96.3998,96.2329,94.9265,95.2381,96.0959,95.9602,0.6582,0.9285,1.0929,1.4925,1.2447,0.8694,68.6515,70.8292,71.2643,69.7842,76.9744,70.2972,31.3485,29.1708,28.7357,30.2158,23.0256,29.7028,0.0,0.0,0.0,0.0,0.0,0.0
Punjab,age_10_13,03,26.4545,38.6505,31.7643,22.3284,40.0747,32.4661,0.7246,0.4645,0.8689,0.233,1.3412,0.4031,4.6794,10.904,8.6771,2.6227,18.2663,6.4289,95.3206,89.096,91.3229,97.3773,81.7337,93.5711,9.5455,6.9544,9.4377,10.3388,6.312,8.2768
Punjab,age_14_17,03,1.1997,4.9704,3.0224,0.7955,5.7394,2.8617,7.6965,7.1892,9.2111,3.326,13.6202,6.8654,3.8715,14.6869,8.3081,2.179,19.8071,7.2863,96.1285,85.3131,91.6919,97.821,80.1929,92.7137,44.7301,35.92,39.8106,40.0955,36.4355,39.2202
Punjab,age_18_21,03,1.5748,3.3395,1.7414,0.2899,3.6917,1.7143,43.4892,49.2434,43.6706,39.5523,49.1167,46.9337,5.0822,18.7252,10.0705,2.5424,23.5216,8.7743,94.9178,81.2748,89.9295,97.4576,76.4784,91.2257,18.2677,19.0926,13.9884,2.029,20.4914,13.2763
Punjab,age_22_25,03,1.308,2.68,1.4271,0.3571,3.4,1.3293,22.332,19.7617,22.8138,34.3973,16.1999,22.3979,6.5974,25.8504,12.7802,2.439,29.0699,12.5851,93.4026,74.1496,87.2198,97.561,70.9301,87.4149,16.5468,17.2073,12.9597,2.0238,19.1568,13.1811
Punjab,age_26_29,03,2.0437,2.8014,1.4607,0.2186,3.9474,1.3446,5.4567,4.6782,4.8974,5.3739,3.0361,4.649,9.2131,34.7284,17.272,3.277,38.6529,19.048,90.7869,65.2716,82.728,96.723,61.3471,80.952,18.8865,16.7151,13.3082,1.9126,18.608,14.9253
Punjab,age_30_33,03,2.2439,3.4929,1.8084,0.2281,4.7346,1.8662,1.1748,1.1064,0.831,0.7062,0.7579,0.9644,16.3948,46.3348,22.5988,3.7322,49.7379,27.2607,83.6052,53.6652,77.4012,96.2678,50.2621,72.7393,17.3659,15.7105,13.3269,2.8506,17.6139,16.0859
Punjab,age_34_plus,03,5.5275,4.5354,3.024,1.0943,6.302,3.3837,0.1757,0.2971,0.2039,0.1836,0.2546,0.2728,50.4012,65.7908,40.5268,7.7461,72.9894,51.7912,49.5988,34.2092,59.4732,92.2539,27.0106,48.2088,16.1105,15.3999,15.539,7.5515,15.4054,16.5991
