state_name,age_bracket,state_code,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female
Chhattisgarh,age_14_17,22,34.9263,35.1491,32.8201,32.4976,36.9046,32.7353,12.5201,24.5775,29.7276,27.346,30.6038,31.2258
Chhattisgarh,age_18_21,22,50.6689,49.1235,50.9503,49.3588,46.11,49.1919,57.7322,58.7012,45.8065,41.8647,54.5161,49.1662
Chhattisgarh,age_below10,22,2.291,2.0704,2.638,2.3919,2.7266,2.314,0.9835,1.2962,2.2087,1.6639,1.5876,2.1977
Madhya Pradesh,age_10_13,23,4.8078,5.0439,5.4353,6.8393,6.6667,5.0637,1.5153,2.4023,4.9084,4.5779,3.8444,5.0505
Madhya Pradesh,age_14_17,23,34.3784,34.4878,34.2983,37.2075,38.0554,33.0475,15.9368,26.3276,30.5759,27.1723,32.1377,32.3883
Madhya Pradesh,age_18_21,23,52.4575,49.0406,51.8028,44.6081,46.6234,49.9759,56.086,55.6464,46.8121,42.5489,51.6566,48.589
Madhya Pradesh,age_below10,23,2.1403,1.978,2.3816,2.0112,2.4075,2.1885,1.3309,1.5642,2.0049,1.9774,1.7633,2.1223
Gujarat,age_10_13,24,1.7928,2.4784,1.4322,2.3212,2.3549,1.7923,0.9352,1.4853,1.924,1.9344,1.9416,1.8748
Gujarat,age_14_17,24,16.9109,18.9672,13.9297,14.4087,19.7238,15.098,6.9082,12.4375,14.7882,13.8897,15.9071,15.1352
Gujarat,age_18_21,24,63.8772,60.3477,65.4149,57.7232,61.1767,59.1889,57.781,59.4572,57.1158,51.7969,60.5135,58.4071
Gujarat,age_below10,24,3.1545,2.6862,2.8437,2.3905,3.063,2.7564,1.7809,2.2165,2.5342,2.3424,2.4343,2.6836
Daman & Diu,age_10_13,25,1.0204,1.8361,0.6369,5.3333,2.9783,1.6891,0.5654,1.2752,1.5574,1.7099,1.426,1.5853
Daman & Diu,age_14_17,25,22.449,22.9615,17.5159,17.3333,27.9986,18.8187,10.0935,16.8843,17.8768,18.7976,19.5416,18.2074
Daman & Diu,age_18_21,25,56.6327,55.0247,65.2866,48.0,52.1574,51.0674,59.0532,57.9659,55.271,50.4799,57.3888,54.4796
Daman & Diu,age_below10,25,2.0408,1.1056,1.9108,2.6667,1.9742,1.7513,1.2287,1.352,1.4767,1.7319,1.3732,1.5304
Dadra & Nagar Haveli,age_10_13,26,1.2251,2.1189,1.6513,0.2778,1.7113,1.3885,0.614,1.294,1.4101,1.3035,1.3904,1.3495
Dadra & Nagar Haveli,age_14_17,26,19.6401,24.5046,20.7695,20.0,24.8616,18.0561,10.5207,18.8354,19.5379,15.5943,22.7926,19.7474
Dadra & Nagar Haveli,age_18_21,26,59.5712,55.8564,60.2315,49.1667,55.7152,54.2204,59.0313,58.3465,53.928,48.5958,55.0802,54.4764
Dadra & Nagar Haveli,age_below10,26,3.7136,2.4917,2.9452,1.6667,3.4654,2.7943,2.327,2.5593,3.0595,2.4529,2.8283,3.0842
Maharashtra,age_10_13,27,2.4675,2.9761,2.3289,2.8435,4.667,2.3613,0.7364,1.2296,2.7281,2.1877,2.1788,2.564
Maharashtra,age_14_17,27,27.3922,27.5165,27.5719,22.0687,34.0277,24.306,10.5218,18.6571,21.4461,15.643,24.2142,22.6443
Maharashtra,age_18_21,27,56.3965,53.5764,57.0235,52.5021,47.2967,52.2733,55.9519,56.9645,48.3344,39.8472,55.1611,50.3294
Maharashtra,age_below10,27,3.3955,2.6846,3.2333,2.7603,3.2946,3.1253,2.1495,2.2743,2.6281,2.6141,2.4339,2.8555
Andhra Pradesh,age_10_13,28,6.1564,6.1109,6.7624,6.4688,8.3935,6.0305,1.3036,2.783,5.7768,5.0167,4.3358,5.8925
Andhra Pradesh,age_14_17,28,36.7492,37.9733,33.8569,32.0405,36.6991,34.0007,21.079,31.8932,29.8216,27.4419,34.7786,31.9571
Andhra Pradesh,age_18_21,28,44.1678,42.0997,43.9869,44.0395,39.9315,43.0455,51.4901,45.7319,41.7104,39.138,45.649,42.5189
Andhra Pradesh,age_below10,28,3.338,2.9302,3.8611,4.2414,3.6958,3.3822,2.2496,2.4906,3.0825,2.9084,2.6219,3.227
Karnataka,age_10_13,29,3.0983,2.723,2.6486,1.8995,4.1009,2.5719,0.6162,1.5009,2.5668,2.0781,2.2731,2.5768
Karnataka,age_14_17,29,22.3456,20.4619,21.059,15.585,24.4899,19.1829,11.1449,19.2773,18.4984,15.2938,20.3124,18.9278
Karnataka,age_18_21,29,57.1682,54.3083,56.7642,48.3961,52.9818,51.7229,51.6409,51.6271,49.3179,43.5487,53.2991,50.8197
Karnataka,age_below10,29,3.5644,3.0789,3.2941,2.9835,3.4677,3.1325,2.3659,2.7842,2.9766,2.6152,2.9506,3.09
Goa,age_10_13,30,1.7128,1.3279,1.0589,0.9653,3.5619,1.1475,0.2992,0.4804,1.2865,1.1343,1.0744,1.284
Goa,age_14_17,30,10.2198,11.0314,9.8732,9.2146,18.1355,6.4351,2.1074,4.7288,8.0965,5.8551,9.5621,7.7827
Goa,age_18_21,30,38.8524,38.9863,34.5265,27.6876,41.6934,22.5385,22.5034,27.9323,30.8242,20.5084,36.0693,29.3252
Goa,age_below10,30,2.4265,2.1591,2.4907,2.3695,2.7813,2.102,1.8233,1.9128,2.2478,2.0428,2.2197,2.253
Lakshadweep,age_10_13,31,,3.6916,,0.0,4.7768,0.7828,0.4346,0.502,2.4297,0.7979,2.374,2.2019
Lakshadweep,age_14_17,31,,28.2302,,31.0345,30.8926,9.7847,6.2093,13.3575,21.4591,9.375,26.1936,20.0651
Lakshadweep,age_18_21,31,,49.6924,,27.5862,46.2343,34.1161,45.5449,52.3146,49.1539,34.242,49.0108,47.6685
Lakshadweep,age_below10,31,,1.5925,,0.0,1.7085,1.3046,0.7451,1.1712,1.4881,1.3298,1.7937,1.4569
Kerala,age_10_13,32,1.0141,2.5588,0.7835,0.6149,3.4297,0.4807,0.1306,0.461,1.2164,0.3637,1.7263,1.0428
Kerala,age_14_17,32,16.9856,26.0068,11.8136,11.0068,28.5387,8.9078,7.9098,17.1758,16.96,7.216,22.7273,15.1476
Kerala,age_18_21,32,48.5895,45.6101,42.8981,43.3557,44.2529,37.4312,45.1852,46.8811,44.4609,34.9018,45.9436,43.2633
Kerala,age_below10,32,1.41,1.5443,1.2664,1.2265,1.7357,1.1844,1.2487,1.4251,1.5063,1.1378,1.4449,1.4364
Tamil Nadu,age_10_13,33,1.6656,1.5964,1.4707,1.1738,2.5195,1.4212,0.2552,0.7703,1.2906,1.1827,1.2284,1.358
Tamil Nadu,age_14_17,33,24.2034,21.9789,22.7913,18.3171,26.5222,20.5669,9.9907,18.0806,17.0955,16.1159,20.3918,18.6569
