state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_buddhist_male,CMPR_christian_female,CMPR_christian_male,CMPR_hindu_female,CMPR_hindu_male,CMPR_jain_female,CMPR_jain_male,CMPR_muslim_female,CMPR_muslim_male,CMPR_sikh_female,CMPR_sikh_male,Illiteracy_rate_buddhist_female,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_female,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_female,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_female,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_female,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_female,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_female,Literacy_rate_buddhist_male,Literacy_rate_christian_female,Literacy_rate_christian_male,Literacy_rate_hindu_female,Literacy_rate_hindu_male,Literacy_rate_jain_female,Literacy_rate_jain_male,Literacy_rate_muslim_female,Literacy_rate_muslim_male,Literacy_rate_sikh_female,Literacy_rate_sikh_male,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Uttarakhand,age_10_13,05,27.9302,30.2362,30.1006,28.0851,48.2827,33.8341,0.5571,0.4058,0.9865,0.1333,2.133,0.3043,0.316,0.0,1.4458,0.235,0.9313,0.1732,4.2959,2.6426,5.5762,5.3851,4.1559,3.5065,4.0816,3.413,14.899,12.9178,6.4012,5.4213,95.7041,97.3574,94.4238,94.6149,95.8441,96.4935,95.9184,96.587,85.101,87.0822,93.5988,94.5787,13.7157,8.9764,10.612,10.6383,6.1908,10.2404
Uttarakhand,age_14_17,05,5.3375,2.3923,2.2165,0.4167,10.6613,3.7655,8.1128,1.0822,9.9969,1.0218,19.3265,2.7077,5.0211,0.3486,18.9564,2.3602,10.2922,1.0708,2.8963,1.006,4.2539,4.3056,3.5033,2.4258,4.7619,1.8237,18.4167,14.4402,5.5867,3.6956,97.1037,98.994,95.7461,95.6944,96.4967,97.5742,95.2381,98.1763,81.5833,85.5598,94.4133,96.3044,41.2873,40.7382,44.3967,37.5,31.1421,40.3228
Uttarakhand,age_18_21,05,3.2738,1.5175,1.3721,0.6452,7.4639,2.1763,30.2228,13.8992,34.2215,17.681,44.5035,29.371,34.5506,8.4043,52.7872,37.9256,49.5905,27.0742,1.4663,0.885,6.6572,5.2295,5.3793,3.5775,1.8987,1.5306,25.1788,17.4175,9.4366,4.8444,98.5337,99.115,93.3428,94.7705,94.6207,96.4225,98.1013,98.4694,74.8212,82.5825,90.5634,95.1556,9.8214,13.3536,21.7917,1.9355,22.2294,19.279
Uttarakhand,age_below10,05,95.9276,95.3046,95.0347,98.7179,94.5951,95.5097,0.6616,0.6764,0.7627,0.8552,0.8293,0.7494,0.7374,1.433,0.6937,0.7215,0.5726,0.6828,68.917,66.8734,72.6863,71.6909,71.7699,71.5865,70.3422,71.3608,76.3819,75.7465,72.1321,72.0331,31.083,33.1266,27.3137,28.3091,28.2301,28.4135,29.6578,28.6392,23.6181,24.2535,27.8679,27.9669,0.0,0.0,0.0,0.0,0.0,0.0
Haryana,age_10_13,06,32.3944,33.1561,33.7527,21.3687,60.8903,34.0985,2.0224,0.4042,1.0724,0.2619,2.7667,0.6979,0.3931,0.0929,2.6711,0.6657,0.6489,0.1879,3.4014,5.2174,8.2317,7.2237,5.521,4.533,2.2526,1.7828,32.3583,14.9283,5.0153,4.5362,96.5986,94.7826,91.7683,92.7763,94.479,95.467,97.7474,98.2172,67.6417,85.0717,94.9847,95.4638,8.0986,9.8339,9.4488,15.433,3.2014,9.0985
Haryana,age_14_17,06,5.53,4.43,3.3075,0.5772,20.8555,4.0045,13.4646,3.1834,11.2678,2.5146,22.3298,5.4925,6.1295,0.73,31.3632,8.8654,9.5685,1.7355,8.0508,6.7138,9.1716,6.8719,5.8746,4.4983,1.2821,1.1745,43.5227,18.0044,6.1129,5.3668,91.9492,93.2862,90.8284,93.1281,94.1254,95.5017,98.7179,98.8255,56.4773,81.9956,93.8871,94.6332,37.3272,39.0879,39.478,38.6724,21.6949,38.6483
Haryana,age_18_21,06,0.9709,4.2998,2.3671,0.0,13.1369,2.8748,41.6711,30.7226,34.8685,22.3844,44.2452,37.1979,38.1096,13.0542,46.4675,53.7023,46.8124,27.4681,8.8496,5.9259,12.848,7.3099,8.8293,5.9069,1.9391,1.4752,55.4566,22.1783,8.4047,7.3217,91.1504,94.0741,87.152,92.6901,91.1707,94.0931,98.0609,98.5248,44.5434,77.8217,91.5953,92.6783,9.7087,12.285,13.8493,3.3898,15.1927,12.5181
Haryana,age_below10,06,95.288,95.6522,96.1761,95.0051,95.6868,96.3154,1.8095,0.859,1.1606,1.0627,1.3448,0.9334,1.0687,1.3074,1.6348,0.9192,0.8604,0.8651,75.7306,77.2778,73.5632,74.4484,73.125,72.5907,72.4206,71.1701,82.2334,78.4816,72.835,71.7317,24.2694,22.7222,26.4368,25.5516,26.875,27.4093,27.5794,28.8299,17.7666,21.5184,27.165,28.2683,0.0,0.0,0.0,0.0,0.0,0.0
NCT of Delhi,age_10_13,07,28.7796,29.9076,31.9423,22.9425,38.8036,27.6108,2.2268,0.6972,0.6245,0.125,2.3096,0.4219,0.2958,0.0335,2.4686,0.303,0.5637,0.0636,3.1746,1.9787,3.3754,2.8784,4.3891,3.7681,1.5679,1.5631,8.2853,8.4827,2.9239,2.8975,96.8254,98.0213,96.6246,97.1216,95.6109,96.2319,98.4321,98.4369,91.7147,91.5173,97.0761,97.1025,9.2896,7.9108,9.2743,9.3363,8.0138,9.471
NCT of Delhi,age_14_17,07,2.7687,1.7754,2.5099,0.3992,5.3937,1.6517,14.4017,2.9412,6.3411,1.0136,17.8388,3.8022,5.6247,0.5946,23.5624,3.7855,7.1562,0.8372,4.6584,2.8169,3.2424,1.8333,4.0349,3.4157,0.6678,0.8697,9.5242,10.3011,2.5975,2.3959,95.3416,97.1831,96.7576,98.1667,95.9651,96.5843,99.3322,99.1303,90.4758,89.6989,97.4025,97.6041,40.8795,44.2299,43.674,43.2563,40.5198,42.2204
NCT of Delhi,age_18_21,07,2.9326,2.5456,1.6692,0.3503,3.7364,1.1766,33.7149,20.5011,21.9545,10.3802,37.979,26.4232,35.1251,10.9204,41.8937,31.5624,33.5177,11.3521,2.849,4.4271,5.2556,2.5278,5.7459,4.7751,0.8873,0.6649,13.744,13.7772,3.3249,2.6528,97.151,95.5729,94.7444,97.4722,94.2541,95.2249,99.1127,99.3351,86.256,86.2228,96.6751,97.3472,9.3842,9.6125,13.3449,2.0241,20.6238,7.3538
NCT of Delhi,age_below10,07,92.562,96.5763,95.9319,97.0845,95.6309,96.6089,1.769,1.0458,1.5051,1.2527,1.9095,1.3681,1.2916,1.5995,1.8025,1.2318,1.3698,1.3524,71.4847,73.0686,70.4438,69.0438,72.7199,72.1146,70.5546,70.6318,74.2283,73.985,71.7514,70.6806,28.5153,26.9314,29.5562,30.9562,27.2801,27.8854,29.4454,29.3682,25.7717,26.015,28.2486,29.3194,0.0,0.0,0.0,0.0,0.0,0.0
