CMPR_total_male,CMPR_total_female,state_code,state_name,age_bracket,CMPR_illiterate_male,CMPR_illiterate_female,CMPR_below_primary_male,CMPR_below_primary_female,CMPR_primary_male,CMPR_primary_female,CMPR_middle_male,CMPR_middle_female,CMPR_matric_male,CMPR_matric_female,CMPR_main_workers_male,CMPR_main_workers_female,CMPR_cultivators_male,CMPR_cultivators_female,CMPR_agri_labourers_male,CMPR_agri_labourers_female,CMPR_household_industry_male,CMPR_household_industry_female,CMPR_other_workers_male,CMPR_other_workers_female,CMPR_non_workers_male,CMPR_non_workers_female
4.0345,21.2117,07,NCT OF DELHI,age_14_17,9.1093,37.6712,8.2662,34.3557,6.6028,31.0294,5.3764,24.448,3.2183,13.0965,3.682,16.711,5.3906,27.0198,6.0031,31.8103,3.1438,24.5342,3.676,16.2492,6.171,21.8492
27.5952,42.4628,07,NCT OF DELHI,age_18_21,42.5661,41.0655,41.1116,43.2045,40.1348,47.7051,37.3042,51.8583,27.8975,51.6759,27.2215,30.1765,37.4838,46.061,38.5496,39.1749,25.1084,41.4177,27.1639,29.6246,28.2539,44.4221
1.4011,2.0949,07,NCT OF DELHI,age_below10,1.3982,2.8585,1.4227,2.1978,1.3079,2.089,1.3002,1.9076,1.3437,1.5832,1.4027,2.0153,1.338,1.2739,1.3246,1.9857,1.5157,2.1026,1.3998,2.0166,1.3539,2.1037
2.6109,7.3504,08,RAJASTHAN,age_10_13,3.3694,8.8874,3.4185,7.8159,3.1676,6.2718,2.5681,4.3458,1.6304,2.3426,2.3546,8.5549,2.9774,9.3795,2.4205,7.8827,1.9516,7.9901,1.7796,6.723,4.4792,6.7843
11.2971,31.4955,08,RAJASTHAN,age_14_17,13.6437,34.5517,13.3929,33.1885,12.666,32.3537,11.8146,29.0662,9.2625,20.1407,10.8147,32.5066,13.3337,33.9939,11.5959,32.6,8.9691,32.6615,8.4139,28.11,14.5355,30.1099
49.0965,45.8996,08,RAJASTHAN,age_18_21,51.2503,44.7989,51.8552,44.2469,53.3725,47.3729,52.8221,50.5277,46.9608,53.4067,49.508,45.1129,55.5759,45.2825,54.9417,47.7575,45.9378,44.7258,43.0896,42.7111,41.3601,44.658
1.8913,3.7788,08,RAJASTHAN,age_below10,1.9608,4.2721,2.287,4.3895,2.0104,3.1825,1.7282,2.3508,1.5076,1.7926,1.7526,4.3695,1.8015,4.691,1.748,4.3416,1.7267,3.8144,1.7087,3.5192,2.8838,3.3515
1.3543,3.6887,09,UTTAR PRADESH,age_10_13,1.8708,4.5602,1.812,3.3205,1.4833,3.0986,1.2274,2.5689,0.9702,1.9152,1.1683,3.9562,1.4561,4.7572,1.3168,4.4416,1.1108,3.688,0.7939,3.0392,1.9099,3.4914
6.7937,24.1054,09,UTTAR PRADESH,age_14_17,8.9444,27.841,8.808,23.5683,7.5842,23.617,6.6482,21.5971,5.2963,16.2205,6.0659,23.8014,7.5868,26.4136,6.6302,26.772,5.4832,22.558,4.2353,19.7977,9.3224,23.5413
51.7391,52.9621,09,UTTAR PRADESH,age_18_21,53.8188,52.3676,52.69,50.1359,55.3598,54.9486,55.8153,56.4196,51.3637,56.5039,51.3879,52.4889,57.511,53.4391,57.447,54.2933,48.1092,54.2409,42.122,49.8534,45.7524,53.0228
1.4133,2.7306,09,UTTAR PRADESH,age_below10,1.6193,3.1105,1.5527,2.2672,1.3665,2.2539,1.272,2.1497,1.1918,1.883,1.3324,2.8081,1.4142,3.1752,1.336,3.1774,1.3567,2.7348,1.2417,2.2564,1.6511,2.5962
0.5195,2.4421,10,BIHAR,age_10_13,0.6497,2.8513,0.5404,2.1846,0.4845,1.9607,0.45,1.7405,0.3968,1.3201,0.4565,2.9366,0.4646,2.9354,0.504,3.0182,0.5982,3.7363,0.3589,2.47,0.9773,2.2992
