state_name,age_bracket,state_code,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male
Mizoram,age_18_21,15,27.1644,24.8137,29.4566,23.3871,35.1495,24.4927,20.625,25.0657,19.906,19.5963,27.2054,24.0654
Mizoram,age_below10,15,0.5729,0.4472,0.669,0.5518,0.7407,0.536,0.4898,0.5034,0.346,0.4077,0.6573,0.5393
Tripura,age_10_13,16,0.1015,0.1335,0.1121,0.1413,0.1996,0.1045,0.0797,0.1,0.228,0.101,0.1397,0.1228
Tripura,age_14_17,16,2.2872,2.6973,1.9794,1.9312,2.8498,1.7923,0.739,1.6819,2.3732,1.544,2.4816,1.9327
Tripura,age_18_21,16,27.318,26.4021,25.0943,21.4508,26.7005,20.9416,12.7242,19.7759,16.8962,16.9763,25.7961,20.9964
Tripura,age_below10,16,0.7425,0.717,0.7342,0.9044,0.737,0.742,0.7512,0.7873,0.7656,0.7413,0.7735,0.7488
Meghalaya,age_10_13,17,0.5114,0.5286,0.6174,0.7322,0.5474,0.5048,0.4806,0.5109,0.4444,0.3933,0.5347,0.5155
Meghalaya,age_14_17,17,2.2321,1.9272,1.8995,2.3352,2.3381,1.9068,1.4904,1.8889,1.7455,1.8248,2.1097,1.9328
Meghalaya,age_18_21,17,29.2261,27.3158,27.2687,23.9066,28.1121,25.5916,21.2169,24.5359,16.8217,23.2017,26.1319,25.039
Meghalaya,age_below10,17,1.1512,1.1386,1.3832,1.7613,1.23,1.1621,1.213,1.3,1.103,0.945,1.2996,1.2147
Assam,age_10_13,18,0.0996,0.102,0.1062,0.131,0.1273,0.1093,0.1095,0.1075,0.1424,0.1128,0.1241,0.1156
Assam,age_14_17,18,1.6325,1.5635,1.2244,1.4059,1.7653,1.246,0.727,1.2398,1.681,1.1816,1.5752,1.3313
Assam,age_18_21,18,24.9643,21.1733,20.4992,18.6484,24.6726,18.8106,11.6582,17.3155,14.9643,16.1968,21.1423,18.7014
Assam,age_below10,18,1.1235,1.0607,1.1032,1.1638,1.0962,1.0981,1.071,1.1085,0.9151,1.086,1.1171,1.0949
West Bengal,age_10_13,19,0.1683,0.223,0.1392,0.2149,0.3452,0.1679,0.1353,0.1519,0.5344,0.175,0.1988,0.2167
West Bengal,age_14_17,19,3.5294,3.5994,2.2305,2.9933,4.3887,2.4866,1.0864,2.0606,4.3261,2.0968,3.2055,2.8055
West Bengal,age_18_21,19,32.2073,30.4794,24.7885,26.5522,32.0386,24.0365,13.8725,21.9483,20.3593,20.0701,28.7492,24.3649
West Bengal,age_below10,19,1.0617,1.1051,1.0995,1.1787,0.9818,1.1143,1.1625,1.1614,0.9719,1.138,1.1349,1.104
