state_name,age_bracket,state_code,CMPR_buddhist_male,CMPR_christian_male,CMPR_hindu_male,CMPR_jain_male,CMPR_muslim_male,CMPR_sikh_male,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_male,Literacy_rate_christian_male,Literacy_rate_hindu_male,Literacy_rate_jain_male,Literacy_rate_muslim_male,Literacy_rate_sikh_male
Uttar Pradesh,age_18_21,09,50.4318,34.5998,49.4319,19.6409,45.1246,30.1298,8.7001,14.5726,10.0858,3.3073,24.2567,6.4042,91.2999,85.4274,89.9142,96.6927,75.7433,93.5958
Uttar Pradesh,age_below10,09,1.97,1.1617,1.3335,1.3852,1.0998,1.0319,74.0518,75.1133,73.3961,71.0769,77.4069,72.7363,25.9482,24.8867,26.6039,28.9231,22.5931,27.2637
Bihar,age_10_13,10,0.5113,0.506,0.4903,0.1971,0.2606,0.3193,8.9019,14.7163,13.3691,11.432,20.6826,9.7915,91.0981,85.2837,86.6309,88.568,79.3174,90.2085
Bihar,age_14_17,10,5.1625,3.1925,5.0973,2.2777,2.4907,2.7222,6.5963,16.1533,14.61,8.522,23.8845,9.2805,93.4037,83.8467,85.39,91.478,76.1155,90.7195
Bihar,age_18_21,10,48.062,36.4013,47.9746,24.3101,38.3303,26.3821,9.751,19.8908,18.007,10.1983,28.0971,11.8896,90.249,80.1092,81.993,89.8017,71.9029,88.1104
Bihar,age_below10,10,1.237,1.1106,1.0774,1.0951,1.0953,1.2099,74.6273,76.4925,76.0008,73.3879,78.8858,73.8591,25.3727,23.5075,23.9992,26.6121,21.1142,26.1409
Sikkim,age_10_13,11,0.3541,0.3254,0.4512,0.0,0.5127,0.1654,4.5849,4.8692,5.2058,6.6667,9.5823,6.25,95.4151,95.1308,94.7942,93.3333,90.4177,93.75
Sikkim,age_14_17,11,3.3987,4.6109,3.9261,4.5977,5.5751,0.4963,3.5873,3.4277,4.1642,0.0,14.1104,0.0,96.4127,96.5723,95.8358,100.0,85.8896,100.0
Sikkim,age_18_21,11,22.5246,25.0831,24.2609,16.092,33.3867,9.6774,4.2153,3.3594,5.0133,0.0,20.4545,0.0,95.7847,96.6406,94.9867,100.0,79.5455,100.0
Sikkim,age_below10,11,0.8322,0.9,0.8104,0.0,0.8651,0.9926,69.2979,70.2164,70.2,65.5172,72.2222,72.9167,30.7021,29.7836,29.8,34.4828,27.7778,27.0833
Arunachal Pradesh,age_10_13,12,0.2235,0.4652,0.3947,0.6024,0.4513,0.0471,15.4479,18.4173,15.3266,24.3243,19.616,15.3846,84.5521,81.5827,84.6734,75.6757,80.384,84.6154
Arunachal Pradesh,age_14_17,12,3.4621,3.342,2.3947,4.2169,2.9673,0.1886,14.9151,11.179,13.5,16.129,18.2343,2.6316,85.0849,88.821,86.5,83.871,81.7657,97.3684
Arunachal Pradesh,age_18_21,12,31.1152,34.3454,26.1042,31.3253,27.54,10.8439,20.7471,11.854,17.9932,6.25,22.2798,0.0,79.2529,88.146,82.0068,93.75,77.7202,100.0
Arunachal Pradesh,age_below10,12,0.74,0.9687,0.9157,3.012,1.3811,0.7072,78.3691,79.5368,77.3801,82.6087,79.611,79.8077,21.6309,20.4632,22.6199,17.3913,20.389,20.1923
Nagaland,age_10_13,13,0.0997,0.1421,0.3609,0.1435,0.3632,0.0,15.6818,12.4794,11.3993,9.4828,35.3928,11.7647,84.3182,87.5206,88.6007,90.5172,64.6072,88.2353
Nagaland,age_14_17,13,1.5952,1.3548,2.2693,2.439,2.6723,0.089,10.989,9.1624,11.9904,6.1856,30.4096,9.5238,89.011,90.8376,88.0096,93.8144,69.5904,90.4762
Nagaland,age_18_21,13,15.5533,15.3506,20.1557,15.208,22.7969,6.4057,8.1081,10.1746,13.459,9.0909,31.0174,0.0,91.8919,89.8254,86.541,90.9091,68.9826,100.0
Nagaland,age_below10,13,0.5982,0.6863,0.8312,1.2912,0.8735,0.8897,76.8987,76.3122,75.3822,73.0435,84.8571,81.5217,23.1013,23.6878,24.6178,26.9565,15.1429,18.4783
Manipur,age_10_13,14,0.2122,0.2704,0.169,0.0,0.2221,0.0,11.3573,17.5055,7.0877,10.2941,15.7855,17.5,88.6427,82.4945,92.9123,89.7059,84.2145,82.5
Manipur,age_14_17,14,1.9095,1.6995,1.3918,1.1211,2.6171,0.8143,5.4201,11.5341,3.9874,5.7692,11.5666,3.0303,94.5799,88.4659,96.0126,94.2308,88.4334,96.9697
Manipur,age_18_21,14,19.2362,16.8812,15.822,11.8834,23.2725,11.4007,12.5749,13.8695,4.4093,4.3478,12.6769,0.0,87.4251,86.1305,95.5907,95.6522,87.3231,100.0
Manipur,age_below10,14,1.273,0.6992,0.8254,0.4484,0.7939,0.8143,76.1408,78.223,76.0751,77.2727,78.4531,74.1935,23.8592,21.777,23.9249,22.7273,21.5469,25.8065
Mizoram,age_10_13,15,0.3104,0.1166,0.1604,0.0,0.3737,0.0,24.986,2.3451,5.79,11.7647,23.2358,14.2857,75.014,97.6549,94.21,88.2353,76.7642,85.7143
Mizoram,age_14_17,15,5.8379,0.9863,1.2069,0.0,2.4165,0.6024,24.9573,1.2932,4.9356,21.7391,19.3344,0.0,75.0427,98.7068,95.0644,78.2609,80.6656,100.0
Mizoram,age_18_21,15,42.7477,19.8619,19.9764,31.0345,23.1938,17.4699,33.4135,1.5011,4.7081,0.0,14.2566,50.0,66.5865,98.4989,95.2919,100.0,85.7434,50.0
Mizoram,age_below10,15,0.8662,0.4707,0.5233,1.7241,0.4983,0.0,81.89,73.1332,71.8663,74.5763,81.5237,70.5882,18.11,26.8668,28.1337,25.4237,18.4763,29.4118
Tripura,age_10_13,16,0.1107,0.2038,0.0947,0.0,0.1965,0.0,5.0097,4.1972,3.245,3.7037,2.8923,3.7037,94.9903,95.8028,96.755,96.2963,97.1077,96.2963
Tripura,age_14_17,16,2.7149,2.1267,1.6048,3.4043,3.4052,0.0,4.8163,3.4105,2.892,3.3333,3.1294,15.0,95.1837,96.5895,97.108,96.6667,96.8706,85.0
Tripura,age_18_21,16,31.84,28.0071,18.7128,16.5957,24.6672,14.1805,6.3378,4.6078,3.455,12.5,4.8922,7.6923,93.6622,95.3922,96.545,87.5,95.1078,92.3077
Tripura,age_below10,16,0.6745,0.6758,0.7242,1.2766,0.8047,1.105,74.1536,73.2734,72.2067,70.6522,72.4725,74.6667,25.8464,26.7266,27.7933,29.3478,27.5275,25.3333
Meghalaya,age_10_13,17,0.5784,0.5509,0.4806,0.0,0.3399,0.0,15.68,15.0711,11.2133,13.3333,31.1706,3.0303,84.32,84.9289,88.7867,86.6667,68.8294,96.9697
Meghalaya,age_14_17,17,1.5424,1.7297,1.8326,4.023,3.3131,1.218,10.8647,11.6154,9.4512,8.6957,30.7471,2.3622,89.1353,88.3846,90.5488,91.3043,69.2529,97.6378
Meghalaya,age_18_21,17,19.473,23.821,18.3279,18.9655,30.1467,21.9245,9.7222,13.4963,11.0948,9.0909,34.0611,2.7397,90.2778,86.5037,88.9052,90.9091,65.9389,97.2603
Meghalaya,age_below10,17,0.964,1.2521,1.0546,0.0,1.5063,0.4872,80.439,81.2567,76.3411,83.0769,83.2358,74.2958,19.561,18.7433,23.6589,16.9231,16.7642,25.7042
Assam,age_10_13,18,0.0935,0.1729,0.1092,0.1739,0.0957,0.0592,8.1494,13.1804,7.6432,1.8204,18.0813,4.0816,91.8506,86.8196,92.3568,98.1796,81.9187,95.9184
Assam,age_14_17,18,1.2542,1.3052,1.039,1.2845,1.5977,0.5476,7.2346,12.884,7.7158,1.4981,20.2311,2.9369,92.7654,87.116,92.2842,98.5019,79.7689,97.0631
Assam,age_18_21,18,16.2733,19.2896,14.3548,13.3128,24.6831,9.8268,10.0534,15.9275,9.2574,1.9608,23.389,2.5862,89.9466,84.0725,90.7426,98.0392,76.611,97.4138
Assam,age_below10,18,0.9815,1.08,1.03,1.4584,1.1226,1.0212,72.9896,75.9998,72.8813,71.913,78.4379,70.6096,27.0104,24.0002,27.1187,28.087,21.5621,29.3904
West Bengal,age_10_13,19,0.3159,0.1767,0.1634,0.1815,0.2322,0.2353,3.1487,6.3585,5.1784,3.0522,11.7488,3.8284,96.8513,93.6415,94.8216,96.9478,88.2512,96.1716
West Bengal,age_14_17,19,2.6299,2.2582,2.0987,1.0948,3.9731,1.2088,2.9475,6.9559,5.7894,1.9289,13.6258,3.6986,97.0525,93.0441,94.2106,98.0711,86.3742,96.3014
West Bengal,age_18_21,19,21.9361,22.3149,20.6301,13.3643,31.6445,13.7195,3.298,8.9091,7.2736,3.2937,16.0733,4.564,96.702,91.0909,92.7264,96.7063,83.9267,95.436
West Bengal,age_below10,19,0.9081,0.9561,1.1014,1.3614,1.0105,1.289,67.6583,71.5218,71.2442,70.4721,74.6824,69.7807,32.3417,28.4782,28.7558,29.5279,25.3176,30.2193
