state_name,age_bracket,state_code,Below_primary_share_SC_female,Below_primary_share_SC_male,CMPR_SC_female,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_attending_SC_male,Child_labour_dropout_SC_female,Child_labour_dropout_SC_male,Dropout_rate_SC_female,Dropout_rate_SC_male,Illiteracy_rate_SC_female,Illiteracy_rate_SC_male,Literacy_rate_SC_female,Literacy_rate_SC_male,Non_worker_dropout_SC_female,School_attendance_rate_SC_female,School_attendance_rate_SC_male
Mizoram,age_14_17,15,5.7143,3.7037,26.5306,5.2632,15.0943,14.2857,6.8966,0.0,13.7931,5.7143,17.2414,0.0,6.8966,100.0,93.1034,5.7143,94.2857,82.7586
Mizoram,age_18_21,15,9.5238,15.1515,52.0833,16.6667,28.4722,0.0,11.7647,17.3913,47.0588,34.7826,50.0,8.6957,2.9412,91.3043,97.0588,17.3913,65.2174,50.0
Mizoram,age_below10,15,92.0,100.0,0.0,0.0,0.0,0.0,2.1739,0.0,2.1739,29.0909,17.3913,74.2268,71.7647,25.7732,28.2353,29.0909,70.9091,82.6087
Tripura,age_10_13,16,33.5512,34.9762,1.6271,0.8159,1.2124,0.6657,0.8653,0.4383,1.2115,4.759,5.0267,1.9557,1.8368,98.0443,98.1632,4.3207,95.241,94.9733
Tripura,age_14_17,16,6.6675,8.0031,26.2487,3.3977,14.5478,1.2183,2.1954,2.9926,12.4187,21.6599,22.252,2.1382,1.8397,97.8618,98.1603,18.6672,78.3401,77.748
Tripura,age_18_21,16,11.2946,12.8691,69.9021,23.7561,46.6962,1.5087,3.638,8.4013,35.6828,61.8333,49.9288,3.4606,2.3565,96.5394,97.6435,53.432,38.1667,50.0712
Tripura,age_below10,16,97.639,97.4215,0.0,0.0,0.0,0.3002,0.3826,0.1787,0.2767,27.1457,27.2724,71.1925,71.2676,28.8075,28.7324,26.9671,72.8543,72.7276
Meghalaya,age_10_13,17,48.1089,49.9307,1.4315,0.675,1.0422,1.6352,2.8103,1.5094,2.2248,20.6289,19.9063,16.8553,15.5738,83.1447,84.4262,19.1195,79.3711,80.0937
Meghalaya,age_14_17,17,16.3823,16.6667,20.1595,3.568,11.1749,3.1206,5.0505,7.0922,14.7727,30.7801,30.0505,16.8794,15.1515,83.1206,84.8485,23.6879,69.2199,69.9495
Meghalaya,age_18_21,17,11.5385,12.4294,59.1813,20.3926,39.1084,4.2135,7.7103,11.236,29.6729,48.0337,48.5981,19.6629,17.2897,80.3371,82.7103,36.7978,51.9663,51.4019
Meghalaya,age_below10,17,90.4632,93.0591,0.0,0.0,0.0,0.8989,0.7269,0.7865,0.5192,45.5056,41.1215,78.6131,78.0102,21.3869,21.9898,44.7191,54.4944,58.8785
