state_name,age_bracket,state_code,Below_primary_share_ST_male,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_male,Child_labour_dropout_ST_male,Dropout_rate_ST_male,Illiteracy_rate_ST_male,Literacy_rate_ST_male,School_attendance_rate_ST_male
Gujarat,age_18_21,24,10.5198,51.3222,63.5936,6.5728,55.4841,64.9978,14.2113,85.7887,35.0022
Gujarat,age_below10,24,93.3226,0.0,0.0,1.1103,1.1762,35.0954,75.0265,24.9735,64.9046
Daman & Diu,age_10_13,25,28.3142,0.3927,0.9973,1.2841,1.9262,6.7416,1.9262,98.0738,93.2584
Daman & Diu,age_14_17,25,7.2508,2.4691,7.9498,3.2305,15.5653,26.138,2.79,97.21,73.862
Daman & Diu,age_18_21,25,7.6923,25.3837,43.7282,4.8433,41.3105,55.5556,3.7037,96.2963,44.4444
Daman & Diu,age_below10,25,96.0976,0.0,0.0,0.7042,0.0,27.8873,69.764,30.236,72.1127
Dadra & Nagar Haveli,age_10_13,26,28.242,0.6906,1.254,1.1521,1.7131,6.5117,3.1256,96.8744,93.4883
Dadra & Nagar Haveli,age_14_17,26,6.8856,6.4227,14.2545,4.8149,15.0638,24.782,4.9286,95.0714,75.218
Dadra & Nagar Haveli,age_18_21,26,7.9356,49.4732,61.7637,5.6837,41.598,50.8786,7.9627,92.0373,49.1214
Dadra & Nagar Haveli,age_below10,26,94.5612,0.0,0.0,0.3256,0.2623,24.0525,69.8275,30.1725,75.9475
Maharashtra,age_10_13,27,43.2416,2.1785,2.7326,2.7275,4.3547,12.7449,8.2379,91.7621,87.2551
Maharashtra,age_14_17,27,11.0875,5.8898,14.1007,5.0844,24.1736,32.5742,9.3492,90.6508,67.4258
Maharashtra,age_18_21,27,11.3637,41.2732,58.5296,6.7848,49.2773,56.3442,11.133,88.867,43.6558
Maharashtra,age_below10,27,94.9649,0.0,0.0,1.5383,1.3237,32.8157,74.0354,25.9646,67.1843
Andhra Pradesh,age_10_13,28,25.0332,1.1811,1.7208,2.3711,6.598,14.4726,9.7234,90.2766,85.5274
Andhra Pradesh,age_14_17,28,4.4391,4.9228,15.1639,4.2425,26.9481,33.4113,12.4817,87.5183,66.5887
Andhra Pradesh,age_18_21,28,4.5014,42.6429,61.1718,5.8426,46.625,52.4377,16.9183,83.0817,47.5623
Andhra Pradesh,age_below10,28,91.2966,0.0,0.0,1.3563,1.5244,28.8269,72.8843,27.1157,71.1731
Karnataka,age_10_13,29,30.0289,1.2554,2.0668,2.3265,4.6937,10.9252,5.8874,94.1126,89.0748
Karnataka,age_14_17,29,4.7299,3.6078,13.522,4.0037,28.2751,36.0259,8.2438,91.7562,63.9741
Karnataka,age_18_21,29,6.2097,26.4367,49.1682,5.1039,56.8335,64.4979,11.6567,88.3433,35.5021
Karnataka,age_below10,29,95.5154,0.0,0.0,1.0748,0.8773,35.1494,73.7611,26.2389,64.8506
Goa,age_10_13,30,32.0032,2.111,2.7935,3.5921,0.8497,4.5384,2.2402,97.7598,95.4616
