state_name,age_bracket,state_code,Below_primary_share_SC_male,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_male,Child_labour_dropout_SC_male,Dropout_rate_SC_male,Illiteracy_rate_SC_male,Literacy_rate_SC_male,School_attendance_rate_SC_male
Gujarat,age_14_17,24,4.4573,4.7684,9.2695,3.1415,18.2553,27.9603,3.2518,96.7482,72.0397
Gujarat,age_18_21,24,4.7764,30.2213,45.029,4.7893,44.5426,55.8546,4.443,95.557,44.1454
Gujarat,age_below10,24,94.1102,0.0,0.0,0.7466,0.6503,26.9353,70.7756,29.2244,73.0647
Daman & Diu,age_10_13,25,17.8423,0.9772,0.8591,1.6327,0.8163,2.8571,1.6327,98.3673,97.1429
Daman & Diu,age_14_17,25,1.1194,2.0408,5.5644,2.1818,6.9091,11.2727,2.5455,97.4545,88.7273
Daman & Diu,age_18_21,25,0.7874,11.7816,28.75,6.1538,24.6154,30.7692,2.3077,97.6923,69.2308
Daman & Diu,age_below10,25,94.6565,0.0,0.0,1.2552,0.0,25.1046,71.2719,28.7281,74.8954
Dadra & Nagar Haveli,age_10_13,26,22.2689,1.2903,1.6529,0.8163,2.0408,8.1633,2.8571,97.1429,91.8367
Dadra & Nagar Haveli,age_14_17,26,2.2026,4.0498,11.9932,4.7619,9.5238,14.2857,1.7316,98.2684,85.7143
Dadra & Nagar Haveli,age_18_21,26,5.4422,32.4455,52.4138,12.9032,43.871,49.6774,5.1613,94.8387,50.3226
Dadra & Nagar Haveli,age_below10,26,92.9936,0.0,0.0,0.3717,0.7435,25.2788,72.1631,27.8369,74.7212
Maharashtra,age_10_13,27,33.234,2.5622,3.1122,2.083,1.8756,6.0953,3.7332,96.2668,93.9047
Maharashtra,age_14_17,27,4.3428,4.5156,12.1556,3.4771,12.8808,19.5576,3.5574,96.4426,80.4424
Maharashtra,age_18_21,27,4.6113,25.3011,45.9429,5.1543,34.2171,43.3178,4.1489,95.8511,56.6822
Maharashtra,age_below10,27,95.7323,0.0,0.0,1.2989,0.7658,28.8528,72.9717,27.0283,71.1472
Andhra Pradesh,age_10_13,28,21.3498,0.9752,1.5027,1.5853,2.993,7.3537,4.427,95.573,92.6463
Andhra Pradesh,age_14_17,28,2.4601,2.902,11.6106,3.0775,19.365,25.2178,5.6438,94.3562,74.7822
Andhra Pradesh,age_18_21,28,2.8227,29.5032,50.0598,4.3564,41.5548,48.9561,8.482,91.518,51.0439
Andhra Pradesh,age_below10,28,92.0808,0.0,0.0,0.8675,0.7103,25.0786,72.1312,27.8688,74.9214
Karnataka,age_10_13,29,28.7738,1.1738,1.8972,1.9909,3.3928,9.1511,5.0455,94.9545,90.8489
Karnataka,age_14_17,29,3.751,3.2101,11.8402,3.651,23.0745,31.016,6.5142,93.4858,68.984
Karnataka,age_18_21,29,4.9347,23.8639,45.9544,5.0277,50.1635,58.9401,9.3423,90.6577,41.0599
Karnataka,age_below10,29,95.3619,0.0,0.0,1.0563,0.7559,33.6504,73.0216,26.9784,66.3496
Goa,age_10_13,30,36.0939,1.5444,1.7493,4.1112,1.451,5.0786,2.1765,97.8235,94.9214
Goa,age_14_17,30,3.0303,3.8427,8.8116,5.8126,7.9478,16.6074,2.1352,97.8648,83.3926
Goa,age_18_21,30,3.4261,18.7596,32.7209,10.7216,21.4433,35.4639,3.7113,96.2887,64.5361
Goa,age_below10,30,94.6494,0.0,0.0,2.8376,1.272,28.6693,72.1337,27.8663,71.3307
Kerala,age_10_13,32,22.1045,0.5518,0.933,0.7337,0.542,2.7653,1.2631,98.7369,97.2347
Kerala,age_14_17,32,4.6324,1.3834,5.632,1.6329,5.5865,11.4717,0.8317,99.1683,88.5283
