dataset,gender,age_bracket,target,status,reason,n_rows,alpha,r2_train,r2_cv,n_predictors_used,n_selected,used_predictors,selected_predictors,skipped_predictors
SC,male,age_22_25,CMPR_SC_male,skipped,no_predictors_left_after_filtering,32,,,,,,,,CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
SC,male,age_26_29,CMPR_SC_male,skipped,no_predictors_left_after_filtering,32,,,,,,,,CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
SC,male,age_30_33,CMPR_SC_male,skipped,no_predictors_left_after_filtering,32,,,,,,,,CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
SC,male,age_34_plus,CMPR_SC_male,skipped,no_predictors_left_after_filtering,32,,,,,,,,CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
ST,female,age_below10,CMPR_ST_female,ok,,30,100.0,1.0,1.0,7.0,0.0,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,,Non-worker dropout [constant]
ST,female,age_10_13,CMPR_ST_female,ok,,30,0.0231,0.356,0.21,7.0,2.0,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,CL attending (-0.514) | Below primary (+0.129),Non-worker dropout [constant]
ST,female,age_14_17,CMPR_ST_female,ok,,30,0.4229,0.779,0.705,7.0,4.0,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,CL attending (-5.877) | Below primary (+1.822) | Illiteracy (+1.699) | Literacy (-0.000),Non-worker dropout [constant]
ST,female,age_18_21,CMPR_ST_female,ok,,30,0.1668,0.856,0.797,7.0,7.0,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,CL attending (-13.918) | Illiteracy (+2.989) | Below primary (+2.153) | Attendance (+1.323) | CL dropout (-0.633) | Dropout (-0.000) | Literacy (-0.000),Non-worker dropout [constant]
ST,female,age_22_25,CMPR_ST_female,ok,,30,0.5337,0.678,0.578,3.0,3.0,Below primary | Illiteracy | Literacy,Illiteracy (+11.104) | Below primary (+4.976) | Literacy (-0.000),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
ST,female,age_26_29,CMPR_ST_female,ok,,30,0.2105,0.54,0.407,3.0,3.0,Below primary | Illiteracy | Literacy,Illiteracy (+6.769) | Below primary (+2.417) | Literacy (-0.000),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
ST,female,age_30_33,CMPR_ST_female,ok,,30,0.1485,0.59,0.428,3.0,3.0,Below primary | Illiteracy | Literacy,Illiteracy (+3.871) | Below primary (+0.913) | Literacy (-0.000),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
ST,female,age_34_plus,CMPR_ST_female,ok,,30,0.4229,0.377,0.274,3.0,1.0,Below primary | Illiteracy | Literacy,Below primary (-2.444),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
ST,male,age_below10,CMPR_ST_male,ok,,30,100.0,1.0,1.0,7.0,0.0,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,,
ST,male,age_10_13,CMPR_ST_male,ok,,30,0.0368,0.102,-0.072,7.0,2.0,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,CL dropout (+0.095) | Below primary (+0.036),
ST,male,age_14_17,CMPR_ST_male,ok,,30,0.3765,0.245,0.098,7.0,2.0,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,Illiteracy (+0.945) | CL attending (-0.506),
ST,male,age_18_21,CMPR_ST_male,ok,,30,0.6734,0.536,0.379,7.0,7.0,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,CL attending (-7.293) | Illiteracy (+5.964) | CL dropout (-4.533) | Attendance (+0.352) | Below primary (+0.133) | Literacy (-0.000) | Dropout (-0.000),
ST,male,age_22_25,CMPR_ST_male,ok,,30,0.5995,0.462,0.337,3.0,3.0,Below primary | Illiteracy | Literacy,Illiteracy (+9.236) | Below primary (+3.608) | Literacy (-0.000),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
ST,male,age_26_29,CMPR_ST_male,ok,,30,0.2364,0.531,0.424,3.0,3.0,Below primary | Illiteracy | Literacy,Illiteracy (+8.214) | Below primary (+4.859) | Literacy (-0.000),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
ST,male,age_30_33,CMPR_ST_male,ok,,30,0.1485,0.511,0.377,3.0,2.0,Below primary | Illiteracy | Literacy,Illiteracy (+4.044) | Below primary (+3.079),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
ST,male,age_34_plus,CMPR_ST_male,ok,,30,0.083,0.196,-0.046,3.0,2.0,Below primary | Illiteracy | Literacy,Illiteracy (+1.008) | Below primary (+0.726),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
Total,female,age_below10,CMPR_total_female,ok,,35,0.0521,0.243,0.138,7.0,3.0,Below primary share | Child_labour_attending_total_female | Child_labour_dropout_total_female | Dropout_rate_total_female | Illiteracy | Literacy | School_attendance_rate_total_female,Child_labour_dropout_total_female (+0.674) | Below primary share (+0.366) | Dropout_rate_total_female (+0.000),Graduate share [constant] | Non_worker_dropout_total_female [constant]
Total,female,age_10_13,CMPR_total_female,ok,,35,0.0327,0.474,0.219,7.0,4.0,Below primary share | Child_labour_attending_total_female | Child_labour_dropout_total_female | Dropout_rate_total_female | Illiteracy | Literacy | School_attendance_rate_total_female,Child_labour_attending_total_female (-5.742) | Illiteracy (-5.676) | Below primary share (+0.866) | School_attendance_rate_total_female (-0.830),Graduate share [constant] | Non_worker_dropout_total_female [constant]
Total,female,age_14_17,CMPR_total_female,ok,,35,0.3352,0.562,0.44,7.0,5.0,Below primary share | Child_labour_attending_total_female | Child_labour_dropout_total_female | Dropout_rate_total_female | Illiteracy | Literacy | School_attendance_rate_total_female,Child_labour_dropout_total_female (+6.340) | Below primary share (+1.015) | Child_labour_attending_total_female (-0.980) | Dropout_rate_total_female (+0.000) | School_attendance_rate_total_female (-0.000),Graduate share [constant] | Non_worker_dropout_total_female [constant]
Total,female,age_18_21,CMPR_total_female,ok,,35,100.0,0.0,-0.06,7.0,0.0,Below primary share | Child_labour_attending_total_female | Child_labour_dropout_total_female | Dropout_rate_total_female | Illiteracy | Literacy | School_attendance_rate_total_female,,Graduate share [constant] | Non_worker_dropout_total_female [constant]
Total,female,age_22_25,CMPR_total_female,ok,,35,0.2656,0.656,0.591,4.0,2.0,Below primary share | Graduate share | Illiteracy | Literacy,Illiteracy (-5.524) | Below primary share (-1.087),Child_labour_attending_total_female [all_missing] | Child_labour_dropout_total_female [all_missing] | Dropout_rate_total_female [all_missing] | Non_worker_dropout_total_female [all_missing] | School_attendance_rate_total_female [all_missing]
Total,female,age_26_29,CMPR_total_female,ok,,35,0.2105,0.608,0.539,4.0,3.0,Below primary share | Graduate share | Illiteracy | Literacy,Illiteracy (-2.583) | Below primary share (-0.226) | Literacy (+0.000),Child_labour_attending_total_female [all_missing] | Child_labour_dropout_total_female [all_missing] | Dropout_rate_total_female [all_missing] | Non_worker_dropout_total_female [all_missing] | School_attendance_rate_total_female [all_missing]
Total,female,age_30_33,CMPR_total_female,ok,,35,0.1322,0.504,0.45,4.0,2.0,Below primary share | Graduate share | Illiteracy | Literacy,Illiteracy (-0.780) | Literacy (+0.000),Child_labour_attending_total_female [all_missing] | Child_labour_dropout_total_female [all_missing] | Dropout_rate_total_female [all_missing] | Non_worker_dropout_total_female [all_missing] | School_attendance_rate_total_female [all_missing]
Total,female,age_34_plus,CMPR_total_female,ok,,35,0.0064,0.325,0.131,4.0,4.0,Below primary share | Graduate share | Illiteracy | Literacy,Illiteracy (-0.318) | Graduate share (-0.129) | Below primary share (+0.009) | Literacy (+0.000),Child_labour_attending_total_female [all_missing] | Child_labour_dropout_total_female [all_missing] | Dropout_rate_total_female [all_missing] | Non_worker_dropout_total_female [all_missing] | School_attendance_rate_total_female [all_missing]
Total,male,age_below10,CMPR_total_male,ok,,35,0.0658,0.082,-0.003,7.0,1.0,Below primary share | Child_labour_attending_total_male | Child_labour_dropout_total_male | Dropout_rate_total_male | Illiteracy | Literacy | School_attendance_rate_total_male,Child_labour_attending_total_male (-0.117),Graduate share [constant]
Total,male,age_10_13,CMPR_total_male,ok,,35,0.0129,0.169,-0.029,7.0,5.0,Below primary share | Child_labour_attending_total_male | Child_labour_dropout_total_male | Dropout_rate_total_male | Illiteracy | Literacy | School_attendance_rate_total_male,Illiteracy (-0.867) | Child_labour_attending_total_male (-0.822) | Below primary share (+0.413) | School_attendance_rate_total_male (-0.001) | Literacy (+0.000),Graduate share [constant]
Total,male,age_14_17,CMPR_total_male,ok,,35,0.7565,0.148,0.029,7.0,1.0,Below primary share | Child_labour_attending_total_male | Child_labour_dropout_total_male | Dropout_rate_total_male | Illiteracy | Literacy | School_attendance_rate_total_male,Child_labour_attending_total_male (-1.219),Graduate share [constant]
Total,male,age_18_21,CMPR_total_male,ok,,35,0.0933,0.443,0.284,7.0,6.0,Below primary share | Child_labour_attending_total_male | Child_labour_dropout_total_male | Dropout_rate_total_male | Illiteracy | Literacy | School_attendance_rate_total_male,Illiteracy (+6.290) | Child_labour_attending_total_male (-5.162) | Child_labour_dropout_total_male (-3.595) | Below primary share (-2.473) | School_attendance_rate_total_male (+0.222) | Dropout_rate_total_male (-0.000),Graduate share [constant]
Total,male,age_22_25,CMPR_total_male,ok,,35,100.0,0.0,-0.06,4.0,0.0,Below primary share | Graduate share | Illiteracy | Literacy,,Child_labour_attending_total_male [all_missing] | Child_labour_dropout_total_male [all_missing] | Dropout_rate_total_male [all_missing] | School_attendance_rate_total_male [all_missing]
Total,male,age_26_29,CMPR_total_male,ok,,35,0.4229,0.408,0.341,4.0,1.0,Below primary share | Graduate share | Illiteracy | Literacy,Illiteracy (-4.104),Child_labour_attending_total_male [all_missing] | Child_labour_dropout_total_male [all_missing] | Dropout_rate_total_male [all_missing] | School_attendance_rate_total_male [all_missing]
Total,male,age_30_33,CMPR_total_male,ok,,35,0.8498,0.331,0.247,4.0,2.0,Below primary share | Graduate share | Illiteracy | Literacy,Illiteracy (-3.029) | Literacy (+0.000),Child_labour_attending_total_male [all_missing] | Child_labour_dropout_total_male [all_missing] | Dropout_rate_total_male [all_missing] | School_attendance_rate_total_male [all_missing]
Total,male,age_34_plus,CMPR_total_male,ok,,35,0.0023,0.346,0.166,4.0,3.0,Below primary share | Graduate share | Illiteracy | Literacy,Illiteracy (-2.071) | Graduate share (-0.793) | Below primary share (+0.189),Child_labour_attending_total_male [all_missing] | Child_labour_dropout_total_male [all_missing] | Dropout_rate_total_male [all_missing] | School_attendance_rate_total_male [all_missing]
