state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_christian_female,CMPR_hindu_female,CMPR_jain_female,CMPR_muslim_female,CMPR_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Rajasthan,age_18_21,08,4.1667,4.0241,6.9565,1.3594,12.1733,4.593,39.4203,36.1697,41.0545,40.6373,41.9205,50.4016,15.493,17.806,25.8495,1.4983,36.4324,13.1366,84.507,82.194,74.1505,98.5017,63.5676,86.8634,22.9167,13.8162,21.0629,5.8656,21.2087,20.0811
Rajasthan,age_below10,08,91.9786,93.4563,93.8221,92.6471,94.0938,94.1707,2.2544,1.71,3.4958,1.5465,2.8809,1.2027,71.4504,73.9384,76.0433,70.4657,79.1286,73.0785,28.5496,26.0616,23.9567,29.5343,20.8714,26.9215,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,age_10_13,09,37.8927,35.5016,36.8964,22.3209,46.1055,31.863,4.9788,2.2601,3.441,1.0259,2.3206,1.2905,10.7869,17.7995,11.2006,5.1133,24.0146,9.1406,89.2131,82.2005,88.7994,94.8867,75.9854,90.8594,9.1223,11.2938,9.7361,17.82,7.8405,12.69
Uttar Pradesh,age_14_17,09,4.3555,5.4877,4.2253,1.6122,10.1363,3.2821,24.4005,13.0658,22.0929,7.5878,17.8347,8.3906,10.425,17.8385,12.2885,4.6687,26.7932,8.4385,89.575,82.1615,87.7115,95.3313,73.2068,91.5615,40.0024,34.9315,39.067,36.1369,30.106,38.6589
Uttar Pradesh,age_18_21,09,2.4935,3.8645,2.3635,0.4838,6.4241,2.1048,44.5546,39.2845,47.765,40.4598,49.993,48.6643,16.7913,21.2495,18.9831,4.433,32.8624,10.3718,83.2087,78.7505,81.0169,95.567,67.1376,89.6282,24.1229,16.0027,21.3997,4.9801,20.5111,16.8559
Uttar Pradesh,age_below10,09,93.1498,90.8922,93.1612,91.6446,92.4143,93.2728,3.5182,1.8944,2.5544,1.3246,2.0465,1.5076,75.0255,76.1623,74.2946,72.0129,78.653,73.1835,24.9745,23.8377,25.7054,27.9871,21.347,26.8165,0.0,0.0,0.0,0.0,0.0,0.0
Bihar,age_10_13,10,34.5059,44.5018,45.8377,36.6959,52.6723,38.3897,2.5028,1.7365,2.324,1.5628,1.2937,1.6899,10.962,19.5722,18.0125,13.8539,24.0728,14.8957,89.038,80.4278,81.9875,86.1461,75.9272,85.1043,10.9715,8.5153,7.3833,10.5263,5.7972,10.5018
Bihar,age_14_17,10,4.3321,9.7305,8.3215,5.5846,14.8564,4.6053,27.6742,17.5209,25.0806,14.0848,18.8163,13.6744,10.6452,18.7348,20.8895,11.0248,27.8615,11.1111,89.3548,81.2652,79.1105,88.9752,72.1385,88.8889,44.8857,33.483,36.3415,31.7627,28.0157,39.7368
Bihar,age_18_21,10,2.1978,5.7831,7.1608,1.1278,13.1259,2.0772,49.6094,46.3961,52.3051,45.7121,56.0894,47.814,15.1515,28.6942,33.6951,15.016,39.4436,14.899,84.8485,71.3058,66.3049,84.984,60.5564,85.101,19.2308,13.9157,18.1563,8.6466,16.6419,11.8694
Bihar,age_below10,10,92.2554,91.9195,94.0655,91.8103,92.6796,92.9825,3.268,2.1013,2.1091,1.2112,1.9046,1.8295,76.0339,77.2889,77.3145,76.3747,80.1316,74.9781,23.9661,22.7111,22.6855,23.6253,19.8684,25.0219,0.0,0.0,0.0,0.0,0.0,0.0
